filename,score_anormal,score_cglaucoma,prediction
image_001_170.jpg,0.652643,0.347357,anormal
image_002_202.jpg,0.601155,0.398845,anormal
image_003_50.jpg,0.632660,0.367340,anormal
image_004_65.jpg,0.651202,0.348797,anormal
image_005_13.jpg,0.637788,0.362212,anormal
image_006_4.jpg,0.624000,0.376000,anormal
image_007_5.jpg,0.639685,0.360315,anormal
image_008_116.jpg,0.598192,0.401808,anormal
image_009_125.jpg,0.669933,0.330067,anormal
image_010_41.jpg,0.626872,0.373128,anormal
image_011_214.jpg,0.630462,0.369538,anormal
image_012_56.jpg,0.572574,0.427426,anormal
image_013_71.jpg,0.685127,0.314873,anormal
image_014_59.jpg,0.699604,0.300396,anormal
image_015_209.jpg,0.629196,0.370804,anormal
image_016_82.jpg,0.671423,0.328577,anormal
image_017_93.jpg,0.580354,0.419646,anormal
image_018_120.jpg,0.734745,0.265255,anormal
image_019_168.jpg,0.606330,0.393670,anormal
image_020_10.jpg,0.642291,0.357709,anormal
image_021_26.jpg,0.698979,0.301021,anormal
image_022_55.jpg,0.735416,0.264584,anormal
image_023_103.jpg,0.634239,0.365761,anormal
image_024_200.jpg,0.674660,0.325340,anormal
image_025_99.jpg,0.698278,0.301722,anormal
image_026_146.jpg,0.638909,0.361091,anormal
image_027_32.jpg,0.624349,0.375651,anormal
image_028_96.jpg,0.584002,0.415998,anormal
image_029_217.jpg,0.594247,0.405753,anormal
image_030_219.jpg,0.632932,0.367068,anormal
image_031_49.jpg,0.661497,0.338502,anormal
image_032_39.jpg,0.668056,0.331944,anormal
image_033_187.jpg,0.619698,0.380302,anormal
image_034_36.jpg,0.686581,0.313419,anormal
image_035_160.jpg,0.593683,0.406318,anormal
image_036_25.jpg,0.688060,0.311940,anormal
image_037_178.jpg,0.650621,0.349379,anormal
image_038_95.jpg,0.614896,0.385104,anormal
image_039_12.jpg,0.646627,0.353373,anormal
image_040_16.jpg,0.678566,0.321434,anormal
image_041_108.jpg,0.638399,0.361601,anormal
image_042_63.jpg,0.762594,0.237406,anormal
image_043_54.jpg,0.708694,0.291306,anormal
image_044_70.jpg,0.649176,0.350824,anormal
image_045_182.jpg,0.675840,0.324160,anormal
image_046_64.jpg,0.651767,0.348233,anormal
image_047_143.jpg,0.677991,0.322009,anormal
image_048_130.jpg,0.555243,0.444757,anormal
image_049_105.jpg,0.642687,0.357313,anormal
image_050_163.jpg,0.711564,0.288436,anormal
image_051_190.jpg,0.663673,0.336327,anormal
