filename,true_label,predicted_label,prob_a_noamd,prob_b_amd
1018113_21015_1_0.png,0,0,0.8754983,0.124501735
1020777_21015_1_0.png,0,0,0.8617184,0.13828158
1026486_21016_0_0.png,0,0,0.86786467,0.13213536
1036537_21016_0_0.png,0,0,0.87026745,0.12973258
1039702_21015_1_0.png,0,0,0.8784271,0.12157288
1046092_21015_0_0.png,0,0,0.8759607,0.12403927
1064334_21016_0_0.png,0,0,0.86589724,0.13410272
1103313_21016_0_0.png,0,0,0.8612757,0.13872434
1107730_21015_0_0.png,0,0,0.8813246,0.11867534
1134266_21015_0_0.png,0,0,0.8691576,0.13084236
1167873_21016_0_0.png,0,0,0.8619158,0.1380842
1169358_21015_1_0.png,0,0,0.87423706,0.1257629
1170584_21016_0_0.png,0,0,0.8675157,0.13248427
1175155_21016_0_0.png,0,0,0.85891587,0.14108415
1178859_21016_0_0.png,0,0,0.8653867,0.13461326
1184375_21016_1_0.png,0,0,0.85924596,0.14075404
1186967_21016_0_0.png,0,0,0.7215461,0.27845386
1197089_21016_0_0.png,0,0,0.879034,0.120966
1197343_21015_0_0.png,0,0,0.8665144,0.13348563
1220742_21016_0_0.png,0,0,0.86467534,0.13532463
1223318_21016_0_0.png,0,0,0.8742302,0.1257698
1230171_21016_0_0.png,0,0,0.8663227,0.13367726
1250082_21016_0_0.png,0,0,0.8684216,0.13157843
1260458_21016_0_0.png,0,0,0.87290245,0.12709752
1261685_21016_0_0.png,0,0,0.87725234,0.122747704
1267094_21016_0_0.png,0,0,0.8588689,0.14113112
1275770_21015_0_0.png,0,0,0.85763425,0.14236574
1322575_21016_0_0.png,0,0,0.87368864,0.12631132
1330933_21015_0_0.png,0,0,0.87107444,0.1289256
1334474_21015_0_0.png,0,1,0.097057246,0.9029427
1346072_21016_0_0.png,0,0,0.80589074,0.19410926
1350271_21016_0_0.png,0,0,0.86421824,0.13578178
1359631_21015_1_0.png,0,0,0.8863633,0.11363669
1372500_21016_0_0.png,0,0,0.8666333,0.13336669
1407787_21015_1_0.png,0,0,0.88307697,0.11692306
1412963_21015_0_0.png,0,0,0.8686511,0.13134894
1429525_21016_0_0.png,0,0,0.8570386,0.14296143
1434744_21016_0_0.png,0,0,0.8567465,0.14325349
1438121_21015_0_0.png,0,0,0.8803902,0.11960977
1438217_21016_0_0.png,0,0,0.8597995,0.14020047
1465849_21015_0_0.png,0,0,0.8593548,0.14064524
1486263_21015_0_0.png,0,0,0.8579057,0.14209428
1494464_21015_0_0.png,0,0,0.8845707,0.11542931
1495365_21015_1_0.png,0,0,0.8657657,0.13423426
1495979_21015_1_0.png,0,0,0.8684303,0.1315697
1499051_21015_0_0.png,0,0,0.8655088,0.13449122
1499671_21016_0_1.png,0,0,0.88856727,0.111432694
1506781_21016_0_0.png,0,0,0.85121393,0.14878607
1514959_21015_0_0.png,0,0,0.8673878,0.13261221
