filename,true_label,predicted_label,correct,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
20051130_59802_0400_PP_430.png,anodr,anodr,True,0.906929,0.041371,0.025783,0.016969,0.008948
20051205_59367_0400_PP_816.png,anodr,anodr,True,0.927990,0.031682,0.012087,0.020816,0.007425
20051130_59029_0400_PP_270.png,anodr,anodr,True,0.826803,0.030448,0.076764,0.030252,0.035734
IM003110_311.png,anodr,anodr,True,0.511611,0.178586,0.131304,0.126019,0.052480
20051201_38081_0400_PP_963.png,anodr,anodr,True,0.911438,0.017047,0.019587,0.029929,0.021998
IM001174_556.png,anodr,anodr,True,0.912903,0.016889,0.029062,0.026816,0.014329
IM004686_87.png,anodr,bmilddr,False,0.173321,0.395368,0.385378,0.017979,0.027955
IM004027_104.png,anodr,cmoderatedr,False,0.194866,0.122090,0.612310,0.056840,0.013894
IM001272_1328.png,anodr,anodr,True,0.930626,0.011682,0.017573,0.014150,0.025969
20060412_52351_0200_PP_944.png,anodr,anodr,True,0.820702,0.097553,0.028837,0.037178,0.015730
20060407_46257_0200_PP_827.png,anodr,anodr,True,0.909158,0.031854,0.027078,0.018170,0.013741
20051201_38199_0400_PP_1329.png,anodr,anodr,True,0.481923,0.298376,0.177959,0.029941,0.011801
20060411_58494_0200_PP_452.png,anodr,anodr,True,0.882438,0.012199,0.047497,0.035140,0.022726
IM000191_1289.png,anodr,anodr,True,0.839338,0.075543,0.046014,0.021025,0.018080
IM000859_1241.png,anodr,anodr,True,0.914046,0.030819,0.021181,0.023130,0.010824
IM004013_507.png,anodr,anodr,True,0.925963,0.021853,0.020450,0.019249,0.012484
IM000567_278.png,anodr,anodr,True,0.818037,0.052380,0.071408,0.038486,0.019690
IM004177_1042.png,anodr,anodr,True,0.679903,0.209938,0.060490,0.028604,0.021065
20051216_46183_0200_PP_1204.png,anodr,anodr,True,0.896425,0.037443,0.031991,0.023185,0.010956
IM001102_1098.png,anodr,anodr,True,0.897766,0.025894,0.042322,0.025850,0.008168
IM000350_1264.png,anodr,anodr,True,0.890150,0.029239,0.025273,0.032605,0.022733
20051201_37312_0400_PP_1333.png,anodr,anodr,True,0.808591,0.112548,0.024555,0.038082,0.016223
IM001027_460.png,anodr,anodr,True,0.588007,0.292902,0.063167,0.037801,0.018124
20051205_58373_0400_PP_55.png,anodr,anodr,True,0.903344,0.038474,0.026068,0.020431,0.011683
IM000220_910.png,anodr,anodr,True,0.792925,0.028113,0.088732,0.067947,0.022283
IM002336_1076.png,anodr,anodr,True,0.911258,0.012157,0.048473,0.022330,0.005782
IM003215_139.png,anodr,anodr,True,0.922835,0.014150,0.022126,0.017280,0.023609
IM002697_959.png,anodr,anodr,True,0.479885,0.292546,0.076272,0.030588,0.120709
IM002852_456.png,anodr,anodr,True,0.889112,0.023055,0.030634,0.033646,0.023554
