filename,true_label,predicted_label,correct,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
d26bc6e1230d.png,anodr,anodr,True,0.946969,0.010336,0.015610,0.015908,0.011177
cf8f1bc7a215.png,anodr,anodr,True,0.919505,0.032094,0.023342,0.014599,0.010460
568455854a11.png,anodr,anodr,True,0.948096,0.007903,0.006389,0.024494,0.013118
ef4121e9bb67.png,anodr,anodr,True,0.915110,0.025846,0.023857,0.020603,0.014583
c5bec7f1e5f3.png,anodr,anodr,True,0.860345,0.051752,0.044933,0.024138,0.018832
389552047476.png,anodr,anodr,True,0.786093,0.094310,0.068976,0.027022,0.023600
2b4c7b5f1f1e.png,anodr,anodr,True,0.541419,0.192947,0.212875,0.024635,0.028124
8e76054f0831.png,anodr,anodr,True,0.928312,0.011785,0.019293,0.021549,0.019061
7fe7309d0b4f.png,anodr,anodr,True,0.913295,0.023006,0.034475,0.018761,0.010463
d38cf0f4a9af.png,anodr,anodr,True,0.873415,0.050410,0.045685,0.016025,0.014464
43bc7c066dfb.png,anodr,anodr,True,0.924257,0.013894,0.024474,0.023492,0.013883
1df1530b9b8d.png,anodr,anodr,True,0.932792,0.018520,0.017751,0.017647,0.013290
c755a0c4edcc.png,anodr,anodr,True,0.903819,0.011357,0.047052,0.029141,0.008630
f233638e0e90.png,anodr,anodr,True,0.902572,0.046408,0.019058,0.025521,0.006442
3ce2f8a77a32.png,anodr,anodr,True,0.937180,0.020381,0.020188,0.011316,0.010935
52edbe29d655.png,anodr,anodr,True,0.785346,0.125453,0.055298,0.013912,0.019990
e3cd96cb094c.png,anodr,anodr,True,0.902110,0.010527,0.050370,0.025981,0.011012
a484bdf85b4c.png,anodr,anodr,True,0.927498,0.024787,0.020827,0.015394,0.011493
cfed7c1172ec.png,anodr,anodr,True,0.915977,0.019295,0.027614,0.023898,0.013215
54f57cf26126.png,anodr,anodr,True,0.954754,0.013509,0.015886,0.012081,0.003770
92fcf50b3562.png,anodr,anodr,True,0.945977,0.010694,0.020130,0.016031,0.007168
d332d7b8a26e.png,anodr,anodr,True,0.931177,0.015368,0.022418,0.018812,0.012226
d4583e9525dc.png,anodr,anodr,True,0.941002,0.009713,0.017918,0.019191,0.012177
143db89c11c8.png,anodr,anodr,True,0.940073,0.023830,0.013028,0.013309,0.009759
c365c598ad4e.png,anodr,anodr,True,0.958255,0.007053,0.010893,0.012059,0.011741
d93b61dc8f64.png,anodr,anodr,True,0.868426,0.008318,0.078489,0.028302,0.016465
3f6c627e2ff2.png,anodr,anodr,True,0.916517,0.020947,0.038214,0.015793,0.008528
61a62b1dcc36.png,anodr,anodr,True,0.954279,0.009046,0.015783,0.012141,0.008751
db3cd58aa315.png,anodr,anodr,True,0.951037,0.010039,0.016013,0.015901,0.007011
cec299c2a2d5.png,anodr,anodr,True,0.880881,0.034955,0.045119,0.022907,0.016138
