filename,true_label,predicted_label,correct,prob_anormal,prob_cglaucoma
RET191OS.jpg,anormal,anormal,True,0.919503,0.080497
RET190OS.jpg,anormal,anormal,True,0.644555,0.355445
RET200OS.jpg,anormal,anormal,True,0.763903,0.236097
RET282OS.jpg,anormal,anormal,True,0.888109,0.111891
RET141OS.jpg,anormal,anormal,True,0.650566,0.349434
RET184OD.jpg,anormal,anormal,True,0.848365,0.151635
RET203OD.jpg,anormal,anormal,True,0.927901,0.072099
RET212OD.jpg,anormal,anormal,True,0.811406,0.188594
RET137OD.jpg,anormal,anormal,True,0.638924,0.361076
RET211OS.jpg,anormal,anormal,True,0.862681,0.137319
RET291OD.jpg,anormal,anormal,True,0.905239,0.094761
RET285OS.jpg,anormal,anormal,True,0.942957,0.057043
RET261OS.jpg,anormal,anormal,True,0.916786,0.083214
RET146OS.jpg,anormal,anormal,True,0.637403,0.362597
RET237OD.jpg,anormal,anormal,True,0.834673,0.165327
RET283OS.jpg,anormal,anormal,True,0.751636,0.248364
RET271OS.jpg,anormal,anormal,True,0.697291,0.302709
RET282OD.jpg,anormal,anormal,True,0.859265,0.140735
RET163OS.jpg,anormal,anormal,True,0.693155,0.306845
RET258OD.jpg,anormal,anormal,True,0.632658,0.367342
RET231OD.jpg,anormal,anormal,True,0.813586,0.186414
RET252OS.jpg,anormal,anormal,True,0.876328,0.123672
RET131OD.jpg,anormal,anormal,True,0.769728,0.230272
RET153OS.jpg,anormal,anormal,True,0.832995,0.167005
RET200OD.jpg,anormal,anormal,True,0.857413,0.142587
RET177OD.jpg,anormal,anormal,True,0.743552,0.256448
RET213OS.jpg,anormal,anormal,True,0.733876,0.266124
RET181OS.jpg,anormal,anormal,True,0.922649,0.077351
RET228OS.jpg,anormal,anormal,True,0.887935,0.112065
RET224OD.jpg,anormal,anormal,True,0.788305,0.211695
RET199OD.jpg,anormal,anormal,True,0.926055,0.073945
RET098OD.jpg,anormal,anormal,True,0.642218,0.357782
RET216OS.jpg,anormal,anormal,True,0.925262,0.074738
RET202OD.jpg,anormal,anormal,True,0.847983,0.152017
RET198OS.jpg,anormal,anormal,True,0.687691,0.312309
RET272OD.jpg,anormal,anormal,True,0.786174,0.213826
RET184OS.jpg,anormal,anormal,True,0.756003,0.243997
RET178OD.jpg,anormal,anormal,True,0.877281,0.122719
RET192OS.jpg,anormal,anormal,True,0.659868,0.340131
RET253OD.jpg,anormal,anormal,True,0.799837,0.200163
RET198OD.jpg,anormal,anormal,True,0.809182,0.190818
RET150OS.jpg,anormal,anormal,True,0.819742,0.180258
RET256OD.jpg,anormal,anormal,True,0.756770,0.243230
RET107OD.jpg,anormal,anormal,True,0.780013,0.219987
RET220OS.jpg,anormal,anormal,True,0.931194,0.068806
RET259OD.jpg,anormal,anormal,True,0.510345,0.489655
RET277OS.jpg,anormal,anormal,True,0.861245,0.138755
RET096OD.jpg,anormal,anormal,True,0.650615,0.349385
RET267OD.jpg,anormal,anormal,True,0.524567,0.475433
RET201OD.jpg,anormal,anormal,True,0.913510,0.086490
RET129OS.jpg,anormal,anormal,True,0.658870,0.341130
RET175OD.jpg,anormal,anormal,True,0.768142,0.231858
RET220OD.jpg,anormal,anormal,True,0.711774,0.288226
RET035OS.jpg,anormal,anormal,True,0.671431,0.328569
RET216OD.jpg,anormal,anormal,True,0.834242,0.165758
RET245OS.jpg,anormal,anormal,True,0.837126,0.162874
RET253OS.jpg,anormal,anormal,True,0.932241,0.067759
RET027OD.jpg,anormal,anormal,True,0.930080,0.069920
RET177OS.jpg,anormal,anormal,True,0.848097,0.151903
RET203OS.jpg,anormal,anormal,True,0.916924,0.083076
RET210OD.jpg,anormal,anormal,True,0.949098,0.050902
RET133OD.jpg,anormal,anormal,True,0.690820,0.309180
RET035OD.jpg,anormal,anormal,True,0.633783,0.366217
RET197OD.jpg,anormal,anormal,True,0.892712,0.107288
RET132OD.jpg,anormal,anormal,True,0.692575,0.307425
RET168OS.jpg,anormal,anormal,True,0.802038,0.197962
RET182OD.jpg,anormal,anormal,True,0.872163,0.127837
RET120OS.jpg,cglaucoma,anormal,False,0.849161,0.150839
RET120OD.jpg,cglaucoma,anormal,False,0.721481,0.278519
RET122OS.jpg,cglaucoma,anormal,False,0.817118,0.182882
RET053OD.jpg,cglaucoma,anormal,False,0.524624,0.475376
RET002OD.jpg,cglaucoma,anormal,False,0.565945,0.434055
RET091OD.jpg,cglaucoma,anormal,False,0.861635,0.138365
RET122OD.jpg,cglaucoma,anormal,False,0.857870,0.142130
RET066OS.jpg,cglaucoma,anormal,False,0.641436,0.358564
RET276OS.jpg,cglaucoma,anormal,False,0.762638,0.237362
RET102OD.jpg,cglaucoma,anormal,False,0.802394,0.197606
RET114OS.jpg,cglaucoma,anormal,False,0.541778,0.458222
RET006OS.jpg,cglaucoma,anormal,False,0.655399,0.344601
RET106OD.jpg,cglaucoma,anormal,False,0.585361,0.414639
RET089OD.jpg,cglaucoma,anormal,False,0.795187,0.204813
