filename,true_class,predicted_class,score_class_0,score_class_1,score_class_2,score_class_3,score_class_4
20051020_43808_0100_PP_967.png,anodr,anodr,0.928101,0.022636,0.018251,0.017116,0.013896
20051020_44261_0100_PP_1191.png,anodr,anodr,0.856475,0.078218,0.026100,0.017653,0.021554
20051020_44284_0100_PP_502.png,anodr,anodr,0.809195,0.076040,0.059186,0.028633,0.026945
20051020_44338_0100_PP_547.png,anodr,anodr,0.612175,0.218303,0.090597,0.028844,0.050081
20051020_44400_0100_PP_920.png,anodr,anodr,0.695507,0.210056,0.052846,0.013617,0.027974
20051020_44431_0100_PP_514.png,anodr,anodr,0.832311,0.085628,0.040996,0.016475,0.024590
20051020_44692_0100_PP_419.png,anodr,anodr,0.948259,0.011425,0.012440,0.011207,0.016669
20051020_44714_0100_PP_1199.png,anodr,anodr,0.903133,0.050113,0.015919,0.010468,0.020367
20051020_44982_0100_PP_486.png,anodr,anodr,0.675483,0.228358,0.060515,0.015521,0.020124
20051020_56791_0100_PP_1185.png,anodr,anodr,0.816240,0.123417,0.027408,0.013289,0.019646
20051020_57157_0100_PP_971.png,anodr,bmilddr,0.294261,0.468857,0.196640,0.018331,0.021912
20051020_57967_0100_PP_829.png,anodr,anodr,0.934301,0.018099,0.018197,0.015831,0.013572
20051020_58065_0100_PP_561.png,anodr,anodr,0.937378,0.023131,0.014263,0.012834,0.012394
20051020_61757_0100_PP_484.png,anodr,anodr,0.905768,0.038697,0.026392,0.015160,0.013982
20051020_62461_0100_PP_76.png,anodr,anodr,0.629237,0.212126,0.108256,0.020395,0.029985
20051020_62510_0100_PP_106.png,anodr,anodr,0.434707,0.317388,0.164338,0.026269,0.057299
20051020_62577_0100_PP_479.png,anodr,anodr,0.870920,0.065786,0.034503,0.013177,0.015614
20051020_62615_0100_PP_294.png,anodr,anodr,0.616550,0.262847,0.080309,0.014705,0.025588
20051020_63269_0100_PP_1183.png,anodr,anodr,0.909802,0.037414,0.023412,0.012290,0.017082
20051020_63337_0100_PP_471.png,anodr,anodr,0.830582,0.099561,0.032645,0.014918,0.022295
20051020_64249_0100_PP_1004.png,anodr,anodr,0.873088,0.064333,0.032519,0.014694,0.015366
20051020_64388_0100_PP_1194.png,anodr,anodr,0.921577,0.024224,0.024925,0.016033,0.013241
20051020_64653_0100_PP_124.png,anodr,anodr,0.894033,0.044516,0.029743,0.018782,0.012926
20051020_64775_0100_PP_480.png,anodr,anodr,0.884293,0.055856,0.031546,0.015103,0.013201
20051020_64836_0100_PP_1270.png,anodr,anodr,0.871409,0.056050,0.038638,0.018739,0.015164
20051021_36380_0100_PP_135.png,anodr,anodr,0.918556,0.036308,0.024658,0.009971,0.010507
20051021_36476_0100_PP_1243.png,anodr,anodr,0.858645,0.083171,0.033199,0.010778,0.014207
20051021_39845_0100_PP_315.png,anodr,anodr,0.929770,0.022629,0.014618,0.013386,0.019596
20051021_39914_0100_PP_1352.png,anodr,anodr,0.917393,0.028982,0.022164,0.017532,0.013928
20051021_51418_0100_PP_18.png,anodr,anodr,0.917571,0.031479,0.019947,0.014462,0.016541
20051021_51476_0100_PP_150.png,anodr,anodr,0.919946,0.021359,0.020128,0.017134,0.021433
20051021_51936_0100_PP_1379.png,anodr,anodr,0.625446,0.295322,0.039267,0.012609,0.027357
20051021_51994_0100_PP_1283.png,anodr,anodr,0.775735,0.163340,0.027732,0.010289,0.022904
20051021_57798_0100_PP_1322.png,anodr,anodr,0.866663,0.087817,0.021304,0.008694,0.015521
20051021_57862_0100_PP_372.png,anodr,anodr,0.884066,0.057460,0.021604,0.014433,0.022437
20051021_57975_0100_PP_517.png,anodr,anodr,0.843094,0.055738,0.067793,0.012560,0.020814
20051021_58035_0100_PP_1138.png,anodr,anodr,0.875784,0.041805,0.043511,0.019304,0.019597
20051021_58388_0100_PP_1300.png,anodr,anodr,0.891937,0.028903,0.039726,0.020638,0.018796
20051021_58522_0100_PP_50.png,anodr,anodr,0.923039,0.021676,0.020900,0.014597,0.019787
20051109_57843_0400_PP_1109.png,anodr,anodr,0.905400,0.039295,0.020829,0.017065,0.017411
20051109_59969_0400_PP_1079.png,anodr,anodr,0.885606,0.058420,0.024221,0.011760,0.019993
20051109_60031_0400_PP_528.png,anodr,anodr,0.705130,0.158821,0.092911,0.014652,0.028485
20051109_60136_0400_PP_905.png,anodr,anodr,0.721391,0.134828,0.081863,0.017880,0.044038
20051110_33960_0400_PP_35.png,anodr,anodr,0.827766,0.078225,0.053333,0.017297,0.023378
20051110_34013_0400_PP_151.png,anodr,anodr,0.608485,0.190595,0.163742,0.012582,0.024596
20051110_35239_0400_PP_836.png,anodr,anodr,0.872018,0.056370,0.035912,0.015160,0.020540
20051110_35279_0400_PP_1033.png,anodr,anodr,0.850712,0.067218,0.042205,0.020151,0.019714
20051110_35332_0400_PP_497.png,anodr,bmilddr,0.230482,0.639502,0.099932,0.013132,0.016951
20051110_37992_0400_PP_1043.png,anodr,anodr,0.833125,0.091187,0.039781,0.015602,0.020306
20051110_38111_0400_PP_429.png,anodr,anodr,0.856023,0.081378,0.022523,0.018593,0.021483
20051110_38156_0400_PP_477.png,anodr,anodr,0.732130,0.176492,0.052222,0.015026,0.024130
20051110_38280_0400_PP_83.png,anodr,anodr,0.912687,0.029213,0.022243,0.015770,0.020086
20051110_38313_0400_PP_1041.png,anodr,anodr,0.844321,0.040971,0.058647,0.031900,0.024160
20051110_38352_0400_PP_934.png,anodr,anodr,0.846738,0.042457,0.051573,0.034674,0.024557
20051110_38472_0400_PP_1127.png,anodr,bmilddr,0.377815,0.494964,0.087045,0.010729,0.029447
20051110_38507_0400_PP_1190.png,anodr,bmilddr,0.324120,0.363182,0.260432,0.016931,0.035335
20051116_43388_0400_PP_344.png,anodr,anodr,0.750894,0.190773,0.028733,0.012131,0.017469
20051116_43585_0400_PP_950.png,anodr,anodr,0.770503,0.147736,0.046712,0.017548,0.017501
20051116_43710_0400_PP_95.png,anodr,anodr,0.823130,0.055209,0.062380,0.035328,0.023953
20051116_43721_0400_PP_363.png,anodr,anodr,0.841503,0.057848,0.051381,0.025920,0.023348
20051116_43785_0400_PP_445.png,anodr,anodr,0.783830,0.127203,0.038722,0.021470,0.028775
20051116_43801_0400_PP_325.png,anodr,anodr,0.814692,0.124431,0.026174,0.014543,0.020160
20051116_44648_0400_PP_1036.png,anodr,anodr,0.405468,0.366186,0.156905,0.026850,0.044590
20051117_37042_0400_PP_1119.png,anodr,anodr,0.531284,0.387169,0.027958,0.009888,0.043703
20051117_37051_0400_PP_1136.png,anodr,anodr,0.679202,0.259481,0.024301,0.011440,0.025576
20051117_37078_0400_PP_559.png,anodr,anodr,0.798088,0.059897,0.065077,0.031947,0.044992
20051117_37100_0400_PP_1083.png,anodr,anodr,0.790569,0.046248,0.086708,0.033507,0.042968
20051117_37130_0400_PP_938.png,anodr,anodr,0.692594,0.199701,0.057466,0.016808,0.033432
20051117_37155_0400_PP_84.png,anodr,anodr,0.733994,0.107318,0.070806,0.030971,0.056910
20051117_37185_0400_PP_404.png,anodr,anodr,0.726344,0.211847,0.030715,0.012772,0.018322
20051117_37321_0400_PP_947.png,anodr,anodr,0.762360,0.163181,0.037704,0.013057,0.023698
20051130_53586_0400_PP_1121.png,anodr,anodr,0.831758,0.110027,0.020330,0.017818,0.020066
20051130_53623_0400_PP_894.png,anodr,anodr,0.382295,0.186309,0.354552,0.047738,0.029106
20051130_53663_0400_PP_510.png,anodr,anodr,0.419885,0.138367,0.361906,0.044370,0.035472
20051130_53991_0400_PP_277.png,anodr,anodr,0.909344,0.039575,0.020625,0.015876,0.014580
20051130_54030_0400_PP_946.png,anodr,anodr,0.908453,0.034264,0.020747,0.021566,0.014969
20051130_54077_0400_PP_1117.png,anodr,anodr,0.799446,0.098051,0.065650,0.018956,0.017897
20051130_54121_0400_PP_1281.png,anodr,anodr,0.852126,0.068348,0.046022,0.016393,0.017112
