image_path,true_label,true_class,predicted_label,predicted_class,correct,confidence,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
../../../data/data_MESSIDOR2/test/anodr/20051020_43808_0100_PP_967.png,0,anodr,0,anodr,True,0.8405238,0.8405238,0.035780612,0.07300074,0.023956742,0.026738124
../../../data/data_MESSIDOR2/test/anodr/20051020_44261_0100_PP_1191.png,0,anodr,0,anodr,True,0.90375763,0.90375763,0.031253517,0.023182524,0.021505428,0.020300943
../../../data/data_MESSIDOR2/test/anodr/20051020_44284_0100_PP_502.png,0,anodr,0,anodr,True,0.89067906,0.89067906,0.030578751,0.032464013,0.022977782,0.023300417
../../../data/data_MESSIDOR2/test/anodr/20051020_44338_0100_PP_547.png,0,anodr,0,anodr,True,0.84009707,0.84009707,0.044374797,0.06062484,0.02883629,0.026066985
../../../data/data_MESSIDOR2/test/anodr/20051020_44400_0100_PP_920.png,0,anodr,0,anodr,True,0.86787164,0.86787164,0.03517711,0.046913497,0.020799335,0.029238418
../../../data/data_MESSIDOR2/test/anodr/20051020_44431_0100_PP_514.png,0,anodr,0,anodr,True,0.88172674,0.88172674,0.044480916,0.031036535,0.023592344,0.01916348
../../../data/data_MESSIDOR2/test/anodr/20051020_44692_0100_PP_419.png,0,anodr,0,anodr,True,0.8939576,0.8939576,0.024471518,0.03413484,0.022789618,0.024646448
../../../data/data_MESSIDOR2/test/anodr/20051020_44714_0100_PP_1199.png,0,anodr,0,anodr,True,0.90531355,0.90531355,0.025043633,0.025954518,0.02222842,0.02145992
../../../data/data_MESSIDOR2/test/anodr/20051020_44982_0100_PP_486.png,0,anodr,0,anodr,True,0.8908141,0.8908141,0.027047848,0.034269806,0.025138479,0.022729693
../../../data/data_MESSIDOR2/test/anodr/20051020_56791_0100_PP_1185.png,0,anodr,0,anodr,True,0.8846674,0.8846674,0.02947665,0.03594612,0.024633905,0.025275936
../../../data/data_MESSIDOR2/test/anodr/20051020_57157_0100_PP_971.png,0,anodr,0,anodr,True,0.87401146,0.87401146,0.030405529,0.04259055,0.026519947,0.02647244
../../../data/data_MESSIDOR2/test/anodr/20051020_57967_0100_PP_829.png,0,anodr,0,anodr,True,0.9024745,0.9024745,0.027516501,0.02463747,0.022361895,0.023009574
../../../data/data_MESSIDOR2/test/anodr/20051020_58065_0100_PP_561.png,0,anodr,1,bmilddr,False,0.35668483,0.3463129,0.35668483,0.26397857,0.017777592,0.015246056
../../../data/data_MESSIDOR2/test/anodr/20051020_61757_0100_PP_484.png,0,anodr,0,anodr,True,0.88916814,0.88916814,0.02654053,0.03675447,0.023515692,0.02402112
../../../data/data_MESSIDOR2/test/anodr/20051020_62461_0100_PP_76.png,0,anodr,0,anodr,True,0.84593606,0.84593606,0.057628065,0.04978952,0.023439683,0.023206722
../../../data/data_MESSIDOR2/test/anodr/20051020_62510_0100_PP_106.png,0,anodr,0,anodr,True,0.7209497,0.7209497,0.15833068,0.06815385,0.027550366,0.025015436
../../../data/data_MESSIDOR2/test/anodr/20051020_62577_0100_PP_479.png,0,anodr,0,anodr,True,0.8985051,0.8985051,0.025191363,0.029411143,0.023535041,0.023357263
../../../data/data_MESSIDOR2/test/anodr/20051020_62615_0100_PP_294.png,0,anodr,0,anodr,True,0.90435684,0.90435684,0.024566643,0.027745644,0.021560712,0.02177019
../../../data/data_MESSIDOR2/test/anodr/20051020_63269_0100_PP_1183.png,0,anodr,0,anodr,True,0.84374124,0.84374124,0.03906801,0.057377584,0.028959826,0.030853346
../../../data/data_MESSIDOR2/test/anodr/20051020_63337_0100_PP_471.png,0,anodr,0,anodr,True,0.8359006,0.8359006,0.051330943,0.053530276,0.028627997,0.0306102
../../../data/data_MESSIDOR2/test/anodr/20051020_64249_0100_PP_1004.png,0,anodr,0,anodr,True,0.88777584,0.88777584,0.025155285,0.038421586,0.025182547,0.023464723
../../../data/data_MESSIDOR2/test/anodr/20051020_64388_0100_PP_1194.png,0,anodr,0,anodr,True,0.8962697,0.8962697,0.024764575,0.031990778,0.023801487,0.0231734
../../../data/data_MESSIDOR2/test/anodr/20051020_64653_0100_PP_124.png,0,anodr,0,anodr,True,0.89376056,0.89376056,0.022685105,0.032918945,0.0233771,0.027258286
../../../data/data_MESSIDOR2/test/anodr/20051020_64775_0100_PP_480.png,0,anodr,0,anodr,True,0.9022744,0.9022744,0.023484964,0.031582963,0.019380681,0.023276972
../../../data/data_MESSIDOR2/test/anodr/20051020_64836_0100_PP_1270.png,0,anodr,0,anodr,True,0.87247545,0.87247545,0.044403356,0.039436728,0.020914627,0.022769824
../../../data/data_MESSIDOR2/test/anodr/20051021_36380_0100_PP_135.png,0,anodr,0,anodr,True,0.90066487,0.90066487,0.022713298,0.03118463,0.023205208,0.022231942
../../../data/data_MESSIDOR2/test/anodr/20051021_36476_0100_PP_1243.png,0,anodr,0,anodr,True,0.8941764,0.8941764,0.02466442,0.033085253,0.025438897,0.022635028
../../../data/data_MESSIDOR2/test/anodr/20051021_39845_0100_PP_315.png,0,anodr,0,anodr,True,0.9067195,0.9067195,0.024868447,0.025023963,0.022295319,0.02109281
../../../data/data_MESSIDOR2/test/anodr/20051021_39914_0100_PP_1352.png,0,anodr,0,anodr,True,0.87145233,0.87145233,0.031288788,0.04567844,0.027216619,0.024363803
../../../data/data_MESSIDOR2/test/anodr/20051021_51418_0100_PP_18.png,0,anodr,0,anodr,True,0.9045275,0.9045275,0.022887344,0.030309847,0.020688068,0.021587277
../../../data/data_MESSIDOR2/test/anodr/20051021_51476_0100_PP_150.png,0,anodr,0,anodr,True,0.7329078,0.7329078,0.17115483,0.037680224,0.025625577,0.03263164
../../../data/data_MESSIDOR2/test/anodr/20051021_51936_0100_PP_1379.png,0,anodr,0,anodr,True,0.8587197,0.8587197,0.038645506,0.051142413,0.027128067,0.024364296
../../../data/data_MESSIDOR2/test/anodr/20051021_51994_0100_PP_1283.png,0,anodr,0,anodr,True,0.8563535,0.8563535,0.047023863,0.048995283,0.024530869,0.023096416
../../../data/data_MESSIDOR2/test/anodr/20051021_57798_0100_PP_1322.png,0,anodr,0,anodr,True,0.8638475,0.8638475,0.051093403,0.042315897,0.02335741,0.019385848
../../../data/data_MESSIDOR2/test/anodr/20051021_57862_0100_PP_372.png,0,anodr,0,anodr,True,0.86017543,0.86017543,0.07461577,0.028996937,0.022083718,0.014128234
../../../data/data_MESSIDOR2/test/anodr/20051021_57975_0100_PP_517.png,0,anodr,0,anodr,True,0.91452825,0.91452825,0.02057875,0.025929801,0.0178463,0.02111687
../../../data/data_MESSIDOR2/test/anodr/20051021_58035_0100_PP_1138.png,0,anodr,0,anodr,True,0.8796236,0.8796236,0.026573086,0.047701955,0.021186365,0.024914939
../../../data/data_MESSIDOR2/test/anodr/20051021_58388_0100_PP_1300.png,0,anodr,0,anodr,True,0.9009219,0.9009219,0.025617044,0.02866083,0.023210434,0.021589816
../../../data/data_MESSIDOR2/test/anodr/20051021_58522_0100_PP_50.png,0,anodr,0,anodr,True,0.88356096,0.88356096,0.030793972,0.03557375,0.024965353,0.025106011
../../../data/data_MESSIDOR2/test/anodr/20051109_57843_0400_PP_1109.png,0,anodr,0,anodr,True,0.86727625,0.86727625,0.06348607,0.025995176,0.023174215,0.020068364
../../../data/data_MESSIDOR2/test/anodr/20051109_59969_0400_PP_1079.png,0,anodr,0,anodr,True,0.8920871,0.8920871,0.0304517,0.032140557,0.023177184,0.022143444
../../../data/data_MESSIDOR2/test/anodr/20051109_60031_0400_PP_528.png,0,anodr,0,anodr,True,0.8736426,0.8736426,0.033759557,0.041560378,0.026106302,0.02493102
../../../data/data_MESSIDOR2/test/anodr/20051109_60136_0400_PP_905.png,0,anodr,0,anodr,True,0.9069842,0.9069842,0.02550228,0.025729008,0.020627279,0.02115723
../../../data/data_MESSIDOR2/test/anodr/20051110_33960_0400_PP_35.png,0,anodr,0,anodr,True,0.8839774,0.8839774,0.031918935,0.036158975,0.024259044,0.02368559
