filename,pred_class,pred_index,a_noamd_prob,b_amd_prob
a_noamd/N0001.jpg,a_noamd,0,0.761006,0.238994
a_noamd/N0002.jpg,a_noamd,0,0.760384,0.239616
a_noamd/N0003.jpg,a_noamd,0,0.756178,0.243822
a_noamd/N0004.jpg,a_noamd,0,0.760917,0.239083
a_noamd/N0005.jpg,a_noamd,0,0.756358,0.243642
a_noamd/N0006.jpg,a_noamd,0,0.756537,0.243463
a_noamd/N0007.jpg,a_noamd,0,0.753557,0.246443
a_noamd/N0008.jpg,a_noamd,0,0.756987,0.243013
a_noamd/N0009.jpg,a_noamd,0,0.754463,0.245537
a_noamd/N0010.jpg,a_noamd,0,0.758868,0.241132
a_noamd/N0011.jpg,a_noamd,0,0.758063,0.241937
a_noamd/N0012.jpg,a_noamd,0,0.757436,0.242564
a_noamd/N0013.jpg,a_noamd,0,0.752831,0.247169
a_noamd/N0014.jpg,a_noamd,0,0.756537,0.243463
a_noamd/N0015.jpg,a_noamd,0,0.757256,0.242744
a_noamd/N0016.jpg,a_noamd,0,0.708818,0.291182
a_noamd/N0017.jpg,a_noamd,0,0.756268,0.243732
a_noamd/N0018.jpg,a_noamd,0,0.756268,0.243732
a_noamd/N0019.jpg,a_noamd,0,0.756447,0.243552
a_noamd/N0020.jpg,a_noamd,0,0.757166,0.242834
a_noamd/N0021.jpg,b_amd,1,0.308555,0.691445
a_noamd/N0022.jpg,a_noamd,0,0.723847,0.276153
a_noamd/N0023.jpg,a_noamd,0,0.756627,0.243373
a_noamd/N0024.jpg,a_noamd,0,0.694095,0.305905
a_noamd/N0025.jpg,a_noamd,0,0.761627,0.238373
a_noamd/N0026.jpg,a_noamd,0,0.762513,0.237487
a_noamd/N0027.jpg,a_noamd,0,0.757615,0.242385
a_noamd/N0028.jpg,a_noamd,0,0.757525,0.242475
a_noamd/N0029.jpg,a_noamd,0,0.757166,0.242834
a_noamd/N0030.jpg,a_noamd,0,0.755096,0.244904
a_noamd/N0031.jpg,a_noamd,0,0.758958,0.241042
a_noamd/N0032.jpg,a_noamd,0,0.758511,0.241489
a_noamd/N0033.jpg,a_noamd,0,0.756268,0.243732
a_noamd/N0034.jpg,a_noamd,0,0.740080,0.259920
a_noamd/N0035.jpg,a_noamd,0,0.761893,0.238107
a_noamd/N0036.jpg,a_noamd,0,0.758779,0.241221
a_noamd/N0037.jpg,a_noamd,0,0.757436,0.242564
a_noamd/N0038.jpg,a_noamd,0,0.702581,0.297419
a_noamd/N0039.jpg,a_noamd,0,0.756717,0.243283
a_noamd/N0040.jpg,b_amd,1,0.139279,0.860721
a_noamd/N0041.jpg,b_amd,1,0.294266,0.705734
a_noamd/N0042.jpg,a_noamd,0,0.757705,0.242295
a_noamd/N0043.jpg,a_noamd,0,0.740080,0.259920
a_noamd/N0044.jpg,a_noamd,0,0.756897,0.243103
a_noamd/N0045.jpg,a_noamd,0,0.757794,0.242206
a_noamd/N0046.jpg,a_noamd,0,0.756807,0.243193
a_noamd/N0047.jpg,a_noamd,0,0.758332,0.241668
a_noamd/N0048.jpg,a_noamd,0,0.679817,0.320183
a_noamd/N0049.jpg,a_noamd,0,0.728893,0.271107
a_noamd/N0050.jpg,a_noamd,0,0.755997,0.244003
a_noamd/N0051.jpg,a_noamd,0,0.725260,0.274740
a_noamd/N0052.jpg,a_noamd,0,0.654674,0.345326
a_noamd/N0053.jpg,a_noamd,0,0.752468,0.247532
a_noamd/N0054.jpg,a_noamd,0,0.727492,0.272508
a_noamd/N0055.jpg,a_noamd,0,0.757256,0.242744
a_noamd/N0056.jpg,a_noamd,0,0.761006,0.238994
a_noamd/N0057.jpg,a_noamd,0,0.755186,0.244814
a_noamd/N0058.jpg,a_noamd,0,0.759315,0.240685
a_noamd/N0059.jpg,a_noamd,0,0.722380,0.277620
a_noamd/N0060.jpg,a_noamd,0,0.714976,0.285024
a_noamd/N0061.jpg,a_noamd,0,0.754825,0.245175
a_noamd/N0062.jpg,a_noamd,0,0.754553,0.245447
a_noamd/N0063.jpg,a_noamd,0,0.755276,0.244724
a_noamd/N0064.jpg,a_noamd,0,0.755276,0.244724
a_noamd/N0065.jpg,a_noamd,0,0.756178,0.243822
a_noamd/N0066.jpg,b_amd,1,0.380903,0.619097
a_noamd/N0067.jpg,b_amd,1,0.304921,0.695079
a_noamd/N0068.jpg,a_noamd,0,0.756717,0.243283
a_noamd/N0069.jpg,a_noamd,0,0.753920,0.246080
a_noamd/N0070.jpg,a_noamd,0,0.755005,0.244995
a_noamd/N0071.jpg,a_noamd,0,0.755637,0.244363
a_noamd/N0072.jpg,a_noamd,0,0.757346,0.242654
a_noamd/N0073.jpg,a_noamd,0,0.755547,0.244453
a_noamd/N0074.jpg,a_noamd,0,0.756807,0.243193
a_noamd/N0075.jpg,a_noamd,0,0.759047,0.240953
a_noamd/N0076.jpg,a_noamd,0,0.754915,0.245085
a_noamd/N0077.jpg,a_noamd,0,0.759939,0.240061
a_noamd/N0078.jpg,a_noamd,0,0.757615,0.242385
a_noamd/N0079.jpg,a_noamd,0,0.691237,0.308763
a_noamd/N0080.jpg,a_noamd,0,0.758063,0.241937
a_noamd/N0081.jpg,a_noamd,0,0.761539,0.238462
a_noamd/N0082.jpg,a_noamd,0,0.760206,0.239794
a_noamd/N0083.jpg,a_noamd,0,0.758242,0.241758
a_noamd/N0084.jpg,a_noamd,0,0.759850,0.240150
a_noamd/N0085.jpg,a_noamd,0,0.760028,0.239972
a_noamd/N0086.jpg,a_noamd,0,0.607634,0.392366
a_noamd/N0087.jpg,a_noamd,0,0.757077,0.242923
a_noamd/N0088.jpg,a_noamd,0,0.759850,0.240150
a_noamd/N0089.jpg,a_noamd,0,0.754644,0.245356
a_noamd/N0090.jpg,a_noamd,0,0.741206,0.258794
a_noamd/N0091.jpg,a_noamd,0,0.756897,0.243103
a_noamd/N0092.jpg,a_noamd,0,0.751830,0.248170
a_noamd/N0093.jpg,a_noamd,0,0.758063,0.241937
a_noamd/N0094.jpg,a_noamd,0,0.753739,0.246261
a_noamd/N0095.jpg,a_noamd,0,0.757166,0.242834
a_noamd/N0096.jpg,a_noamd,0,0.755817,0.244183
a_noamd/N0097.jpg,a_noamd,0,0.697712,0.302288
a_noamd/N0098.jpg,a_noamd,0,0.689149,0.310851
a_noamd/N0099.jpg,a_noamd,0,0.748536,0.251464
a_noamd/N0100.jpg,a_noamd,0,0.692954,0.307046
a_noamd/N0101.jpg,a_noamd,0,0.753739,0.246261
a_noamd/N0102.jpg,a_noamd,0,0.759047,0.240953
a_noamd/N0103.jpg,a_noamd,0,0.746693,0.253306
a_noamd/N0104.jpg,a_noamd,0,0.755547,0.244453
a_noamd/N0105.jpg,a_noamd,0,0.736827,0.263173
a_noamd/N0106.jpg,a_noamd,0,0.622832,0.377168
a_noamd/N0107.jpg,a_noamd,0,0.707405,0.292595
a_noamd/N0108.jpg,a_noamd,0,0.722674,0.277326
a_noamd/N0109.jpg,a_noamd,0,0.716615,0.283385
a_noamd/N0110.jpg,a_noamd,0,0.754734,0.245266
a_noamd/N0111.jpg,a_noamd,0,0.750461,0.249539
a_noamd/N0112.jpg,a_noamd,0,0.723456,0.276544
a_noamd/N0113.jpg,a_noamd,0,0.604953,0.395047
