filename,predicted_class,prob_anormal,prob_cglaucoma
RET027OD.jpg,anormal,0.916652,0.08334801
RET035OD.jpg,anormal,0.9161466,0.0838535
RET035OS.jpg,anormal,0.9162418,0.08375822
RET096OD.jpg,anormal,0.9010055,0.098994546
RET098OD.jpg,anormal,0.81405324,0.18594678
RET107OD.jpg,anormal,0.91603553,0.08396446
RET129OS.jpg,anormal,0.916709,0.08329095
RET131OD.jpg,anormal,0.83551323,0.16448672
RET132OD.jpg,anormal,0.9167458,0.083254226
RET133OD.jpg,anormal,0.8114962,0.18850377
RET137OD.jpg,anormal,0.7942303,0.2057697
RET141OS.jpg,anormal,0.7942846,0.2057154
RET146OS.jpg,anormal,0.7992743,0.2007257
RET150OS.jpg,anormal,0.7970698,0.20293026
RET153OS.jpg,anormal,0.8722472,0.12775281
RET163OS.jpg,anormal,0.9159725,0.08402751
RET168OS.jpg,anormal,0.79860306,0.20139696
RET175OD.jpg,anormal,0.7979396,0.20206046
RET177OD.jpg,anormal,0.9147244,0.08527567
RET177OS.jpg,anormal,0.91678375,0.08321623
RET178OD.jpg,anormal,0.9145587,0.0854413
RET181OS.jpg,anormal,0.9110395,0.08896051
RET182OD.jpg,anormal,0.9172569,0.08274304
RET184OD.jpg,anormal,0.9164204,0.083579615
RET184OS.jpg,anormal,0.8699181,0.13008185
RET190OS.jpg,anormal,0.9165372,0.08346273
RET191OS.jpg,anormal,0.91636443,0.08363557
RET192OS.jpg,anormal,0.91713244,0.08286751
RET197OD.jpg,anormal,0.9145825,0.08541757
RET198OD.jpg,anormal,0.9173146,0.08268541
RET198OS.jpg,anormal,0.9122819,0.08771811
RET199OD.jpg,anormal,0.9162062,0.0837938
RET200OD.jpg,anormal,0.81312513,0.1868749
RET200OS.jpg,anormal,0.9169597,0.083040304
RET201OD.jpg,anormal,0.91677094,0.0832291
RET202OD.jpg,anormal,0.8854498,0.11455014
RET203OD.jpg,anormal,0.9163353,0.08366474
RET203OS.jpg,anormal,0.9165609,0.08343917
RET210OD.jpg,anormal,0.9165898,0.08341018
RET211OS.jpg,anormal,0.9172602,0.08273977
RET212OD.jpg,anormal,0.80354345,0.1964566
RET213OS.jpg,anormal,0.80088085,0.19911912
RET216OD.jpg,anormal,0.91659814,0.08340187
RET216OS.jpg,anormal,0.916754,0.08324602
RET220OD.jpg,anormal,0.81203955,0.18796049
RET220OS.jpg,anormal,0.91700304,0.08299699
RET224OD.jpg,anormal,0.915781,0.08421895
RET228OS.jpg,anormal,0.9152636,0.08473636
RET231OD.jpg,anormal,0.9154851,0.084514886
RET237OD.jpg,anormal,0.9161752,0.08382477
RET245OS.jpg,anormal,0.9147951,0.08520488
RET252OS.jpg,anormal,0.813173,0.186827
RET253OD.jpg,anormal,0.9172543,0.08274564
RET253OS.jpg,anormal,0.9169887,0.08301128
RET256OD.jpg,anormal,0.8020893,0.19791074
RET258OD.jpg,anormal,0.916876,0.08312398
RET259OD.jpg,anormal,0.81326497,0.18673502
RET261OS.jpg,anormal,0.89108354,0.10891644
RET267OD.jpg,anormal,0.8083951,0.19160494
RET271OS.jpg,anormal,0.8023763,0.1976237
RET272OD.jpg,anormal,0.91686344,0.08313655
RET277OS.jpg,anormal,0.86693275,0.13306719
RET282OD.jpg,anormal,0.9113016,0.088698424
RET282OS.jpg,anormal,0.9172156,0.08278437
RET283OS.jpg,anormal,0.8430016,0.15699841
RET285OS.jpg,anormal,0.916607,0.08339298
RET291OD.jpg,anormal,0.8618578,0.13814224
RET002OD.jpg,anormal,0.91630846,0.08369151
RET006OS.jpg,anormal,0.8118081,0.18819188
RET053OD.jpg,anormal,0.80520236,0.19479762
RET066OS.jpg,anormal,0.8052818,0.19471821
RET089OD.jpg,anormal,0.8617454,0.13825458
RET091OD.jpg,anormal,0.90532166,0.0946784
RET102OD.jpg,anormal,0.9168026,0.083197355
RET106OD.jpg,anormal,0.91607535,0.08392466
RET114OS.jpg,anormal,0.9169503,0.08304973
RET120OD.jpg,anormal,0.9149986,0.08500142
RET120OS.jpg,anormal,0.9161916,0.08380841
RET122OD.jpg,anormal,0.91570485,0.08429519
RET122OS.jpg,anormal,0.81811965,0.18188034
RET276OS.jpg,anormal,0.91516954,0.08483044
