image_path,true_label,predicted_label,confidence,prob_a_noamd,prob_b_amd,correct
../../../data/data_UKBB/test/a_noamd/1018113_21015_1_0.png,a_noamd,a_noamd,0.95626813,0.95626813,0.043731883,True
../../../data/data_UKBB/test/a_noamd/1020777_21015_1_0.png,a_noamd,a_noamd,0.9470882,0.9470882,0.05291181,True
../../../data/data_UKBB/test/a_noamd/1026486_21016_0_0.png,a_noamd,a_noamd,0.94197524,0.94197524,0.05802475,True
../../../data/data_UKBB/test/a_noamd/1036537_21016_0_0.png,a_noamd,a_noamd,0.95379424,0.95379424,0.04620575,True
../../../data/data_UKBB/test/a_noamd/1039702_21015_1_0.png,a_noamd,a_noamd,0.9638821,0.9638821,0.036117926,True
../../../data/data_UKBB/test/a_noamd/1046092_21015_0_0.png,a_noamd,a_noamd,0.9374402,0.9374402,0.062559724,True
../../../data/data_UKBB/test/a_noamd/1064334_21016_0_0.png,a_noamd,a_noamd,0.6228035,0.6228035,0.37719646,True
../../../data/data_UKBB/test/a_noamd/1103313_21016_0_0.png,a_noamd,b_amd,0.8059378,0.19406216,0.8059378,False
../../../data/data_UKBB/test/a_noamd/1107730_21015_0_0.png,a_noamd,a_noamd,0.92366123,0.92366123,0.0763388,True
../../../data/data_UKBB/test/a_noamd/1134266_21015_0_0.png,a_noamd,a_noamd,0.8702668,0.8702668,0.12973315,True
../../../data/data_UKBB/test/a_noamd/1167873_21016_0_0.png,a_noamd,a_noamd,0.61523235,0.61523235,0.38476762,True
../../../data/data_UKBB/test/a_noamd/1169358_21015_1_0.png,a_noamd,a_noamd,0.9619649,0.9619649,0.038035095,True
../../../data/data_UKBB/test/a_noamd/1170584_21016_0_0.png,a_noamd,a_noamd,0.9510514,0.9510514,0.04894862,True
../../../data/data_UKBB/test/a_noamd/1175155_21016_0_0.png,a_noamd,a_noamd,0.9508236,0.9508236,0.049176436,True
../../../data/data_UKBB/test/a_noamd/1178859_21016_0_0.png,a_noamd,a_noamd,0.8824279,0.8824279,0.117572136,True
../../../data/data_UKBB/test/a_noamd/1184375_21016_1_0.png,a_noamd,a_noamd,0.5607338,0.5607338,0.4392662,True
../../../data/data_UKBB/test/a_noamd/1186967_21016_0_0.png,a_noamd,a_noamd,0.59383744,0.59383744,0.40616253,True
../../../data/data_UKBB/test/a_noamd/1197089_21016_0_0.png,a_noamd,a_noamd,0.9395816,0.9395816,0.060418423,True
../../../data/data_UKBB/test/a_noamd/1197343_21015_0_0.png,a_noamd,a_noamd,0.9328214,0.9328214,0.06717857,True
../../../data/data_UKBB/test/a_noamd/1220742_21016_0_0.png,a_noamd,a_noamd,0.95068645,0.95068645,0.049313605,True
../../../data/data_UKBB/test/a_noamd/1223318_21016_0_0.png,a_noamd,a_noamd,0.7438664,0.7438664,0.25613365,True
../../../data/data_UKBB/test/a_noamd/1230171_21016_0_0.png,a_noamd,a_noamd,0.6606378,0.6606378,0.33936223,True
../../../data/data_UKBB/test/a_noamd/1250082_21016_0_0.png,a_noamd,a_noamd,0.958187,0.958187,0.041812986,True
../../../data/data_UKBB/test/a_noamd/1260458_21016_0_0.png,a_noamd,a_noamd,0.7711549,0.7711549,0.22884513,True
../../../data/data_UKBB/test/a_noamd/1261685_21016_0_0.png,a_noamd,a_noamd,0.9745077,0.9745077,0.025492333,True
../../../data/data_UKBB/test/a_noamd/1267094_21016_0_0.png,a_noamd,a_noamd,0.89978373,0.89978373,0.10021624,True
../../../data/data_UKBB/test/a_noamd/1275770_21015_0_0.png,a_noamd,a_noamd,0.93863225,0.93863225,0.06136777,True
