image_path,true_label,predicted_label,confidence,prob_a_noamd,prob_b_amd,correct
../../../data/data_ADAM/test/a_noamd/N0001.jpg,a_noamd,a_noamd,0.5907202,0.5907202,0.40927982,True
../../../data/data_ADAM/test/a_noamd/N0002.jpg,a_noamd,a_noamd,0.749179,0.749179,0.25082102,True
../../../data/data_ADAM/test/a_noamd/N0003.jpg,a_noamd,a_noamd,0.6802682,0.6802682,0.3197317,True
../../../data/data_ADAM/test/a_noamd/N0004.jpg,a_noamd,a_noamd,0.63937026,0.63937026,0.3606298,True
../../../data/data_ADAM/test/a_noamd/N0005.jpg,a_noamd,a_noamd,0.5176318,0.5176318,0.48236814,True
../../../data/data_ADAM/test/a_noamd/N0006.jpg,a_noamd,a_noamd,0.80829436,0.80829436,0.1917057,True
../../../data/data_ADAM/test/a_noamd/N0007.jpg,a_noamd,a_noamd,0.9118885,0.9118885,0.08811155,True
../../../data/data_ADAM/test/a_noamd/N0008.jpg,a_noamd,a_noamd,0.9172285,0.9172285,0.08277146,True
../../../data/data_ADAM/test/a_noamd/N0009.jpg,a_noamd,a_noamd,0.5512265,0.5512265,0.44877353,True
../../../data/data_ADAM/test/a_noamd/N0010.jpg,a_noamd,b_amd,0.6124111,0.38758892,0.6124111,False
../../../data/data_ADAM/test/a_noamd/N0011.jpg,a_noamd,a_noamd,0.7411123,0.7411123,0.25888768,True
../../../data/data_ADAM/test/a_noamd/N0012.jpg,a_noamd,a_noamd,0.9137535,0.9137535,0.08624648,True
../../../data/data_ADAM/test/a_noamd/N0013.jpg,a_noamd,a_noamd,0.94261247,0.94261247,0.057387535,True
../../../data/data_ADAM/test/a_noamd/N0014.jpg,a_noamd,a_noamd,0.9434519,0.9434519,0.056548137,True
../../../data/data_ADAM/test/a_noamd/N0015.jpg,a_noamd,a_noamd,0.5565502,0.5565502,0.4434498,True
../../../data/data_ADAM/test/a_noamd/N0016.jpg,a_noamd,a_noamd,0.61578125,0.61578125,0.38421875,True
../../../data/data_ADAM/test/a_noamd/N0017.jpg,a_noamd,a_noamd,0.9183339,0.9183339,0.08166611,True
../../../data/data_ADAM/test/a_noamd/N0018.jpg,a_noamd,a_noamd,0.8976953,0.8976953,0.102304704,True
../../../data/data_ADAM/test/a_noamd/N0019.jpg,a_noamd,a_noamd,0.9014879,0.9014879,0.098512106,True
../../../data/data_ADAM/test/a_noamd/N0020.jpg,a_noamd,a_noamd,0.7224291,0.7224291,0.27757087,True
../../../data/data_ADAM/test/a_noamd/N0021.jpg,a_noamd,a_noamd,0.7917003,0.7917003,0.20829968,True
../../../data/data_ADAM/test/a_noamd/N0022.jpg,a_noamd,a_noamd,0.6171089,0.6171089,0.38289112,True
../../../data/data_ADAM/test/a_noamd/N0023.jpg,a_noamd,b_amd,0.8115267,0.1884733,0.8115267,False
../../../data/data_ADAM/test/a_noamd/N0024.jpg,a_noamd,b_amd,0.83575183,0.16424817,0.83575183,False
../../../data/data_ADAM/test/a_noamd/N0025.jpg,a_noamd,a_noamd,0.89274967,0.89274967,0.107250325,True
../../../data/data_ADAM/test/a_noamd/N0026.jpg,a_noamd,a_noamd,0.7188905,0.7188905,0.28110948,True
../../../data/data_ADAM/test/a_noamd/N0027.jpg,a_noamd,a_noamd,0.65748346,0.65748346,0.34251657,True
../../../data/data_ADAM/test/a_noamd/N0028.jpg,a_noamd,a_noamd,0.5701593,0.5701593,0.42984068,True
../../../data/data_ADAM/test/a_noamd/N0029.jpg,a_noamd,a_noamd,0.74167407,0.74167407,0.258326,True
