image_path,true_label,predicted_label,confidence,prob_anormal,prob_cglaucoma,correct
../../../data/data_PAPILA/test/anormal/RET027OD.jpg,anormal,anormal,0.9158842,0.9158842,0.08411582,True
../../../data/data_PAPILA/test/anormal/RET035OD.jpg,anormal,anormal,0.8388118,0.8388118,0.16118816,True
../../../data/data_PAPILA/test/anormal/RET035OS.jpg,anormal,anormal,0.8356848,0.8356848,0.16431522,True
../../../data/data_PAPILA/test/anormal/RET096OD.jpg,anormal,anormal,0.92703366,0.92703366,0.0729663,True
../../../data/data_PAPILA/test/anormal/RET098OD.jpg,anormal,anormal,0.8988109,0.8988109,0.10118906,True
../../../data/data_PAPILA/test/anormal/RET107OD.jpg,anormal,anormal,0.85415626,0.85415626,0.14584377,True
../../../data/data_PAPILA/test/anormal/RET129OS.jpg,anormal,anormal,0.88783824,0.88783824,0.11216174,True
../../../data/data_PAPILA/test/anormal/RET131OD.jpg,anormal,anormal,0.9147107,0.9147107,0.08528932,True
../../../data/data_PAPILA/test/anormal/RET132OD.jpg,anormal,anormal,0.9178566,0.9178566,0.08214343,True
../../../data/data_PAPILA/test/anormal/RET133OD.jpg,anormal,anormal,0.8759463,0.8759463,0.12405374,True
../../../data/data_PAPILA/test/anormal/RET137OD.jpg,anormal,anormal,0.85675234,0.85675234,0.14324762,True
../../../data/data_PAPILA/test/anormal/RET141OS.jpg,anormal,anormal,0.8577085,0.8577085,0.14229149,True
../../../data/data_PAPILA/test/anormal/RET146OS.jpg,anormal,anormal,0.8359529,0.8359529,0.1640472,True
../../../data/data_PAPILA/test/anormal/RET150OS.jpg,anormal,anormal,0.8653379,0.8653379,0.13466208,True
../../../data/data_PAPILA/test/anormal/RET153OS.jpg,anormal,anormal,0.8954313,0.8954313,0.10456872,True
../../../data/data_PAPILA/test/anormal/RET163OS.jpg,anormal,anormal,0.93593454,0.93593454,0.06406543,True
../../../data/data_PAPILA/test/anormal/RET168OS.jpg,anormal,anormal,0.90039855,0.90039855,0.09960151,True
../../../data/data_PAPILA/test/anormal/RET175OD.jpg,anormal,anormal,0.8822251,0.8822251,0.11777491,True
../../../data/data_PAPILA/test/anormal/RET177OD.jpg,anormal,anormal,0.906777,0.906777,0.09322298,True
../../../data/data_PAPILA/test/anormal/RET177OS.jpg,anormal,anormal,0.9218515,0.9218515,0.078148484,True
../../../data/data_PAPILA/test/anormal/RET178OD.jpg,anormal,anormal,0.9092242,0.9092242,0.09077578,True
../../../data/data_PAPILA/test/anormal/RET181OS.jpg,anormal,anormal,0.89688534,0.89688534,0.10311471,True
../../../data/data_PAPILA/test/anormal/RET182OD.jpg,anormal,anormal,0.9158466,0.9158466,0.08415344,True
../../../data/data_PAPILA/test/anormal/RET184OD.jpg,anormal,anormal,0.9231778,0.9231778,0.07682219,True
../../../data/data_PAPILA/test/anormal/RET184OS.jpg,anormal,anormal,0.9189906,0.9189906,0.08100938,True
../../../data/data_PAPILA/test/anormal/RET190OS.jpg,anormal,anormal,0.8852848,0.8852848,0.11471517,True
