filename,anormal_score,cglaucoma_score,predicted_class
RET027OD.jpg,0.529739,0.470261,anormal
RET035OD.jpg,0.526008,0.473991,anormal
RET035OS.jpg,0.515079,0.484921,anormal
RET096OD.jpg,0.518689,0.481311,anormal
RET098OD.jpg,0.526958,0.473042,anormal
RET107OD.jpg,0.582781,0.417219,anormal
RET129OS.jpg,0.559402,0.440598,anormal
RET131OD.jpg,0.537477,0.462523,anormal
RET132OD.jpg,0.516848,0.483152,anormal
RET133OD.jpg,0.553959,0.446041,anormal
RET137OD.jpg,0.601363,0.398637,anormal
RET141OS.jpg,0.593631,0.406369,anormal
RET146OS.jpg,0.557409,0.442591,anormal
RET150OS.jpg,0.572181,0.427819,anormal
RET153OS.jpg,0.562174,0.437826,anormal
RET163OS.jpg,0.515681,0.484319,anormal
RET168OS.jpg,0.551382,0.448618,anormal
RET175OD.jpg,0.556528,0.443472,anormal
RET177OD.jpg,0.521217,0.478783,anormal
RET177OS.jpg,0.512872,0.487128,anormal
RET178OD.jpg,0.542839,0.457161,anormal
RET181OS.jpg,0.552746,0.447254,anormal
RET182OD.jpg,0.518395,0.481605,anormal
RET184OD.jpg,0.558274,0.441726,anormal
RET184OS.jpg,0.535843,0.464157,anormal
RET190OS.jpg,0.574585,0.425415,anormal
RET191OS.jpg,0.537328,0.462672,anormal
RET192OS.jpg,0.544847,0.455153,anormal
RET197OD.jpg,0.539823,0.460177,anormal
RET198OD.jpg,0.521828,0.478172,anormal
RET198OS.jpg,0.517520,0.482480,anormal
RET199OD.jpg,0.520078,0.479922,anormal
RET200OD.jpg,0.560881,0.439119,anormal
RET200OS.jpg,0.561692,0.438308,anormal
RET201OD.jpg,0.545643,0.454357,anormal
RET202OD.jpg,0.528905,0.471095,anormal
RET203OD.jpg,0.549729,0.450271,anormal
RET203OS.jpg,0.537085,0.462915,anormal
RET210OD.jpg,0.551600,0.448400,anormal
RET211OS.jpg,0.530492,0.469508,anormal
RET212OD.jpg,0.589398,0.410602,anormal
RET213OS.jpg,0.539200,0.460800,anormal
RET216OD.jpg,0.538399,0.461601,anormal
RET216OS.jpg,0.547205,0.452795,anormal
RET220OD.jpg,0.522821,0.477179,anormal
RET220OS.jpg,0.537752,0.462248,anormal
RET224OD.jpg,0.541967,0.458033,anormal
RET228OS.jpg,0.578549,0.421451,anormal
RET231OD.jpg,0.561034,0.438966,anormal
RET237OD.jpg,0.577979,0.422021,anormal
RET245OS.jpg,0.540476,0.459524,anormal
RET252OS.jpg,0.542768,0.457232,anormal
RET253OD.jpg,0.541495,0.458505,anormal
RET253OS.jpg,0.529231,0.470769,anormal
RET256OD.jpg,0.589804,0.410196,anormal
RET258OD.jpg,0.517660,0.482340,anormal
RET259OD.jpg,0.508975,0.491024,anormal
RET261OS.jpg,0.554111,0.445889,anormal
RET267OD.jpg,0.528639,0.471361,anormal
RET271OS.jpg,0.540721,0.459279,anormal
RET272OD.jpg,0.533378,0.466622,anormal
RET277OS.jpg,0.548065,0.451935,anormal
RET282OD.jpg,0.547562,0.452438,anormal
RET282OS.jpg,0.535689,0.464311,anormal
RET283OS.jpg,0.593992,0.406008,anormal
RET285OS.jpg,0.532410,0.467590,anormal
RET291OD.jpg,0.577302,0.422698,anormal
RET002OD.jpg,0.553171,0.446829,anormal
RET006OS.jpg,0.532252,0.467748,anormal
RET053OD.jpg,0.500614,0.499386,anormal
RET066OS.jpg,0.527774,0.472226,anormal
RET089OD.jpg,0.574793,0.425207,anormal
RET091OD.jpg,0.521198,0.478802,anormal
RET102OD.jpg,0.549142,0.450858,anormal
RET106OD.jpg,0.524247,0.475753,anormal
RET114OS.jpg,0.520128,0.479872,anormal
RET120OD.jpg,0.524862,0.475138,anormal
RET120OS.jpg,0.539635,0.460365,anormal
RET122OD.jpg,0.533133,0.466867,anormal
RET122OS.jpg,0.529805,0.470195,anormal
RET276OS.jpg,0.523339,0.476661,anormal
