filename,true_class,predicted_class,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
20051020_43808_0100_PP_967.png,anodr,anodr,0.922791,0.021963,0.022356,0.019344,0.013545
20051020_44261_0100_PP_1191.png,anodr,anodr,0.866481,0.055700,0.030649,0.023384,0.023786
20051020_44284_0100_PP_502.png,anodr,anodr,0.857326,0.047198,0.044731,0.027411,0.023334
20051020_44338_0100_PP_547.png,anodr,anodr,0.374278,0.288869,0.231714,0.043614,0.061526
20051020_44400_0100_PP_920.png,anodr,anodr,0.618903,0.250201,0.076926,0.017763,0.036207
20051020_44431_0100_PP_514.png,anodr,anodr,0.804556,0.099326,0.051991,0.019034,0.025093
20051020_44692_0100_PP_419.png,anodr,anodr,0.941882,0.012243,0.013133,0.012036,0.020706
20051020_44714_0100_PP_1199.png,anodr,anodr,0.897465,0.044892,0.021672,0.012886,0.023085
20051020_44982_0100_PP_486.png,anodr,anodr,0.820227,0.093602,0.048829,0.017884,0.019459
20051020_56791_0100_PP_1185.png,anodr,anodr,0.867373,0.078725,0.023609,0.012458,0.017835
20051020_57157_0100_PP_971.png,anodr,bmilddr,0.297180,0.469550,0.195764,0.018298,0.019208
20051020_57967_0100_PP_829.png,anodr,anodr,0.931093,0.019834,0.018535,0.016305,0.014233
20051020_58065_0100_PP_561.png,anodr,anodr,0.937518,0.021935,0.015122,0.012866,0.012558
20051020_61757_0100_PP_484.png,anodr,anodr,0.891748,0.033074,0.042654,0.020142,0.012383
20051020_62461_0100_PP_76.png,anodr,anodr,0.603758,0.208546,0.115648,0.026463,0.045585
20051020_62510_0100_PP_106.png,anodr,anodr,0.427006,0.260387,0.196865,0.037120,0.078621
20051020_62577_0100_PP_479.png,anodr,anodr,0.867214,0.064722,0.038126,0.013630,0.016308
20051020_62615_0100_PP_294.png,anodr,anodr,0.741470,0.171024,0.048708,0.012131,0.026667
20051020_63269_0100_PP_1183.png,anodr,anodr,0.923796,0.025788,0.020618,0.013284,0.016515
20051020_63337_0100_PP_471.png,anodr,anodr,0.877123,0.062379,0.026092,0.014280,0.020125
20051020_64249_0100_PP_1004.png,anodr,anodr,0.848694,0.068726,0.050345,0.017163,0.015073
20051020_64388_0100_PP_1194.png,anodr,anodr,0.929246,0.020968,0.020819,0.015590,0.013376
20051020_64653_0100_PP_124.png,anodr,anodr,0.876123,0.045366,0.044408,0.020189,0.013913
20051020_64775_0100_PP_480.png,anodr,anodr,0.866480,0.059393,0.042856,0.018328,0.012944
20051020_64836_0100_PP_1270.png,anodr,anodr,0.883269,0.043423,0.040992,0.017675,0.014642
20051021_36380_0100_PP_135.png,anodr,anodr,0.900222,0.047753,0.027807,0.012177,0.012040
20051021_36476_0100_PP_1243.png,anodr,anodr,0.875935,0.067320,0.030399,0.011946,0.014401
20051021_39845_0100_PP_315.png,anodr,anodr,0.928784,0.021758,0.017094,0.016184,0.016180
20051021_39914_0100_PP_1352.png,anodr,anodr,0.920916,0.023993,0.021751,0.018960,0.014381
20051021_51418_0100_PP_18.png,anodr,anodr,0.914848,0.033746,0.023141,0.014180,0.014085
20051021_51476_0100_PP_150.png,anodr,anodr,0.899068,0.030069,0.028831,0.018489,0.023543
20051021_51936_0100_PP_1379.png,anodr,anodr,0.727030,0.200238,0.035481,0.012256,0.024995
20051021_51994_0100_PP_1283.png,anodr,anodr,0.853909,0.085089,0.026262,0.011599,0.023141
20051021_57798_0100_PP_1322.png,anodr,anodr,0.779248,0.141339,0.041724,0.012760,0.024929
20051021_57862_0100_PP_372.png,anodr,anodr,0.855212,0.069455,0.031063,0.016752,0.027518
20051021_57975_0100_PP_517.png,anodr,anodr,0.847081,0.051109,0.071130,0.013212,0.017468
20051021_58035_0100_PP_1138.png,anodr,anodr,0.869360,0.040631,0.050725,0.020128,0.019156
20051021_58388_0100_PP_1300.png,anodr,anodr,0.903780,0.022606,0.036373,0.020085,0.017157
20051021_58522_0100_PP_50.png,anodr,anodr,0.935766,0.016419,0.015110,0.014402,0.018304
20051109_57843_0400_PP_1109.png,anodr,anodr,0.895542,0.041246,0.027613,0.017901,0.017698
20051109_59969_0400_PP_1079.png,anodr,anodr,0.869921,0.066716,0.029380,0.013653,0.020329
20051109_60031_0400_PP_528.png,anodr,anodr,0.433228,0.338912,0.180382,0.015250,0.032228
20051109_60136_0400_PP_905.png,anodr,anodr,0.438144,0.233896,0.241620,0.029477,0.056863
20051110_33960_0400_PP_35.png,anodr,anodr,0.567761,0.168421,0.192460,0.028772,0.042585
