filename,true_class,predicted_class,score_a_noamd,score_b_amd
N0001.jpg,a_noamd,a_noamd,0.827104,0.172896
N0002.jpg,a_noamd,a_noamd,0.838621,0.161379
N0003.jpg,a_noamd,a_noamd,0.675612,0.324388
N0004.jpg,a_noamd,a_noamd,0.559957,0.440043
N0005.jpg,a_noamd,a_noamd,0.705014,0.294986
N0006.jpg,a_noamd,a_noamd,0.804544,0.195456
N0007.jpg,a_noamd,a_noamd,0.860793,0.139207
N0008.jpg,a_noamd,a_noamd,0.859715,0.140285
N0009.jpg,a_noamd,a_noamd,0.666079,0.333921
N0010.jpg,a_noamd,a_noamd,0.658499,0.341501
N0011.jpg,a_noamd,a_noamd,0.592088,0.407912
N0012.jpg,a_noamd,a_noamd,0.842455,0.157545
N0013.jpg,a_noamd,a_noamd,0.849938,0.150062
N0014.jpg,a_noamd,a_noamd,0.854160,0.145840
N0015.jpg,a_noamd,a_noamd,0.776830,0.223170
N0016.jpg,a_noamd,a_noamd,0.746289,0.253711
N0017.jpg,a_noamd,a_noamd,0.883892,0.116108
N0018.jpg,a_noamd,a_noamd,0.882086,0.117914
N0019.jpg,a_noamd,a_noamd,0.889277,0.110723
N0020.jpg,a_noamd,a_noamd,0.664251,0.335749
N0021.jpg,a_noamd,a_noamd,0.584510,0.415490
N0022.jpg,a_noamd,a_noamd,0.697614,0.302386
N0023.jpg,a_noamd,b_amd,0.172320,0.827680
N0024.jpg,a_noamd,b_amd,0.194738,0.805262
N0025.jpg,a_noamd,a_noamd,0.738932,0.261068
N0026.jpg,a_noamd,a_noamd,0.824186,0.175814
N0027.jpg,a_noamd,a_noamd,0.659629,0.340371
N0028.jpg,a_noamd,b_amd,0.429874,0.570126
N0029.jpg,a_noamd,a_noamd,0.735844,0.264156
N0030.jpg,a_noamd,a_noamd,0.510100,0.489900
N0031.jpg,a_noamd,a_noamd,0.843270,0.156730
N0032.jpg,a_noamd,a_noamd,0.841110,0.158890
N0033.jpg,a_noamd,a_noamd,0.840456,0.159544
N0034.jpg,a_noamd,a_noamd,0.761725,0.238275
N0035.jpg,a_noamd,a_noamd,0.627599,0.372401
N0036.jpg,a_noamd,a_noamd,0.708004,0.291996
N0037.jpg,a_noamd,a_noamd,0.844692,0.155308
N0038.jpg,a_noamd,a_noamd,0.780364,0.219636
N0039.jpg,a_noamd,a_noamd,0.515546,0.484454
N0040.jpg,a_noamd,b_amd,0.175300,0.824700
N0041.jpg,a_noamd,b_amd,0.174568,0.825432
N0042.jpg,a_noamd,b_amd,0.155107,0.844893
N0043.jpg,a_noamd,b_amd,0.165723,0.834277
N0044.jpg,a_noamd,a_noamd,0.521882,0.478118
N0045.jpg,a_noamd,b_amd,0.374330,0.625670
N0046.jpg,a_noamd,a_noamd,0.866007,0.133993
N0047.jpg,a_noamd,b_amd,0.291665,0.708335
N0048.jpg,a_noamd,a_noamd,0.520278,0.479722
N0049.jpg,a_noamd,a_noamd,0.749721,0.250279
N0050.jpg,a_noamd,a_noamd,0.567749,0.432251
N0051.jpg,a_noamd,a_noamd,0.669977,0.330023
N0052.jpg,a_noamd,a_noamd,0.610968,0.389032
N0053.jpg,a_noamd,b_amd,0.475867,0.524133
N0054.jpg,a_noamd,b_amd,0.284139,0.715861
N0055.jpg,a_noamd,a_noamd,0.846349,0.153651
N0056.jpg,a_noamd,a_noamd,0.571498,0.428502
N0057.jpg,a_noamd,a_noamd,0.829413,0.170587
N0058.jpg,a_noamd,a_noamd,0.837991,0.162009
N0059.jpg,a_noamd,a_noamd,0.846634,0.153366
N0060.jpg,a_noamd,a_noamd,0.889983,0.110017
N0061.jpg,a_noamd,a_noamd,0.881474,0.118525
N0062.jpg,a_noamd,a_noamd,0.885930,0.114070
N0063.jpg,a_noamd,a_noamd,0.866342,0.133658
N0064.jpg,a_noamd,a_noamd,0.921368,0.078632
N0065.jpg,a_noamd,a_noamd,0.855720,0.144281
