filename,true_class,predicted_class,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
002c21358ce6.png,anodr,anodr,0.918656,0.016449,0.023513,0.025015,0.016367
005b95c28852.png,anodr,anodr,0.911979,0.013380,0.023995,0.026298,0.024348
00cc2b75cddd.png,anodr,anodr,0.920230,0.021702,0.018295,0.023256,0.016517
0182152c50de.png,anodr,anodr,0.923225,0.017040,0.017475,0.025812,0.016448
02cd34a85b24.png,anodr,anodr,0.889550,0.037553,0.028874,0.023228,0.020794
03b373718013.png,anodr,anodr,0.936258,0.016977,0.012187,0.020284,0.014294
04aef84a2cc1.png,anodr,anodr,0.933350,0.011217,0.019768,0.019615,0.016050
05b1bb2bdb81.png,anodr,anodr,0.950371,0.010848,0.010370,0.015580,0.012830
07596907347b.png,anodr,anodr,0.922184,0.014473,0.023162,0.022436,0.017745
07751b94a88a.png,anodr,anodr,0.912076,0.024033,0.021263,0.024713,0.017916
0790515cf5af.png,anodr,anodr,0.930839,0.021341,0.015313,0.017488,0.015019
08037e4490e5.png,anodr,anodr,0.939601,0.009678,0.017884,0.019039,0.013798
0851d6a69589.png,anodr,anodr,0.910330,0.028088,0.028267,0.018430,0.014886
08b6e3240858.png,anodr,anodr,0.916162,0.034432,0.020533,0.015393,0.013481
08bef347f40d.png,anodr,anodr,0.874374,0.034018,0.044236,0.022285,0.025086
08ee569d4721.png,anodr,anodr,0.920911,0.018545,0.017877,0.021918,0.020749
09237bf783a4.png,anodr,anodr,0.931885,0.012747,0.014352,0.023318,0.017698
096436d68d06.png,anodr,anodr,0.940784,0.014441,0.014625,0.015106,0.015043
099021fac3c9.png,anodr,anodr,0.927357,0.011168,0.021335,0.023544,0.016596
09c8323c612e.png,anodr,anodr,0.928362,0.014498,0.016473,0.022583,0.018084
0a38b552372d.png,anodr,anodr,0.915830,0.015242,0.030400,0.022185,0.016343
0a85a1e8f9e9.png,anodr,anodr,0.925528,0.011110,0.017786,0.018619,0.026958
0babc12807b2.png,anodr,bmilddr,0.003454,0.845255,0.136993,0.005259,0.009039
0cbcc7b23613.png,anodr,anodr,0.881180,0.030606,0.058062,0.015480,0.014672
0cd31078cd08.png,anodr,anodr,0.924404,0.014766,0.029056,0.019107,0.012668
0ce062f26edc.png,anodr,anodr,0.919321,0.011489,0.017667,0.035954,0.015570
0cecc2864b7f.png,anodr,anodr,0.947304,0.016799,0.010653,0.017003,0.008241
0d9a9896f801.png,anodr,anodr,0.914791,0.023419,0.026529,0.020305,0.014956
0da321efbce6.png,anodr,anodr,0.940404,0.021358,0.013759,0.015802,0.008676
0db1d8dcf219.png,anodr,anodr,0.916712,0.018919,0.026963,0.021093,0.016313
0e3572b5884a.png,anodr,anodr,0.921792,0.013957,0.022774,0.024140,0.017337
0ef4c61dc056.png,anodr,anodr,0.923185,0.020132,0.014317,0.023079,0.019288
0fbbd665431f.png,anodr,anodr,0.919439,0.039767,0.015723,0.013736,0.011335
0fc6829da85b.png,anodr,anodr,0.926264,0.016123,0.018268,0.019465,0.019880
1002b5151b8e.png,anodr,anodr,0.930052,0.014853,0.013252,0.024031,0.017813
103f97a2ab15.png,anodr,anodr,0.775918,0.155892,0.042488,0.011324,0.014377
10a5026eb8e6.png,anodr,anodr,0.935663,0.009923,0.013430,0.022888,0.018096
10de500cf0c5.png,anodr,anodr,0.940599,0.010501,0.014064,0.019838,0.014999
10f10fd30718.png,anodr,anodr,0.934746,0.013586,0.016350,0.020054,0.015264
12058bbb8299.png,anodr,anodr,0.918597,0.017469,0.017787,0.025638,0.020509
12bc439d373a.png,anodr,anodr,0.913908,0.020393,0.019060,0.026569,0.020069
12ef75375322.png,anodr,anodr,0.902787,0.013392,0.038734,0.022085,0.023003
143db89c11c8.png,anodr,anodr,0.939546,0.016003,0.012221,0.017222,0.015008
15b21c80cc31.png,anodr,anodr,0.914862,0.017600,0.024264,0.024576,0.018699
15e24b73d4a7.png,anodr,anodr,0.890587,0.034176,0.036041,0.022201,0.016995
1633f8291a80.png,anodr,anodr,0.928494,0.022335,0.017506,0.019197,0.012468
165634a6167e.png,anodr,anodr,0.951479,0.012184,0.010534,0.014788,0.011014
178412895d5e.png,anodr,anodr,0.914488,0.010691,0.030550,0.027668,0.016603
186c1835eec5.png,anodr,anodr,0.933563,0.011868,0.021498,0.018675,0.014396
18b7e34eab8f.png,anodr,anodr,0.907283,0.023512,0.026699,0.025484,0.017022
18b99159a14f.png,anodr,anodr,0.923655,0.021065,0.017726,0.020157,0.017397
18ce0cdc473d.png,anodr,anodr,0.922991,0.030392,0.016743,0.014827,0.015046
1a0dbc6c0cda.png,anodr,anodr,0.805700,0.065838,0.079352,0.025758,0.023352
1a1e974a7dbf.png,anodr,anodr,0.934090,0.012530,0.015936,0.020602,0.016843
1c47815f4a6b.png,anodr,anodr,0.915867,0.041640,0.015333,0.013702,0.013458
1ca62b3e4fd3.png,anodr,anodr,0.947629,0.013403,0.008354,0.013526,0.017088
1d0b93317aa8.png,anodr,anodr,0.936761,0.012318,0.011550,0.022159,0.017213
1d3e9b939732.png,anodr,anodr,0.920840,0.019232,0.019545,0.021358,0.019024
1d74c4713e21.png,anodr,anodr,0.943092,0.012090,0.014868,0.016889,0.013061
1db0393cdbc1.png,anodr,anodr,0.933172,0.011485,0.015083,0.023326,0.016934
1df1530b9b8d.png,anodr,anodr,0.901591,0.027845,0.029170,0.023397,0.017996
1e742358e0b9.png,anodr,anodr,0.921188,0.022432,0.016191,0.020137,0.020053
1e7ccd4a1c87.png,anodr,anodr,0.922558,0.012140,0.018522,0.027065,0.019714
1ec95179cdfe.png,anodr,anodr,0.953042,0.011701,0.008925,0.015789,0.010542
1f31701dd61b.png,anodr,anodr,0.903234,0.020104,0.027039,0.028783,0.020839
1f5496352859.png,anodr,anodr,0.920570,0.013852,0.027073,0.022844,0.015661
