filename,true_class,predicted_class,score_a_noamd,score_b_amd
1018113_21015_1_0.png,a_noamd,a_noamd,0.922406,0.077594
1020777_21015_1_0.png,a_noamd,a_noamd,0.889859,0.110141
1026486_21016_0_0.png,a_noamd,a_noamd,0.901360,0.098640
1036537_21016_0_0.png,a_noamd,a_noamd,0.908739,0.091261
1039702_21015_1_0.png,a_noamd,a_noamd,0.875721,0.124279
1046092_21015_0_0.png,a_noamd,a_noamd,0.849338,0.150662
1064334_21016_0_0.png,a_noamd,b_amd,0.388859,0.611141
1103313_21016_0_0.png,a_noamd,b_amd,0.330261,0.669739
1107730_21015_0_0.png,a_noamd,a_noamd,0.808488,0.191512
1134266_21015_0_0.png,a_noamd,a_noamd,0.826531,0.173469
1167873_21016_0_0.png,a_noamd,a_noamd,0.742872,0.257128
1169358_21015_1_0.png,a_noamd,a_noamd,0.905529,0.094471
1170584_21016_0_0.png,a_noamd,a_noamd,0.895469,0.104531
1175155_21016_0_0.png,a_noamd,a_noamd,0.927622,0.072378
1178859_21016_0_0.png,a_noamd,a_noamd,0.726311,0.273689
1184375_21016_1_0.png,a_noamd,a_noamd,0.731665,0.268335
1186967_21016_0_0.png,a_noamd,a_noamd,0.621916,0.378084
1197089_21016_0_0.png,a_noamd,a_noamd,0.899237,0.100763
1197343_21015_0_0.png,a_noamd,a_noamd,0.910306,0.089694
1220742_21016_0_0.png,a_noamd,a_noamd,0.848340,0.151660
1223318_21016_0_0.png,a_noamd,a_noamd,0.752736,0.247264
1230171_21016_0_0.png,a_noamd,a_noamd,0.877673,0.122327
1250082_21016_0_0.png,a_noamd,a_noamd,0.884713,0.115287
1260458_21016_0_0.png,a_noamd,a_noamd,0.907875,0.092125
1261685_21016_0_0.png,a_noamd,a_noamd,0.644505,0.355495
1267094_21016_0_0.png,a_noamd,a_noamd,0.861623,0.138377
1275770_21015_0_0.png,a_noamd,a_noamd,0.862164,0.137836
1322575_21016_0_0.png,a_noamd,a_noamd,0.828892,0.171108
1330933_21015_0_0.png,a_noamd,b_amd,0.429138,0.570862
1334474_21015_0_0.png,a_noamd,a_noamd,0.782258,0.217742
1346072_21016_0_0.png,a_noamd,a_noamd,0.824459,0.175541
1350271_21016_0_0.png,a_noamd,a_noamd,0.850318,0.149682
1359631_21015_1_0.png,a_noamd,a_noamd,0.942278,0.057722
1372500_21016_0_0.png,a_noamd,a_noamd,0.699343,0.300657
1407787_21015_1_0.png,a_noamd,a_noamd,0.824392,0.175608
