filename,true_label,predicted_label,true_label_idx,predicted_label_idx,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
anodr/20051020_43808_0100_PP_967.png,anodr,anodr,0,0,0.28740203,0.15461361,0.18604575,0.2106795,0.1612591
anodr/20051020_44261_0100_PP_1191.png,anodr,anodr,0,0,0.2639241,0.16949302,0.18756923,0.20908014,0.16993348
anodr/20051020_44284_0100_PP_502.png,anodr,anodr,0,0,0.26441196,0.16852017,0.18766385,0.20986769,0.16953632
anodr/20051020_44338_0100_PP_547.png,anodr,anodr,0,0,0.2495436,0.17727521,0.18859777,0.20991845,0.17466502
anodr/20051020_44400_0100_PP_920.png,anodr,anodr,0,0,0.26105863,0.17162317,0.18767567,0.20857023,0.17107233
anodr/20051020_44431_0100_PP_514.png,anodr,anodr,0,0,0.2471937,0.17903379,0.18865421,0.20952551,0.17559284
anodr/20051020_44692_0100_PP_419.png,anodr,anodr,0,0,0.27249375,0.1637209,0.18712316,0.20998117,0.16668102
anodr/20051020_44714_0100_PP_1199.png,anodr,anodr,0,0,0.27125368,0.16462536,0.18717235,0.20976701,0.16718161
anodr/20051020_44982_0100_PP_486.png,anodr,anodr,0,0,0.31365317,0.14247026,0.18302827,0.20789921,0.15294902
anodr/20051020_56791_0100_PP_1185.png,anodr,anodr,0,0,0.39891645,0.10992398,0.17019042,0.19235781,0.12861137
anodr/20051020_57157_0100_PP_971.png,anodr,anodr,0,0,0.57302743,0.058807302,0.13490759,0.1508246,0.08243314
anodr/20051020_57967_0100_PP_829.png,anodr,anodr,0,0,0.29671338,0.14939004,0.18522178,0.21069182,0.15798298
anodr/20051020_58065_0100_PP_561.png,anodr,anodr,0,0,0.26878724,0.1660384,0.1873614,0.2097831,0.16802981
anodr/20051020_61757_0100_PP_484.png,anodr,anodr,0,0,0.39437392,0.10501325,0.17168422,0.20258564,0.12634294
anodr/20051020_62461_0100_PP_76.png,anodr,anodr,0,0,0.3503662,0.127966,0.17751768,0.2019121,0.14223795
anodr/20051020_62510_0100_PP_106.png,anodr,anodr,0,0,0.3158786,0.14388332,0.18225047,0.20481287,0.15317473
anodr/20051020_62577_0100_PP_479.png,anodr,anodr,0,0,0.36481473,0.11903502,0.17608342,0.20347184,0.13659498
anodr/20051020_62615_0100_PP_294.png,anodr,anodr,0,0,0.4255315,0.09798135,0.1660638,0.1907141,0.11970925
anodr/20051020_63269_0100_PP_1183.png,anodr,anodr,0,0,0.2814842,0.15943934,0.1862342,0.20897953,0.16386272
anodr/20051020_63337_0100_PP_471.png,anodr,anodr,0,0,0.26035446,0.1713322,0.18785878,0.20937021,0.17108442
anodr/20051020_64249_0100_PP_1004.png,anodr,anodr,0,0,0.38284576,0.111739166,0.17343324,0.20084524,0.13113655
anodr/20051020_64388_0100_PP_1194.png,anodr,anodr,0,0,0.45264348,0.08802244,0.16098389,0.18693173,0.11141844
anodr/20051020_64653_0100_PP_124.png,anodr,anodr,0,0,0.26231864,0.16843164,0.18808757,0.21136317,0.16979891
anodr/20051020_64775_0100_PP_480.png,anodr,anodr,0,0,0.24324676,0.17982288,0.18917984,0.2112988,0.17645177
anodr/20051020_64836_0100_PP_1270.png,anodr,anodr,0,0,0.25391695,0.17324413,0.188643,0.21151465,0.17268126
anodr/20051021_36380_0100_PP_135.png,anodr,anodr,0,0,0.29585972,0.15215881,0.18479371,0.20804825,0.15913956
anodr/20051021_36476_0100_PP_1243.png,anodr,anodr,0,0,0.32372016,0.13898686,0.18150464,0.20557773,0.15021059
anodr/20051021_39845_0100_PP_315.png,anodr,anodr,0,0,0.28646776,0.15548515,0.18606256,0.21028978,0.16169474
anodr/20051021_39914_0100_PP_1352.png,anodr,anodr,0,0,0.27633917,0.1607547,0.18699224,0.21085685,0.16505702
anodr/20051021_51418_0100_PP_18.png,anodr,anodr,0,0,0.25784102,0.17133702,0.18832268,0.21105026,0.17144902
anodr/20051021_51476_0100_PP_150.png,anodr,anodr,0,0,0.24925147,0.17624158,0.18886383,0.21126759,0.17437553
anodr/20051021_51936_0100_PP_1379.png,anodr,anodr,0,0,0.26273182,0.16978262,0.18773209,0.20954742,0.17020607
anodr/20051021_51994_0100_PP_1283.png,anodr,anodr,0,0,0.25118017,0.17620555,0.18852475,0.2100199,0.17406964
