filename,pred_label,pred_index,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
20051020_43808_0100_PP_967.png,anodr,0,0.499639,0.274181,0.172502,0.020723,0.032955
20051020_44261_0100_PP_1191.png,anodr,0,0.888583,0.044543,0.025133,0.021227,0.020513
20051020_44284_0100_PP_502.png,anodr,0,0.887809,0.044061,0.026201,0.021563,0.020366
20051020_44338_0100_PP_547.png,anodr,0,0.850457,0.068309,0.039083,0.020818,0.021332
20051020_44400_0100_PP_920.png,anodr,0,0.850541,0.074147,0.034918,0.019350,0.021045
20051020_44431_0100_PP_514.png,anodr,0,0.854087,0.072732,0.033425,0.019073,0.020683
20051020_44692_0100_PP_419.png,anodr,0,0.885858,0.045973,0.026620,0.021307,0.020242
20051020_44714_0100_PP_1199.png,anodr,0,0.883044,0.048729,0.027072,0.020828,0.020326
20051020_44982_0100_PP_486.png,anodr,0,0.869088,0.060261,0.030384,0.019868,0.020399
20051020_56791_0100_PP_1185.png,anodr,0,0.876140,0.053841,0.029129,0.020585,0.020305
20051020_57157_0100_PP_971.png,anodr,0,0.884729,0.046718,0.027005,0.021342,0.020206
20051020_57967_0100_PP_829.png,anodr,0,0.877590,0.055088,0.027249,0.019675,0.020398
20051020_58065_0100_PP_561.png,anodr,0,0.780332,0.143854,0.036729,0.016709,0.022375
20051020_61757_0100_PP_484.png,anodr,0,0.889587,0.042557,0.025646,0.021904,0.020307
20051020_62461_0100_PP_76.png,anodr,0,0.862681,0.062863,0.033336,0.020249,0.020871
20051020_62510_0100_PP_106.png,bmilddr,1,0.073862,0.502050,0.351516,0.024298,0.048274
20051020_62577_0100_PP_479.png,anodr,0,0.882600,0.049303,0.027085,0.020736,0.020276
20051020_62615_0100_PP_294.png,anodr,0,0.885832,0.046468,0.026258,0.021161,0.020281
20051020_63269_0100_PP_1183.png,anodr,0,0.880717,0.050744,0.027655,0.020632,0.020252
20051020_63337_0100_PP_471.png,anodr,0,0.881185,0.051012,0.027227,0.020323,0.020253
20051020_64249_0100_PP_1004.png,anodr,0,0.883259,0.047259,0.028007,0.021244,0.020232
20051020_64388_0100_PP_1194.png,anodr,0,0.889077,0.042897,0.025933,0.021827,0.020266
20051020_64653_0100_PP_124.png,anodr,0,0.881907,0.050322,0.026893,0.020579,0.020300
20051020_64775_0100_PP_480.png,anodr,0,0.889599,0.043967,0.024760,0.021127,0.020547
20051020_64836_0100_PP_1270.png,anodr,0,0.880274,0.050299,0.028504,0.020601,0.020321
20051021_36380_0100_PP_135.png,anodr,0,0.871875,0.057693,0.030097,0.020010,0.020325
20051021_36476_0100_PP_1243.png,anodr,0,0.881210,0.050935,0.027148,0.020403,0.020303
