filename,score_a_noamd,score_b_amd,pred_class,pred_index,true_class,true_index
N0001.jpg,0.957873,0.042127,a_noamd,0,a_noamd,0
N0002.jpg,0.959154,0.040846,a_noamd,0,a_noamd,0
N0003.jpg,0.957477,0.042523,a_noamd,0,a_noamd,0
N0004.jpg,0.959649,0.040351,a_noamd,0,a_noamd,0
N0005.jpg,0.958382,0.041618,a_noamd,0,a_noamd,0
N0006.jpg,0.960768,0.039232,a_noamd,0,a_noamd,0
N0007.jpg,0.962391,0.037609,a_noamd,0,a_noamd,0
N0008.jpg,0.961965,0.038035,a_noamd,0,a_noamd,0
N0009.jpg,0.954223,0.045777,a_noamd,0,a_noamd,0
N0010.jpg,0.956634,0.043366,a_noamd,0,a_noamd,0
N0011.jpg,0.951459,0.048541,a_noamd,0,a_noamd,0
N0012.jpg,0.960510,0.039490,a_noamd,0,a_noamd,0
N0013.jpg,0.958109,0.041891,a_noamd,0,a_noamd,0
N0014.jpg,0.959535,0.040465,a_noamd,0,a_noamd,0
N0015.jpg,0.955817,0.044183,a_noamd,0,a_noamd,0
N0016.jpg,0.422475,0.577525,b_amd,1,a_noamd,0
N0017.jpg,0.961134,0.038865,a_noamd,0,a_noamd,0
N0018.jpg,0.958460,0.041540,a_noamd,0,a_noamd,0
N0019.jpg,0.960287,0.039713,a_noamd,0,a_noamd,0
N0020.jpg,0.954137,0.045863,a_noamd,0,a_noamd,0
N0021.jpg,0.960063,0.039937,a_noamd,0,a_noamd,0
N0022.jpg,0.951142,0.048858,a_noamd,0,a_noamd,0
N0023.jpg,0.038975,0.961025,b_amd,1,a_noamd,0
N0024.jpg,0.094343,0.905657,b_amd,1,a_noamd,0
N0025.jpg,0.958770,0.041230,a_noamd,0,a_noamd,0
N0026.jpg,0.961244,0.038756,a_noamd,0,a_noamd,0
N0027.jpg,0.954520,0.045480,a_noamd,0,a_noamd,0
N0028.jpg,0.928474,0.071526,a_noamd,0,a_noamd,0
N0029.jpg,0.961207,0.038793,a_noamd,0,a_noamd,0
