image,prediction,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
20051020_43808_0100_PP_967.png,anodr,0.9183622,0.023208996,0.021431103,0.01986083,0.017136872
20051020_44261_0100_PP_1191.png,anodr,0.9120603,0.025456764,0.023361577,0.019837236,0.019284166
20051020_44284_0100_PP_502.png,anodr,0.916141,0.02281781,0.023110427,0.019013,0.018917838
20051020_44338_0100_PP_547.png,anodr,0.8596134,0.058605645,0.043465346,0.02189509,0.016420558
20051020_44400_0100_PP_920.png,anodr,0.9075609,0.032799408,0.021966944,0.020055393,0.017617434
20051020_44431_0100_PP_514.png,anodr,0.91556233,0.025783326,0.021999512,0.018354384,0.018300414
20051020_44692_0100_PP_419.png,anodr,0.916822,0.021611799,0.021149449,0.02137606,0.01904066
20051020_44714_0100_PP_1199.png,anodr,0.91455394,0.026127867,0.02221449,0.018963672,0.01814006
20051020_44982_0100_PP_486.png,anodr,0.89330286,0.046508037,0.023720626,0.019669237,0.01679926
20051020_56791_0100_PP_1185.png,anodr,0.91794497,0.02608537,0.019351508,0.018637856,0.017980255
20051020_57157_0100_PP_971.png,anodr,0.9052069,0.04314875,0.020029986,0.016966928,0.014647405
20051020_57967_0100_PP_829.png,anodr,0.9176842,0.022148112,0.022245646,0.020567479,0.017354531
20051020_58065_0100_PP_561.png,anodr,0.9144472,0.024468401,0.022626365,0.022768706,0.015689401
20051020_61757_0100_PP_484.png,anodr,0.9203898,0.019541072,0.022824192,0.01914341,0.018101502
20051020_62461_0100_PP_76.png,cmoderatedr,0.17966357,0.021839373,0.7809437,0.0050586425,0.012494668
20051020_62510_0100_PP_106.png,cmoderatedr,0.43862104,0.021299666,0.5097666,0.0057414435,0.024571309
20051020_62577_0100_PP_479.png,anodr,0.9228839,0.020242706,0.019102324,0.021261882,0.016509207
20051020_62615_0100_PP_294.png,anodr,0.91188866,0.029416123,0.020652795,0.020488644,0.017553765
20051020_63269_0100_PP_1183.png,anodr,0.9092869,0.02646317,0.02413022,0.019940408,0.020179283
20051020_63337_0100_PP_471.png,anodr,0.9096078,0.026944852,0.022968179,0.020596683,0.019882454
20051020_64249_0100_PP_1004.png,anodr,0.9166377,0.02368212,0.022601606,0.017976623,0.01910189
20051020_64388_0100_PP_1194.png,anodr,0.918946,0.020911245,0.022140237,0.019532593,0.01846996
20051020_64653_0100_PP_124.png,anodr,0.9119565,0.025343928,0.025183046,0.01900201,0.018514432
20051020_64775_0100_PP_480.png,anodr,0.9143916,0.02495308,0.022977177,0.019292843,0.018385366
20051020_64836_0100_PP_1270.png,anodr,0.91320026,0.024169767,0.025019921,0.019020515,0.018589523
20051021_36380_0100_PP_135.png,anodr,0.91481006,0.025510302,0.020833507,0.01923274,0.019613339
20051021_36476_0100_PP_1243.png,anodr,0.91478413,0.02400313,0.021919811,0.019762106,0.019530805
20051021_39845_0100_PP_315.png,anodr,0.91137034,0.025238238,0.0240308,0.019067748,0.020292802
20051021_39914_0100_PP_1352.png,anodr,0.91033286,0.02804407,0.02386104,0.019355066,0.018407019
20051021_51418_0100_PP_18.png,anodr,0.9068647,0.027465483,0.024312938,0.020855404,0.020501466
20051021_51476_0100_PP_150.png,anodr,0.91201866,0.02464083,0.025372593,0.019510373,0.018457532
20051021_51936_0100_PP_1379.png,anodr,0.91153604,0.03155063,0.019417694,0.018940376,0.018555332
