image,prediction,score_anormal,score_cglaucoma
image_001_170.jpg,anormal,0.6696566,0.3303434
image_002_202.jpg,anormal,0.6770482,0.32295185
image_003_50.jpg,anormal,0.7002958,0.29970425
image_004_65.jpg,anormal,0.8221311,0.17786896
image_005_13.jpg,anormal,0.7549539,0.24504606
image_006_4.jpg,anormal,0.6739645,0.32603556
image_007_5.jpg,anormal,0.6948194,0.30518058
image_008_116.jpg,anormal,0.6476165,0.35238346
image_009_125.jpg,anormal,0.7144324,0.28556755
image_010_41.jpg,anormal,0.7166819,0.28331816
image_011_214.jpg,anormal,0.71407515,0.2859248
image_012_56.jpg,anormal,0.7251964,0.27480355
image_013_71.jpg,anormal,0.70323586,0.29676417
image_014_59.jpg,anormal,0.68873096,0.31126907
image_015_209.jpg,anormal,0.757468,0.24253201
image_016_82.jpg,anormal,0.67070925,0.32929078
image_017_93.jpg,anormal,0.7970687,0.20293128
image_018_120.jpg,anormal,0.69668037,0.3033196
image_019_168.jpg,anormal,0.67945606,0.32054397
image_020_10.jpg,anormal,0.70509756,0.29490244
image_021_26.jpg,anormal,0.7077557,0.29224434
image_022_55.jpg,anormal,0.6996361,0.30036393
image_023_103.jpg,anormal,0.65739816,0.34260187
image_024_200.jpg,anormal,0.68855524,0.3114447
image_025_99.jpg,anormal,0.6614433,0.33855668
image_026_146.jpg,anormal,0.6794099,0.32059008
image_027_32.jpg,anormal,0.6675035,0.33249646
image_028_96.jpg,anormal,0.7060063,0.29399368
image_029_217.jpg,anormal,0.66747326,0.3325268
image_030_219.jpg,anormal,0.67102176,0.3289783
image_031_49.jpg,anormal,0.6755264,0.3244736
image_032_39.jpg,anormal,0.65801924,0.3419808
image_033_187.jpg,anormal,0.71217376,0.28782618
image_034_36.jpg,anormal,0.7039929,0.29600704
image_035_160.jpg,anormal,0.66305834,0.33694163
image_036_25.jpg,anormal,0.68520135,0.31479862
image_037_178.jpg,anormal,0.73183405,0.26816595
image_038_95.jpg,anormal,0.6485222,0.3514778
image_039_12.jpg,anormal,0.6465219,0.353478
image_040_16.jpg,anormal,0.74735457,0.25264543
image_041_108.jpg,anormal,0.5752744,0.4247256
image_042_63.jpg,anormal,0.6682684,0.3317316
image_043_54.jpg,anormal,0.6881054,0.31189454
image_044_70.jpg,anormal,0.7562473,0.24375269
image_045_182.jpg,anormal,0.6458301,0.35416996
image_046_64.jpg,anormal,0.691693,0.30830696
image_047_143.jpg,anormal,0.6993977,0.30060235
image_048_130.jpg,anormal,0.70952696,0.29047304
image_049_105.jpg,anormal,0.7579353,0.24206476
image_050_163.jpg,anormal,0.6622813,0.33771878
image_051_190.jpg,anormal,0.8698842,0.13011587
image_052_3.jpg,anormal,0.8369788,0.16302125
image_053_136.jpg,anormal,0.7849372,0.21506281
image_054_158.jpg,anormal,0.655492,0.34450802
image_055_139.jpg,anormal,0.63281935,0.36718062
image_056_142.jpg,anormal,0.65904033,0.34095967
image_057_109.jpg,anormal,0.70858544,0.29141453
image_058_118.jpg,anormal,0.6689415,0.3310585
image_059_220.jpg,anormal,0.6505094,0.3494906
image_060_79.jpg,anormal,0.8912464,0.10875363
image_061_44.jpg,anormal,0.8258339,0.17416602
image_062_135.jpg,anormal,0.6866561,0.31334388
image_063_110.jpg,anormal,0.750564,0.24943598
image_064_164.jpg,anormal,0.7468086,0.25319138
image_065_92.jpg,anormal,0.84682,0.15318003
image_066_218.jpg,anormal,0.69074947,0.3092505
image_067_127.jpg,anormal,0.7087922,0.29120782
image_068_173.jpg,anormal,0.67226094,0.32773903
image_069_184.jpg,anormal,0.6753694,0.32463056
image_070_212.jpg,anormal,0.7273043,0.27269578
image_071_154.jpg,anormal,0.699797,0.30020306
image_072_102.jpg,anormal,0.66230685,0.3376931
image_073_179.jpg,anormal,0.66502583,0.3349741
image_074_37.jpg,anormal,0.6588261,0.34117392
image_075_195.jpg,anormal,0.77354354,0.2264565
image_076_33.jpg,anormal,0.67234105,0.32765898
image_077_201.jpg,anormal,0.6652495,0.3347505
image_078_67.jpg,anormal,0.8777765,0.12222355
image_079_15.jpg,anormal,0.79157114,0.20842887
image_080_157.jpg,anormal,0.6760852,0.32391486
image_081_153.jpg,anormal,0.70275766,0.29724234
image_082_9.jpg,anormal,0.67917013,0.3208299
image_083_30.jpg,anormal,0.76309425,0.23690575
image_084_34.jpg,anormal,0.8237623,0.17623773
image_085_61.jpg,anormal,0.86660534,0.1333947
image_086_24.jpg,anormal,0.8034169,0.19658303
image_087_210.jpg,anormal,0.6783486,0.32165137
image_088_175.jpg,anormal,0.79158,0.20842001
image_089_38.jpg,anormal,0.7636541,0.23634589
image_090_145.jpg,anormal,0.78148293,0.21851707
image_091_223.jpg,anormal,0.8589661,0.14103387
image_092_1.jpg,anormal,0.8250726,0.17492741
image_093_140.jpg,anormal,0.67917013,0.3208299
image_094_150.jpg,anormal,0.76279044,0.23720957
image_095_11.jpg,anormal,0.87338567,0.12661435
image_096_98.jpg,anormal,0.75677997,0.24322006
image_097_176.jpg,anormal,0.8502561,0.14974385
image_098_205.jpg,anormal,0.8240333,0.17596665
image_099_22.jpg,anormal,0.7204939,0.27950615
image_100_196.jpg,anormal,0.6851803,0.3148197
image_101_222.jpg,anormal,0.774341,0.22565895
image_102_155.jpg,anormal,0.6885581,0.3114419
image_103_204.jpg,anormal,0.75178754,0.24821249
image_104_2.jpg,anormal,0.74080515,0.2591948
image_105_0.jpg,anormal,0.7907196,0.20928037
image_106_141.jpg,anormal,0.77213275,0.22786723
image_107_166.jpg,anormal,0.6693836,0.33061638
image_108_188.jpg,anormal,0.73474085,0.2652592
image_109_76.jpg,anormal,0.6870196,0.31298044
image_110_199.jpg,anormal,0.6507558,0.3492442
image_111_58.jpg,anormal,0.76336765,0.23663236
image_112_111.jpg,anormal,0.7869526,0.21304743
image_113_224.jpg,anormal,0.70311075,0.29688922
image_114_57.jpg,anormal,0.7501304,0.24986957
image_115_121.jpg,anormal,0.64378536,0.35621464
image_116_69.jpg,anormal,0.71669525,0.28330472
image_117_211.jpg,anormal,0.69461477,0.3053853
image_118_101.jpg,anormal,0.66989046,0.3301095
image_119_194.jpg,anormal,0.65688014,0.3431198
image_120_17.jpg,anormal,0.77179337,0.22820665
image_121_189.jpg,anormal,0.79748946,0.20251057
image_122_6.jpg,anormal,0.6809759,0.3190241
image_123_35.jpg,anormal,0.72811097,0.27188903
image_124_126.jpg,anormal,0.76499474,0.2350053
image_125_183.jpg,anormal,0.7283184,0.2716816
image_126_177.jpg,anormal,0.6495714,0.35042855
image_127_43.jpg,anormal,0.6548588,0.34514114
image_128_60.jpg,anormal,0.6561176,0.34388238
image_129_156.jpg,anormal,0.83038044,0.16961952
image_130_104.jpg,anormal,0.6741378,0.3258622
image_131_131.jpg,anormal,0.823409,0.17659101
image_132_52.jpg,anormal,0.7685475,0.23145252
image_133_75.jpg,anormal,0.79194283,0.20805714
image_134_97.jpg,anormal,0.7382145,0.2617855
image_135_90.jpg,anormal,0.7017073,0.2982927
image_136_128.jpg,anormal,0.6855633,0.31443664
image_137_87.jpg,anormal,0.6972857,0.30271423
image_138_19.jpg,anormal,0.6726403,0.32735965
image_139_167.jpg,anormal,0.6814494,0.31855062
image_140_27.jpg,anormal,0.74162877,0.25837126
image_141_18.jpg,anormal,0.73501855,0.26498148
image_142_159.jpg,anormal,0.6976642,0.30233577
image_143_107.jpg,anormal,0.69284815,0.30715182
image_144_180.jpg,anormal,0.66237515,0.3376248
image_145_78.jpg,anormal,0.68017614,0.3198239
image_146_85.jpg,anormal,0.73957187,0.26042813
image_147_193.jpg,anormal,0.79133886,0.20866115
image_148_216.jpg,anormal,0.7658079,0.23419209
image_149_134.jpg,anormal,0.7270777,0.27292228
image_150_198.jpg,anormal,0.7633011,0.23669893
image_151_31.jpg,anormal,0.6026615,0.39733854
image_152_169.jpg,anormal,0.628841,0.37115905
image_153_213.jpg,anormal,0.680873,0.31912708
image_154_23.jpg,anormal,0.8555103,0.14448965
image_155_151.jpg,anormal,0.69310576,0.30689418
image_156_72.jpg,anormal,0.70571226,0.29428777
image_157_115.jpg,anormal,0.6778673,0.32213265
image_158_191.jpg,anormal,0.7550276,0.24497242
image_159_162.jpg,anormal,0.70897,0.29103002
image_160_124.jpg,anormal,0.8415703,0.15842962
image_161_62.jpg,anormal,0.8088963,0.19110368
image_162_48.jpg,anormal,0.8210264,0.17897364
image_163_206.jpg,anormal,0.7671001,0.23289993
image_164_215.jpg,anormal,0.7190255,0.2809745
image_165_77.jpg,anormal,0.8332907,0.16670932
image_166_129.jpg,anormal,0.8515561,0.1484439
image_167_138.jpg,anormal,0.6777165,0.32228354
image_168_113.jpg,anormal,0.65528154,0.34471843
image_169_119.jpg,anormal,0.86282456,0.13717544
image_170_133.jpg,anormal,0.79510754,0.20489243
image_171_203.jpg,anormal,0.6616402,0.33835974
image_172_137.jpg,anormal,0.6688302,0.33116978
image_173_83.jpg,anormal,0.6921514,0.3078486
image_174_123.jpg,anormal,0.70803714,0.29196283
image_175_91.jpg,anormal,0.67090267,0.3290973
image_176_161.jpg,anormal,0.70587766,0.2941223
image_177_112.jpg,anormal,0.74692255,0.25307742
image_178_46.jpg,anormal,0.66347885,0.33652115
image_179_84.jpg,anormal,0.7341972,0.26580286
image_180_53.jpg,anormal,0.6553372,0.3446628
image_181_207.jpg,anormal,0.6674889,0.3325111
image_182_171.jpg,anormal,0.6925807,0.3074193
image_183_40.jpg,anormal,0.7000207,0.29997933
image_184_197.jpg,anormal,0.6856027,0.31439728
image_185_185.jpg,anormal,0.7089914,0.29100853
image_186_114.jpg,anormal,0.6963998,0.3036002
image_187_100.jpg,anormal,0.8763428,0.123657234
image_188_192.jpg,anormal,0.8127707,0.18722928
image_189_149.jpg,anormal,0.6820412,0.31795877
image_190_7.jpg,anormal,0.6928226,0.3071774
image_191_8.jpg,anormal,0.6498438,0.35015616
image_192_68.jpg,anormal,0.7315032,0.26849675
image_193_51.jpg,anormal,0.7390317,0.26096833
image_194_88.jpg,anormal,0.7003339,0.29966608
image_195_106.jpg,anormal,0.68963397,0.310366
image_196_80.jpg,anormal,0.7560638,0.24393618
image_197_28.jpg,anormal,0.7485351,0.25146493
image_198_66.jpg,anormal,0.6605124,0.33948758
image_199_94.jpg,anormal,0.7411619,0.2588381
image_200_45.jpg,anormal,0.7548252,0.24517483
image_201_81.jpg,anormal,0.70989174,0.2901083
image_202_14.jpg,anormal,0.70837784,0.2916222
image_203_181.jpg,anormal,0.79356515,0.20643486
image_204_208.jpg,anormal,0.8099874,0.19001262
image_205_29.jpg,anormal,0.7328465,0.26715356
image_206_186.jpg,anormal,0.80142754,0.19857249
image_207_221.jpg,anormal,0.78884226,0.21115772
image_208_20.jpg,anormal,0.8951906,0.104809426
image_209_42.jpg,anormal,0.6935558,0.3064442
image_210_73.jpg,anormal,0.6553372,0.3446628
image_211_152.jpg,anormal,0.6674889,0.3325111
image_212_47.jpg,anormal,0.7271912,0.2728088
image_213_144.jpg,anormal,0.7270635,0.27293655
image_214_89.jpg,anormal,0.7202011,0.27979895
image_215_147.jpg,anormal,0.62043726,0.37956274
image_216_74.jpg,anormal,0.67279357,0.32720643
image_217_117.jpg,anormal,0.70346075,0.2965392
image_218_122.jpg,anormal,0.76307476,0.23692526
image_219_21.jpg,anormal,0.6207226,0.37927738
image_220_86.jpg,anormal,0.8166258,0.18337421
image_221_132.jpg,anormal,0.7518865,0.2481135
image_222_174.jpg,anormal,0.6970485,0.30295148
image_223_172.jpg,anormal,0.6638083,0.33619165
image_224_165.jpg,anormal,0.6811804,0.3188196
image_225_148.jpg,anormal,0.6249875,0.37501255
image_001_250.jpg,anormal,0.68887603,0.311124
image_002_252.jpg,anormal,0.6584602,0.34153983
image_003_234.jpg,anormal,0.6979361,0.30206385
image_004_238.jpg,anormal,0.66819286,0.3318072
image_005_228.jpg,anormal,0.71217537,0.2878247
image_006_225.jpg,anormal,0.6787807,0.3212193
image_007_226.jpg,anormal,0.79211915,0.20788085
image_008_245.jpg,anormal,0.8874567,0.11254326
image_009_247.jpg,anormal,0.6696394,0.33036062
image_010_232.jpg,anormal,0.6694557,0.33054432
image_011_254.jpg,anormal,0.71670514,0.28329486
image_012_236.jpg,anormal,0.78584445,0.21415554
image_013_239.jpg,anormal,0.65775675,0.34224325
image_014_237.jpg,anormal,0.6796288,0.32037124
image_015_253.jpg,anormal,0.65063417,0.3493658
image_016_240.jpg,anormal,0.6823173,0.31768268
image_017_241.jpg,anormal,0.68461466,0.3153854
image_018_246.jpg,anormal,0.7168473,0.28315273
image_019_249.jpg,anormal,0.7898083,0.21019177
image_020_227.jpg,anormal,0.8004605,0.19953948
image_021_229.jpg,anormal,0.7069705,0.29302955
image_022_235.jpg,anormal,0.6471232,0.35287672
image_023_244.jpg,anormal,0.7168473,0.28315273
image_024_251.jpg,anormal,0.77792376,0.2220762
image_025_243.jpg,anormal,0.70698947,0.2930105
image_026_248.jpg,anormal,0.6597032,0.34029678
image_027_230.jpg,anormal,0.60508037,0.3949196
image_028_242.jpg,anormal,0.74326384,0.25673616
image_029_255.jpg,anormal,0.73986065,0.26013935
image_030_256.jpg,anormal,0.6230249,0.37697515
image_031_233.jpg,cglaucoma,0.35883036,0.6411696
image_032_231.jpg,anormal,0.68677616,0.31322384
