image,prediction,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
002c21358ce6.png,anodr,0.91931856,0.023311367,0.02002489,0.019523133,0.0178221
005b95c28852.png,anodr,0.9146767,0.021166096,0.02207778,0.022045856,0.020033538
00cc2b75cddd.png,anodr,0.9175118,0.025872378,0.018209595,0.019741343,0.018664869
0182152c50de.png,anodr,0.91537845,0.02234016,0.021189786,0.020037225,0.02105439
02cd34a85b24.png,anodr,0.92366713,0.020610781,0.017760992,0.022448044,0.015513068
03b373718013.png,anodr,0.91458076,0.02337342,0.02124442,0.020502558,0.02029878
04aef84a2cc1.png,anodr,0.91553855,0.0223087,0.020622266,0.021481398,0.02004914
05b1bb2bdb81.png,anodr,0.91276956,0.02342758,0.021926785,0.020201279,0.021674812
07596907347b.png,anodr,0.9137804,0.023435447,0.019597737,0.021923842,0.021262731
07751b94a88a.png,anodr,0.9146805,0.025695218,0.020257108,0.020113517,0.019253522
0790515cf5af.png,anodr,0.9141111,0.02539994,0.019593857,0.021615217,0.01927999
08037e4490e5.png,anodr,0.91369516,0.02354052,0.02175892,0.021413444,0.019591946
0851d6a69589.png,anodr,0.91672146,0.024815017,0.020151708,0.020446658,0.01786528
08b6e3240858.png,anodr,0.912461,0.029546218,0.020324497,0.016456015,0.021212319
08bef347f40d.png,anodr,0.91809785,0.018464126,0.027385829,0.018435985,0.017616188
08ee569d4721.png,anodr,0.9132578,0.027755234,0.019743752,0.019822644,0.019420529
09237bf783a4.png,anodr,0.91532344,0.024284828,0.019990541,0.020851389,0.019549854
096436d68d06.png,anodr,0.9185413,0.02244153,0.018990291,0.020122936,0.019903978
099021fac3c9.png,anodr,0.91505593,0.022254169,0.02081268,0.0219239,0.019953433
09c8323c612e.png,anodr,0.9132199,0.024899324,0.019327642,0.021986248,0.020566817
0a38b552372d.png,anodr,0.91186833,0.02518903,0.021751905,0.020415982,0.0207747
0a85a1e8f9e9.png,anodr,0.9164374,0.028710721,0.019744223,0.014722935,0.020384632
0babc12807b2.png,cmoderatedr,0.017666496,0.4009603,0.41516843,0.03610472,0.13010012
0cbcc7b23613.png,anodr,0.898436,0.04748063,0.023601806,0.015465944,0.015015567
0cd31078cd08.png,anodr,0.9125463,0.023388289,0.020942282,0.022438874,0.020684179
0ce062f26edc.png,anodr,0.9171117,0.020611154,0.020623773,0.021276997,0.020376347
0cecc2864b7f.png,anodr,0.9126234,0.025263788,0.020371335,0.020956054,0.02078543
0d9a9896f801.png,anodr,0.9127178,0.02624494,0.020587547,0.021163376,0.019286327
0da321efbce6.png,anodr,0.9119303,0.026015585,0.021329273,0.019885259,0.020839605
0db1d8dcf219.png,anodr,0.9135545,0.021915046,0.023953462,0.019927181,0.020649862
0e3572b5884a.png,anodr,0.9167758,0.022839325,0.019393139,0.02072764,0.020263955
0ef4c61dc056.png,anodr,0.91148144,0.027147641,0.02150626,0.020591546,0.019273067
0fbbd665431f.png,anodr,0.9210238,0.024557164,0.016267944,0.019496636,0.01865452
0fc6829da85b.png,anodr,0.9190896,0.0214407,0.019886993,0.02069204,0.01889069
1002b5151b8e.png,anodr,0.9152616,0.022968484,0.019677026,0.020932652,0.02116027
