filename,true_label,predicted_label,correct,score_anormal,score_cglaucoma
RET027OD.jpg,anormal,anormal,True,0.9050454,0.094954625
RET035OD.jpg,anormal,anormal,True,0.82396364,0.17603636
RET035OS.jpg,anormal,anormal,True,0.8154902,0.1845098
RET096OD.jpg,anormal,anormal,True,0.8295305,0.17046951
RET098OD.jpg,anormal,anormal,True,0.8532409,0.14675908
RET107OD.jpg,anormal,anormal,True,0.798019,0.201981
RET129OS.jpg,anormal,anormal,True,0.81666887,0.18333115
RET131OD.jpg,anormal,anormal,True,0.8448454,0.1551546
RET132OD.jpg,anormal,anormal,True,0.81807053,0.18192947
RET133OD.jpg,anormal,anormal,True,0.8097891,0.19021086
RET137OD.jpg,anormal,anormal,True,0.8065031,0.19349693
RET141OS.jpg,anormal,anormal,True,0.798828,0.20117196
RET146OS.jpg,anormal,anormal,True,0.7483043,0.25169566
RET150OS.jpg,anormal,anormal,True,0.8391258,0.1608742
RET153OS.jpg,anormal,anormal,True,0.84272724,0.15727282
RET163OS.jpg,anormal,anormal,True,0.83330375,0.16669627
RET168OS.jpg,anormal,anormal,True,0.8718386,0.12816137
RET175OD.jpg,anormal,anormal,True,0.85702163,0.1429784
RET177OD.jpg,anormal,anormal,True,0.8121527,0.18784733
RET177OS.jpg,anormal,anormal,True,0.8731867,0.12681326
RET178OD.jpg,anormal,anormal,True,0.8305015,0.16949852
RET181OS.jpg,anormal,anormal,True,0.8261115,0.17388849
RET182OD.jpg,anormal,anormal,True,0.80772936,0.19227067
RET184OD.jpg,anormal,anormal,True,0.85696155,0.14303851
RET184OS.jpg,anormal,anormal,True,0.8607238,0.13927618
RET190OS.jpg,anormal,anormal,True,0.7269346,0.2730654
RET191OS.jpg,anormal,anormal,True,0.85242707,0.14757295
RET192OS.jpg,anormal,anormal,True,0.71583843,0.28416157
RET197OD.jpg,anormal,anormal,True,0.8433361,0.15666388
RET198OD.jpg,anormal,anormal,True,0.8516309,0.14836906
RET198OS.jpg,anormal,anormal,True,0.8670034,0.13299659
RET199OD.jpg,anormal,anormal,True,0.8795525,0.12044746
RET200OD.jpg,anormal,anormal,True,0.8803133,0.11968673
RET200OS.jpg,anormal,anormal,True,0.80760735,0.19239266
RET201OD.jpg,anormal,anormal,True,0.79164416,0.20835589
RET202OD.jpg,anormal,anormal,True,0.81710774,0.18289225
RET203OD.jpg,anormal,anormal,True,0.8748783,0.12512164
RET203OS.jpg,anormal,anormal,True,0.85317844,0.1468216
RET210OD.jpg,anormal,anormal,True,0.8633522,0.13664776
RET211OS.jpg,anormal,anormal,True,0.7996294,0.2003706
RET212OD.jpg,anormal,anormal,True,0.83161443,0.16838555
RET213OS.jpg,anormal,anormal,True,0.81945354,0.18054646
RET216OD.jpg,anormal,anormal,True,0.8819192,0.1180808
RET216OS.jpg,anormal,anormal,True,0.8628883,0.13711177
RET220OD.jpg,anormal,anormal,True,0.82420725,0.17579274
RET220OS.jpg,anormal,anormal,True,0.8621004,0.13789958
RET224OD.jpg,anormal,anormal,True,0.7640974,0.23590259
RET228OS.jpg,anormal,anormal,True,0.7706517,0.22934827
RET231OD.jpg,anormal,anormal,True,0.8215967,0.17840335
RET237OD.jpg,anormal,anormal,True,0.7979221,0.20207797
RET245OS.jpg,anormal,anormal,True,0.7906873,0.20931268
RET252OS.jpg,anormal,anormal,True,0.830305,0.16969498
RET253OD.jpg,anormal,anormal,True,0.8198761,0.18012394
RET253OS.jpg,anormal,anormal,True,0.8613243,0.13867573
RET256OD.jpg,anormal,anormal,True,0.7729568,0.22704315
RET258OD.jpg,anormal,anormal,True,0.78973943,0.21026061
RET259OD.jpg,anormal,anormal,True,0.8248665,0.17513353
RET261OS.jpg,anormal,anormal,True,0.8558923,0.14410776
RET267OD.jpg,anormal,anormal,True,0.74024844,0.25975156
RET271OS.jpg,anormal,anormal,True,0.7875801,0.21241996
RET272OD.jpg,anormal,anormal,True,0.82090914,0.17909084
RET277OS.jpg,anormal,anormal,True,0.78091,0.21908996
RET282OD.jpg,anormal,anormal,True,0.8561655,0.1438345
RET282OS.jpg,anormal,anormal,True,0.85182345,0.14817661
RET283OS.jpg,anormal,anormal,True,0.7970022,0.20299786
RET285OS.jpg,anormal,anormal,True,0.8567108,0.14328921
RET291OD.jpg,anormal,anormal,True,0.79079795,0.20920208
RET002OD.jpg,cglaucoma,anormal,False,0.79460716,0.20539288
RET006OS.jpg,cglaucoma,anormal,False,0.788981,0.211019
RET053OD.jpg,cglaucoma,anormal,False,0.8307734,0.16922656
RET066OS.jpg,cglaucoma,anormal,False,0.8195523,0.18044764
RET089OD.jpg,cglaucoma,anormal,False,0.86276627,0.1372338
RET091OD.jpg,cglaucoma,anormal,False,0.8461574,0.15384258
RET102OD.jpg,cglaucoma,anormal,False,0.7730783,0.22692168
RET106OD.jpg,cglaucoma,anormal,False,0.7924462,0.20755383
RET114OS.jpg,cglaucoma,anormal,False,0.764708,0.23529203
RET120OD.jpg,cglaucoma,anormal,False,0.8167077,0.18329228
RET120OS.jpg,cglaucoma,anormal,False,0.84382814,0.15617187
RET122OD.jpg,cglaucoma,anormal,False,0.7759612,0.22403872
RET122OS.jpg,cglaucoma,anormal,False,0.8034945,0.19650547
RET276OS.jpg,cglaucoma,anormal,False,0.7713765,0.22862355
