filename,true_label,predicted_label,correct,score_a_noamd,score_b_amd
N0001.jpg,a_noamd,a_noamd,True,0.7775956,0.22240445
N0002.jpg,a_noamd,a_noamd,True,0.810183,0.18981703
N0003.jpg,a_noamd,a_noamd,True,0.549451,0.45054904
N0004.jpg,a_noamd,a_noamd,True,0.5784569,0.42154312
N0005.jpg,a_noamd,a_noamd,True,0.7171481,0.28285185
N0006.jpg,a_noamd,a_noamd,True,0.7005883,0.29941174
N0007.jpg,a_noamd,a_noamd,True,0.9098128,0.09018717
N0008.jpg,a_noamd,a_noamd,True,0.86064667,0.13935335
N0009.jpg,a_noamd,a_noamd,True,0.57356316,0.42643678
N0010.jpg,a_noamd,b_amd,False,0.3082417,0.69175833
N0011.jpg,a_noamd,a_noamd,True,0.5869638,0.41303626
N0012.jpg,a_noamd,a_noamd,True,0.88465375,0.11534621
N0013.jpg,a_noamd,a_noamd,True,0.8818234,0.11817662
N0014.jpg,a_noamd,a_noamd,True,0.87270635,0.12729366
N0015.jpg,a_noamd,a_noamd,True,0.56054854,0.43945146
N0016.jpg,a_noamd,a_noamd,True,0.805656,0.19434395
N0017.jpg,a_noamd,a_noamd,True,0.82202893,0.17797108
N0018.jpg,a_noamd,a_noamd,True,0.8918693,0.1081307
N0019.jpg,a_noamd,a_noamd,True,0.8825374,0.117462546
N0020.jpg,a_noamd,b_amd,False,0.45027778,0.54972225
N0021.jpg,a_noamd,a_noamd,True,0.7342441,0.26575592
N0022.jpg,a_noamd,b_amd,False,0.35378662,0.64621335
N0023.jpg,a_noamd,b_amd,False,0.08680309,0.91319686
N0024.jpg,a_noamd,b_amd,False,0.07895754,0.9210425
N0025.jpg,a_noamd,a_noamd,True,0.71847034,0.28152964
N0026.jpg,a_noamd,a_noamd,True,0.86086625,0.13913377
N0027.jpg,a_noamd,a_noamd,True,0.8734964,0.1265036
N0028.jpg,a_noamd,a_noamd,True,0.73488605,0.26511395
N0029.jpg,a_noamd,a_noamd,True,0.6788109,0.32118905
N0030.jpg,a_noamd,b_amd,False,0.47077736,0.5292226
N0031.jpg,a_noamd,a_noamd,True,0.8719195,0.12808041
N0032.jpg,a_noamd,a_noamd,True,0.8242942,0.17570579
N0033.jpg,a_noamd,a_noamd,True,0.89092374,0.10907633
N0034.jpg,a_noamd,a_noamd,True,0.8074979,0.19250205
N0035.jpg,a_noamd,b_amd,False,0.48215678,0.51784325
N0036.jpg,a_noamd,b_amd,False,0.45007178,0.5499282
N0037.jpg,a_noamd,b_amd,False,0.4730805,0.5269195
N0038.jpg,a_noamd,a_noamd,True,0.8018903,0.19810967
N0039.jpg,a_noamd,a_noamd,True,0.8256486,0.17435144
