filename,true_label,predicted_label,correct,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr
20051020_43808_0100_PP_967.png,anodr,anodr,True,0.91712403,0.021060752,0.017522274,0.025585286,0.018707601
20051020_44261_0100_PP_1191.png,anodr,anodr,True,0.93666106,0.021774158,0.01688323,0.012763068,0.011918454
20051020_44284_0100_PP_502.png,anodr,anodr,True,0.86688805,0.031064799,0.063339725,0.023118408,0.015589052
20051020_44338_0100_PP_547.png,anodr,anodr,True,0.8186199,0.055371977,0.076376475,0.024188887,0.025442697
20051020_44400_0100_PP_920.png,anodr,anodr,True,0.91919124,0.030574542,0.019870952,0.01555483,0.014808476
20051020_44431_0100_PP_514.png,anodr,anodr,True,0.9214154,0.02751025,0.019275319,0.015806777,0.015992347
20051020_44692_0100_PP_419.png,anodr,anodr,True,0.9239355,0.019868439,0.018018033,0.021142408,0.01703562
20051020_44714_0100_PP_1199.png,anodr,anodr,True,0.92500144,0.022139253,0.013561844,0.022616986,0.016680453
20051020_44982_0100_PP_486.png,anodr,anodr,True,0.921729,0.025813865,0.016990427,0.01958018,0.015886495
20051020_56791_0100_PP_1185.png,anodr,anodr,True,0.93651253,0.021922171,0.01106965,0.015045801,0.015449737
20051020_57157_0100_PP_971.png,anodr,anodr,True,0.8178043,0.0790842,0.07024622,0.01892191,0.013943429
20051020_57967_0100_PP_829.png,anodr,anodr,True,0.9184525,0.024253609,0.014011881,0.024211781,0.019070156
20051020_58065_0100_PP_561.png,anodr,anodr,True,0.91011083,0.02343867,0.016244808,0.026746282,0.023459427
20051020_61757_0100_PP_484.png,anodr,anodr,True,0.9375588,0.016936302,0.017951844,0.014283697,0.013269378
20051020_62461_0100_PP_76.png,anodr,anodr,True,0.9008056,0.035567425,0.026720013,0.017968042,0.018938981
20051020_62510_0100_PP_106.png,anodr,anodr,True,0.87631565,0.042002298,0.040468752,0.018067582,0.023145719
20051020_62577_0100_PP_479.png,anodr,anodr,True,0.9285905,0.02208236,0.016009334,0.018732533,0.014585204
20051020_62615_0100_PP_294.png,anodr,anodr,True,0.91846025,0.027326303,0.01896016,0.018462049,0.016791172
20051020_63269_0100_PP_1183.png,anodr,anodr,True,0.9123427,0.024684396,0.019313237,0.02685466,0.016804984
20051020_63337_0100_PP_471.png,anodr,anodr,True,0.91292435,0.027015438,0.022454198,0.02221525,0.015390781
20051020_64249_0100_PP_1004.png,anodr,anodr,True,0.91662997,0.029349795,0.029318264,0.01292229,0.0117796995
20051020_64388_0100_PP_1194.png,anodr,anodr,True,0.9198995,0.025237061,0.02111661,0.018726245,0.015020599
20051020_64653_0100_PP_124.png,anodr,anodr,True,0.953549,0.016095016,0.009284615,0.011671004,0.009400372
20051020_64775_0100_PP_480.png,anodr,anodr,True,0.9286053,0.028451689,0.016345728,0.0125733,0.014023895
20051020_64836_0100_PP_1270.png,anodr,anodr,True,0.9067805,0.03558203,0.030343119,0.013944155,0.0133501105
20051021_36380_0100_PP_135.png,anodr,anodr,True,0.924381,0.0221173,0.016261876,0.020099163,0.01714062
20051021_36476_0100_PP_1243.png,anodr,anodr,True,0.92403215,0.023175454,0.015011702,0.020760763,0.017019833
20051021_39845_0100_PP_315.png,anodr,anodr,True,0.93548125,0.018168483,0.012510245,0.018550161,0.015289883
20051021_39914_0100_PP_1352.png,anodr,anodr,True,0.92891955,0.022092203,0.018015748,0.018829461,0.012143092
20051021_51418_0100_PP_18.png,anodr,anodr,True,0.93306243,0.019767243,0.013138752,0.017028106,0.017003473
20051021_51476_0100_PP_150.png,anodr,anodr,True,0.92298275,0.025437469,0.018699858,0.017913887,0.014966007
20051021_51936_0100_PP_1379.png,anodr,anodr,True,0.9341198,0.024143057,0.01506087,0.012726311,0.013949951
20051021_51994_0100_PP_1283.png,anodr,anodr,True,0.91967916,0.027679097,0.016929133,0.018296484,0.017416043
20051021_57798_0100_PP_1322.png,anodr,anodr,True,0.93285394,0.026647054,0.012705295,0.012086109,0.015707621
20051021_57862_0100_PP_372.png,anodr,anodr,True,0.9505733,0.01976659,0.009379169,0.010542428,0.009738521
