image_path,true_label,predicted_label,confidence,correct,prob_a_noamd,prob_b_amd
../../../data/data_ADAM/test/a_noamd/T0161.jpg,a_noamd,a_noamd,0.9080852,True,0.9080852,0.09191474
../../../data/data_ADAM/test/a_noamd/T0216.jpg,a_noamd,a_noamd,0.9034564,True,0.9034564,0.09654359
../../../data/data_ADAM/test/a_noamd/T0327.jpg,a_noamd,a_noamd,0.5660705,True,0.5660705,0.43392947
../../../data/data_ADAM/test/a_noamd/N0232.jpg,a_noamd,a_noamd,0.62685573,True,0.62685573,0.37314427
../../../data/data_ADAM/test/a_noamd/N0294.jpg,a_noamd,a_noamd,0.68388385,True,0.68388385,0.31611612
../../../data/data_ADAM/test/a_noamd/N0132.jpg,a_noamd,a_noamd,0.5980833,True,0.5980833,0.40191665
../../../data/data_ADAM/test/a_noamd/N0082.jpg,a_noamd,a_noamd,0.9744061,True,0.9744061,0.025593905
../../../data/data_ADAM/test/a_noamd/N0126.jpg,a_noamd,a_noamd,0.7431868,True,0.7431868,0.2568132
../../../data/data_ADAM/test/a_noamd/V0145.jpg,a_noamd,b_amd,0.8415658,False,0.15843424,0.8415658
../../../data/data_ADAM/test/a_noamd/N0181.jpg,a_noamd,b_amd,0.9189142,False,0.08108575,0.9189142
../../../data/data_ADAM/test/a_noamd/N0308.jpg,a_noamd,a_noamd,0.79400814,True,0.79400814,0.20599186
../../../data/data_ADAM/test/a_noamd/N0093.jpg,a_noamd,a_noamd,0.9750542,True,0.9750542,0.024945727
../../../data/data_ADAM/test/a_noamd/N0052.jpg,a_noamd,b_amd,0.5874294,False,0.41257057,0.5874294
../../../data/data_ADAM/test/a_noamd/T0088.jpg,a_noamd,a_noamd,0.89743453,True,0.89743453,0.10256544
../../../data/data_ADAM/test/a_noamd/T0385.jpg,a_noamd,a_noamd,0.91430265,True,0.91430265,0.0856974
../../../data/data_ADAM/test/a_noamd/V0254.jpg,a_noamd,a_noamd,0.7624019,True,0.7624019,0.23759815
../../../data/data_ADAM/test/a_noamd/V0238.jpg,a_noamd,a_noamd,0.697456,True,0.697456,0.30254403
../../../data/data_ADAM/test/a_noamd/N0124.jpg,a_noamd,a_noamd,0.95975333,True,0.95975333,0.04024667
../../../data/data_ADAM/test/a_noamd/T0379.jpg,a_noamd,b_amd,0.72780937,False,0.2721906,0.72780937
../../../data/data_ADAM/test/a_noamd/N0115.jpg,a_noamd,a_noamd,0.6967842,True,0.6967842,0.30321583
../../../data/data_ADAM/test/a_noamd/N0023.jpg,a_noamd,b_amd,0.76478404,False,0.23521598,0.76478404
../../../data/data_ADAM/test/a_noamd/T0296.jpg,a_noamd,a_noamd,0.9612107,True,0.9612107,0.03878933
../../../data/data_ADAM/test/a_noamd/N0305.jpg,a_noamd,a_noamd,0.8796175,True,0.8796175,0.1203825
../../../data/data_ADAM/test/a_noamd/V0217.jpg,a_noamd,a_noamd,0.97596174,True,0.97596174,0.024038276
../../../data/data_ADAM/test/a_noamd/N0270.jpg,a_noamd,a_noamd,0.56537837,True,0.56537837,0.43462163
../../../data/data_ADAM/test/a_noamd/N0094.jpg,a_noamd,a_noamd,0.9695757,True,0.9695757,0.030424254
../../../data/data_ADAM/test/a_noamd/V0114.jpg,a_noamd,a_noamd,0.57018614,True,0.57018614,0.42981386
../../../data/data_ADAM/test/a_noamd/T0312.jpg,a_noamd,a_noamd,0.87690765,True,0.87690765,0.1230924
../../../data/data_ADAM/test/a_noamd/N0286.jpg,a_noamd,a_noamd,0.9092643,True,0.9092643,0.09073566
../../../data/data_ADAM/test/a_noamd/N0055.jpg,a_noamd,a_noamd,0.98333263,True,0.98333263,0.016667346
../../../data/data_ADAM/test/a_noamd/N0243.jpg,a_noamd,a_noamd,0.8267615,True,0.8267615,0.17323858
../../../data/data_ADAM/test/a_noamd/N0250.jpg,a_noamd,a_noamd,0.742445,True,0.742445,0.257555
../../../data/data_ADAM/test/a_noamd/N0184.jpg,a_noamd,a_noamd,0.95977837,True,0.95977837,0.040221654
../../../data/data_ADAM/test/a_noamd/V0230.jpg,a_noamd,a_noamd,0.96359235,True,0.96359235,0.03640765
../../../data/data_ADAM/test/a_noamd/V0231.jpg,a_noamd,a_noamd,0.8891631,True,0.8891631,0.110836916
../../../data/data_ADAM/test/a_noamd/V0221.jpg,a_noamd,a_noamd,0.7849626,True,0.7849626,0.2150374
../../../data/data_ADAM/test/a_noamd/T0027.jpg,a_noamd,b_amd,0.7396253,False,0.26037472,0.7396253
../../../data/data_ADAM/test/a_noamd/N0101.jpg,a_noamd,b_amd,0.7262361,False,0.27376392,0.7262361
../../../data/data_ADAM/test/a_noamd/T0101.jpg,a_noamd,a_noamd,0.7602041,True,0.7602041,0.23979594
../../../data/data_ADAM/test/a_noamd/N0016.jpg,a_noamd,a_noamd,0.826177,True,0.826177,0.17382303
../../../data/data_ADAM/test/a_noamd/V0002.jpg,a_noamd,a_noamd,0.954822,True,0.954822,0.045177955
../../../data/data_ADAM/test/a_noamd/T0221.jpg,a_noamd,a_noamd,0.9219688,True,0.9219688,0.07803115
../../../data/data_ADAM/test/a_noamd/T0044.jpg,a_noamd,a_noamd,0.84256846,True,0.84256846,0.1574316
../../../data/data_ADAM/test/a_noamd/N0043.jpg,a_noamd,b_amd,0.83456147,False,0.1654385,0.83456147
../../../data/data_ADAM/test/a_noamd/V0205.jpg,a_noamd,a_noamd,0.9548719,True,0.9548719,0.045128126
../../../data/data_ADAM/test/a_noamd/N0178.jpg,a_noamd,a_noamd,0.9463987,True,0.9463987,0.053601384
../../../data/data_ADAM/test/a_noamd/V0289.jpg,a_noamd,a_noamd,0.93659276,True,0.93659276,0.06340725
