filename,score_anormal,score_cglaucoma,prediction,prediction_index
RET191OS.jpg,0.91575474,0.0842453,anormal,0
RET190OS.jpg,0.89888877,0.10111126,anormal,0
RET200OS.jpg,0.89472055,0.10527947,anormal,0
RET282OS.jpg,0.8753215,0.124678485,anormal,0
RET141OS.jpg,0.55651754,0.44348246,anormal,0
RET184OD.jpg,0.919939,0.08006105,anormal,0
RET203OD.jpg,0.9235269,0.076473095,anormal,0
RET212OD.jpg,0.64674354,0.35325643,anormal,0
RET137OD.jpg,0.4190204,0.58097965,cglaucoma,1
RET211OS.jpg,0.9289816,0.07101839,anormal,0
RET291OD.jpg,0.905781,0.09421897,anormal,0
RET285OS.jpg,0.93347275,0.06652728,anormal,0
RET261OS.jpg,0.91008574,0.089914285,anormal,0
RET146OS.jpg,0.648651,0.35134903,anormal,0
RET237OD.jpg,0.88633347,0.113666534,anormal,0
RET283OS.jpg,0.9056196,0.094380416,anormal,0
RET271OS.jpg,0.83198535,0.1680146,anormal,0
RET282OD.jpg,0.8926297,0.1073703,anormal,0
RET163OS.jpg,0.7342422,0.26575777,anormal,0
RET258OD.jpg,0.6602073,0.3397928,anormal,0
RET231OD.jpg,0.89567333,0.10432667,anormal,0
RET252OS.jpg,0.8541915,0.14580849,anormal,0
RET131OD.jpg,0.82193166,0.17806838,anormal,0
RET153OS.jpg,0.7144802,0.28551978,anormal,0
RET200OD.jpg,0.8481078,0.1518922,anormal,0
RET177OD.jpg,0.87601316,0.123986855,anormal,0
RET213OS.jpg,0.71606016,0.2839399,anormal,0
RET181OS.jpg,0.8897557,0.11024428,anormal,0
RET228OS.jpg,0.9105484,0.08945165,anormal,0
RET224OD.jpg,0.7884437,0.21155632,anormal,0
RET199OD.jpg,0.8186415,0.18135847,anormal,0
RET098OD.jpg,0.38992444,0.6100756,cglaucoma,1
RET216OS.jpg,0.87035334,0.12964666,anormal,0
RET202OD.jpg,0.8689226,0.13107745,anormal,0
RET198OS.jpg,0.8698719,0.13012804,anormal,0
RET272OD.jpg,0.50693655,0.49306345,anormal,0
RET184OS.jpg,0.5315287,0.46847132,anormal,0
RET178OD.jpg,0.92567647,0.07432357,anormal,0
RET192OS.jpg,0.8466087,0.15339127,anormal,0
RET253OD.jpg,0.8762507,0.12374933,anormal,0
RET198OD.jpg,0.8244904,0.17550962,anormal,0
RET150OS.jpg,0.62560654,0.37439346,anormal,0
RET256OD.jpg,0.4207787,0.57922137,cglaucoma,1
RET107OD.jpg,0.8031683,0.19683166,anormal,0
RET220OS.jpg,0.92758524,0.07241472,anormal,0
RET259OD.jpg,0.44595906,0.55404097,cglaucoma,1
RET277OS.jpg,0.45997733,0.5400226,cglaucoma,1
RET096OD.jpg,0.66462857,0.3353715,anormal,0
RET267OD.jpg,0.7948565,0.20514347,anormal,0
RET201OD.jpg,0.866218,0.13378206,anormal,0
RET129OS.jpg,0.7648892,0.23511077,anormal,0
RET175OD.jpg,0.4715961,0.5284039,cglaucoma,1
RET220OD.jpg,0.5488943,0.4511057,anormal,0
RET035OS.jpg,0.8721627,0.12783735,anormal,0
RET216OD.jpg,0.88749903,0.11250093,anormal,0
RET245OS.jpg,0.9096447,0.09035532,anormal,0
RET253OS.jpg,0.9169419,0.08305811,anormal,0
RET027OD.jpg,0.92353594,0.07646409,anormal,0
RET177OS.jpg,0.92875266,0.0712474,anormal,0
RET203OS.jpg,0.94099605,0.059003968,anormal,0
RET210OD.jpg,0.8742555,0.1257445,anormal,0
RET133OD.jpg,0.46225283,0.53774714,cglaucoma,1
RET035OD.jpg,0.8283886,0.17161143,anormal,0
RET197OD.jpg,0.89704937,0.10295065,anormal,0
RET132OD.jpg,0.8913604,0.10863962,anormal,0
RET168OS.jpg,0.80696803,0.19303195,anormal,0
RET182OD.jpg,0.91242033,0.087579675,anormal,0
RET120OS.jpg,0.89016134,0.10983861,anormal,0
RET120OD.jpg,0.8019956,0.19800447,anormal,0
RET122OS.jpg,0.8746459,0.12535414,anormal,0
RET053OD.jpg,0.4177307,0.5822693,cglaucoma,1
RET002OD.jpg,0.86284816,0.1371518,anormal,0
RET091OD.jpg,0.5138769,0.48612306,anormal,0
RET122OD.jpg,0.89913285,0.10086716,anormal,0
RET066OS.jpg,0.42937398,0.570626,cglaucoma,1
RET276OS.jpg,0.73653877,0.26346126,anormal,0
RET102OD.jpg,0.8579395,0.14206052,anormal,0
RET114OS.jpg,0.671021,0.32897902,anormal,0
RET006OS.jpg,0.5717898,0.42821023,anormal,0
RET106OD.jpg,0.43716374,0.5628363,cglaucoma,1
RET089OD.jpg,0.64923406,0.35076594,anormal,0
