filename,score_a_noamd,score_b_amd,prediction,prediction_index
T0161.jpg,0.84783787,0.15216212,a_noamd,0
T0216.jpg,0.8647484,0.13525157,a_noamd,0
T0327.jpg,0.57853764,0.42146236,a_noamd,0
N0232.jpg,0.8263069,0.17369317,a_noamd,0
N0294.jpg,0.7139895,0.28601056,a_noamd,0
N0132.jpg,0.76719475,0.23280522,a_noamd,0
N0082.jpg,0.90469694,0.095303014,a_noamd,0
N0126.jpg,0.8412891,0.15871096,a_noamd,0
V0145.jpg,0.6936853,0.30631468,a_noamd,0
N0181.jpg,0.14521961,0.8547804,b_amd,1
N0308.jpg,0.80838495,0.19161505,a_noamd,0
N0093.jpg,0.9056495,0.09435054,a_noamd,0
N0052.jpg,0.7584457,0.24155432,a_noamd,0
T0088.jpg,0.88187736,0.11812266,a_noamd,0
T0385.jpg,0.85966194,0.14033802,a_noamd,0
V0254.jpg,0.7184668,0.28153318,a_noamd,0
V0238.jpg,0.6986258,0.3013742,a_noamd,0
N0124.jpg,0.85267085,0.14732918,a_noamd,0
T0379.jpg,0.34174123,0.6582588,b_amd,1
N0115.jpg,0.8106564,0.18934354,a_noamd,0
N0023.jpg,0.7625934,0.23740664,a_noamd,0
T0296.jpg,0.8694433,0.1305567,a_noamd,0
N0305.jpg,0.8230821,0.17691791,a_noamd,0
V0217.jpg,0.9105088,0.08949116,a_noamd,0
N0270.jpg,0.8442551,0.15574491,a_noamd,0
N0094.jpg,0.9080402,0.09195981,a_noamd,0
V0114.jpg,0.72095954,0.27904046,a_noamd,0
T0312.jpg,0.60086,0.39914,a_noamd,0
N0286.jpg,0.89605385,0.10394614,a_noamd,0
N0055.jpg,0.88997614,0.11002387,a_noamd,0
N0243.jpg,0.85143566,0.14856434,a_noamd,0
N0250.jpg,0.8756561,0.12434391,a_noamd,0
N0184.jpg,0.85730076,0.1426993,a_noamd,0
V0230.jpg,0.9007663,0.09923371,a_noamd,0
V0231.jpg,0.7988564,0.20114361,a_noamd,0
V0221.jpg,0.84055686,0.15944313,a_noamd,0
T0027.jpg,0.5102182,0.4897818,a_noamd,0
N0101.jpg,0.49957153,0.50042844,b_amd,1
T0101.jpg,0.6074976,0.3925025,a_noamd,0
N0016.jpg,0.8286107,0.17138931,a_noamd,0
V0002.jpg,0.8910869,0.10891316,a_noamd,0
T0221.jpg,0.86581564,0.1341844,a_noamd,0
T0044.jpg,0.76877767,0.23122238,a_noamd,0
N0043.jpg,0.3247957,0.67520434,b_amd,1
V0205.jpg,0.8836232,0.116376765,a_noamd,0
N0178.jpg,0.86584336,0.13415664,a_noamd,0
V0289.jpg,0.8849032,0.115096845,a_noamd,0
T0055.jpg,0.8860817,0.11391826,a_noamd,0
T0162.jpg,0.65938646,0.34061348,a_noamd,0
T0215.jpg,0.81546694,0.1845331,a_noamd,0
T0344.jpg,0.81683594,0.183164,a_noamd,0
N0048.jpg,0.8932631,0.10673687,a_noamd,0
V0294.jpg,0.9016745,0.09832551,a_noamd,0
V0377.jpg,0.70803887,0.29196116,a_noamd,0
V0067.jpg,0.88891405,0.11108594,a_noamd,0
T0367.jpg,0.7958402,0.20415972,a_noamd,0
T0016.jpg,0.8747345,0.1252655,a_noamd,0
