image_path,predicted_class,true_class,prob_anormal,prob_cglaucoma
test/anormal/RET027OD.jpg,anormal,anormal,0.9713425,0.028657481
test/anormal/RET035OD.jpg,anormal,anormal,0.97686493,0.023134997
test/anormal/RET035OS.jpg,anormal,anormal,0.9793632,0.020636851
test/anormal/RET096OD.jpg,anormal,anormal,0.9504443,0.04955568
test/anormal/RET098OD.jpg,anormal,anormal,0.84101194,0.15898804
test/anormal/RET107OD.jpg,anormal,anormal,0.9793438,0.020656206
test/anormal/RET129OS.jpg,anormal,anormal,0.9658372,0.034162834
test/anormal/RET131OD.jpg,anormal,anormal,0.9757177,0.024282264
test/anormal/RET132OD.jpg,anormal,anormal,0.9753515,0.024648461
test/anormal/RET133OD.jpg,anormal,anormal,0.9594557,0.0405443
test/anormal/RET137OD.jpg,anormal,anormal,0.9415246,0.058475383
test/anormal/RET141OS.jpg,anormal,anormal,0.9304785,0.06952144
test/anormal/RET146OS.jpg,anormal,anormal,0.9499933,0.050006706
test/anormal/RET150OS.jpg,anormal,anormal,0.9343607,0.06563937
test/anormal/RET153OS.jpg,anormal,anormal,0.9774991,0.02250093
test/anormal/RET163OS.jpg,anormal,anormal,0.9359262,0.06407378
test/anormal/RET168OS.jpg,anormal,anormal,0.9616692,0.03833076
test/anormal/RET175OD.jpg,anormal,anormal,0.9387192,0.06128075
test/anormal/RET177OD.jpg,anormal,anormal,0.97871715,0.021282831
test/anormal/RET177OS.jpg,anormal,anormal,0.97642285,0.02357712
test/anormal/RET178OD.jpg,anormal,anormal,0.95333517,0.04666476
test/anormal/RET181OS.jpg,anormal,anormal,0.98171693,0.018283142
test/anormal/RET182OD.jpg,anormal,anormal,0.9784853,0.02151468
test/anormal/RET184OD.jpg,anormal,anormal,0.98266554,0.017334428
test/anormal/RET184OS.jpg,anormal,anormal,0.9445954,0.05540456
test/anormal/RET190OS.jpg,anormal,anormal,0.9423548,0.057645194
test/anormal/RET191OS.jpg,anormal,anormal,0.9708872,0.029112807
test/anormal/RET192OS.jpg,anormal,anormal,0.9651738,0.034826275
test/anormal/RET197OD.jpg,anormal,anormal,0.93375176,0.06624823
test/anormal/RET198OD.jpg,anormal,anormal,0.9446576,0.05534238
test/anormal/RET198OS.jpg,anormal,anormal,0.9242321,0.07576793
test/anormal/RET199OD.jpg,anormal,anormal,0.9826833,0.017316673
test/anormal/RET200OD.jpg,anormal,anormal,0.9788309,0.021169128
