image_path,predicted_class,true_class,prob_a_noamd,prob_b_amd
test/a_noamd/N0001.jpg,a_noamd,a_noamd,0.8190074,0.18099259
test/a_noamd/N0002.jpg,a_noamd,a_noamd,0.87697905,0.12302092
test/a_noamd/N0003.jpg,a_noamd,a_noamd,0.7226392,0.2773608
test/a_noamd/N0004.jpg,a_noamd,a_noamd,0.84317654,0.15682344
test/a_noamd/N0005.jpg,a_noamd,a_noamd,0.6859388,0.3140612
test/a_noamd/N0006.jpg,a_noamd,a_noamd,0.8246443,0.17535564
test/a_noamd/N0007.jpg,a_noamd,a_noamd,0.90569824,0.09430178
test/a_noamd/N0008.jpg,a_noamd,a_noamd,0.90100604,0.098993964
test/a_noamd/N0009.jpg,a_noamd,a_noamd,0.8704249,0.12957506
test/a_noamd/N0010.jpg,a_noamd,a_noamd,0.6915816,0.30841836
test/a_noamd/N0011.jpg,a_noamd,a_noamd,0.5990638,0.40093616
test/a_noamd/N0012.jpg,a_noamd,a_noamd,0.9070023,0.09299778
test/a_noamd/N0013.jpg,a_noamd,a_noamd,0.8836661,0.116333894
test/a_noamd/N0014.jpg,a_noamd,a_noamd,0.8658056,0.13419434
test/a_noamd/N0015.jpg,a_noamd,a_noamd,0.8079908,0.19200921
test/a_noamd/N0016.jpg,a_noamd,a_noamd,0.70723885,0.2927612
test/a_noamd/N0017.jpg,a_noamd,a_noamd,0.9216644,0.078335606
test/a_noamd/N0018.jpg,a_noamd,a_noamd,0.91957664,0.08042331
test/a_noamd/N0019.jpg,a_noamd,a_noamd,0.91655976,0.08344021
test/a_noamd/N0020.jpg,a_noamd,a_noamd,0.8365698,0.16343024
test/a_noamd/N0021.jpg,a_noamd,a_noamd,0.7451779,0.2548221
test/a_noamd/N0022.jpg,a_noamd,a_noamd,0.7456418,0.2543582
test/a_noamd/N0023.jpg,b_amd,a_noamd,0.24956006,0.75043994
test/a_noamd/N0024.jpg,b_amd,a_noamd,0.3822642,0.61773586
test/a_noamd/N0025.jpg,a_noamd,a_noamd,0.91031605,0.08968393
test/a_noamd/N0026.jpg,a_noamd,a_noamd,0.8346328,0.16536717
test/a_noamd/N0027.jpg,a_noamd,a_noamd,0.89474016,0.10525977
test/a_noamd/N0028.jpg,a_noamd,a_noamd,0.7317456,0.2682544
test/a_noamd/N0029.jpg,a_noamd,a_noamd,0.9037452,0.09625479
test/a_noamd/N0030.jpg,a_noamd,a_noamd,0.85980797,0.14019209
test/a_noamd/N0031.jpg,a_noamd,a_noamd,0.87490577,0.12509422
test/a_noamd/N0032.jpg,a_noamd,a_noamd,0.8758272,0.12417287
