image_path,predicted_class,true_class,prob_anormal,prob_cglaucoma
test/anormal/image_001_170.jpg,anormal,anormal,0.5574397,0.44256026
test/anormal/image_002_202.jpg,cglaucoma,anormal,0.4886301,0.5113699
test/anormal/image_003_50.jpg,anormal,anormal,0.60690194,0.3930981
test/anormal/image_004_65.jpg,anormal,anormal,0.82080996,0.17919005
test/anormal/image_005_13.jpg,anormal,anormal,0.87764716,0.1223528
test/anormal/image_006_4.jpg,cglaucoma,anormal,0.37942356,0.6205764
test/anormal/image_007_5.jpg,anormal,anormal,0.88205105,0.117948994
test/anormal/image_008_116.jpg,anormal,anormal,0.5273853,0.47261477
test/anormal/image_009_125.jpg,anormal,anormal,0.6679905,0.3320095
test/anormal/image_010_41.jpg,anormal,anormal,0.555859,0.44414097
test/anormal/image_011_214.jpg,anormal,anormal,0.9146479,0.08535209
test/anormal/image_012_56.jpg,anormal,anormal,0.9581537,0.04184623
test/anormal/image_013_71.jpg,anormal,anormal,0.8258794,0.17412065
test/anormal/image_014_59.jpg,anormal,anormal,0.7137843,0.28621572
test/anormal/image_015_209.jpg,anormal,anormal,0.9630747,0.036925346
test/anormal/image_016_82.jpg,anormal,anormal,0.54222393,0.45777607
test/anormal/image_017_93.jpg,anormal,anormal,0.93668866,0.06331138
test/anormal/image_018_120.jpg,anormal,anormal,0.6903065,0.30969352
test/anormal/image_019_168.jpg,anormal,anormal,0.66954523,0.33045477
test/anormal/image_020_10.jpg,anormal,anormal,0.83668774,0.1633122
test/anormal/image_021_26.jpg,anormal,anormal,0.6666782,0.33332175
test/anormal/image_022_55.jpg,anormal,anormal,0.7133733,0.28662667
test/anormal/image_023_103.jpg,anormal,anormal,0.65870994,0.3412901
test/anormal/image_024_200.jpg,anormal,anormal,0.7869112,0.21308877
test/anormal/image_025_99.jpg,anormal,anormal,0.5650327,0.43496725
test/anormal/image_026_146.jpg,cglaucoma,anormal,0.28638083,0.71361923
test/anormal/image_027_32.jpg,anormal,anormal,0.52246284,0.47753713
test/anormal/image_028_96.jpg,anormal,anormal,0.9143457,0.08565431
test/anormal/image_029_217.jpg,anormal,anormal,0.89069206,0.109308004
test/anormal/image_030_219.jpg,anormal,anormal,0.6893542,0.31064582
test/anormal/image_031_49.jpg,cglaucoma,anormal,0.41819462,0.5818054
test/anormal/image_032_39.jpg,anormal,anormal,0.84662694,0.15337308
test/anormal/image_033_187.jpg,anormal,anormal,0.88515884,0.11484113
test/anormal/image_034_36.jpg,anormal,anormal,0.6541121,0.34588787
test/anormal/image_035_160.jpg,anormal,anormal,0.55666995,0.44333005
test/anormal/image_036_25.jpg,anormal,anormal,0.5822285,0.4177715
test/anormal/image_037_178.jpg,anormal,anormal,0.891515,0.108485
test/anormal/image_038_95.jpg,anormal,anormal,0.7674714,0.23252857
test/anormal/image_039_12.jpg,anormal,anormal,0.6283639,0.3716361
test/anormal/image_040_16.jpg,anormal,anormal,0.8937066,0.106293365
test/anormal/image_041_108.jpg,anormal,anormal,0.7042452,0.29575476
test/anormal/image_042_63.jpg,anormal,anormal,0.50589854,0.49410146
test/anormal/image_043_54.jpg,cglaucoma,anormal,0.34600782,0.6539921
test/anormal/image_044_70.jpg,anormal,anormal,0.76467466,0.2353253
test/anormal/image_045_182.jpg,anormal,anormal,0.5263117,0.4736883
test/anormal/image_046_64.jpg,anormal,anormal,0.95779896,0.042201046
test/anormal/image_047_143.jpg,anormal,anormal,0.7079203,0.29207963
test/anormal/image_048_130.jpg,anormal,anormal,0.8123872,0.18761282
test/anormal/image_049_105.jpg,anormal,anormal,0.94465166,0.055348366
test/anormal/image_050_163.jpg,cglaucoma,anormal,0.49787647,0.50212353
test/anormal/image_051_190.jpg,anormal,anormal,0.97647494,0.023525055
test/anormal/image_052_3.jpg,anormal,anormal,0.938197,0.061802953
test/anormal/image_053_136.jpg,anormal,anormal,0.95800894,0.04199106
test/anormal/image_054_158.jpg,anormal,anormal,0.9361686,0.0638314
test/anormal/image_055_139.jpg,anormal,anormal,0.6774491,0.32255086
test/anormal/image_056_142.jpg,anormal,anormal,0.65250593,0.34749404
