filename,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr,pred_index,pred_class
002c21358ce6.png,0.925949,0.016495,0.018140,0.020175,0.019241,0,anodr
005b95c28852.png,0.928404,0.016743,0.021399,0.018987,0.014467,0,anodr
00cc2b75cddd.png,0.923030,0.023591,0.019214,0.018764,0.015401,0,anodr
0182152c50de.png,0.924420,0.022025,0.018759,0.018790,0.016006,0,anodr
02cd34a85b24.png,0.922442,0.020686,0.023142,0.017600,0.016129,0,anodr
03b373718013.png,0.927714,0.020281,0.018592,0.018103,0.015309,0,anodr
04aef84a2cc1.png,0.928226,0.019360,0.019089,0.017654,0.015672,0,anodr
05b1bb2bdb81.png,0.930864,0.016441,0.019358,0.017332,0.016005,0,anodr
07596907347b.png,0.933704,0.015253,0.016129,0.019117,0.015798,0,anodr
07751b94a88a.png,0.921328,0.023484,0.019127,0.019750,0.016311,0,anodr
0790515cf5af.png,0.921008,0.028315,0.020787,0.016193,0.013697,0,anodr
08037e4490e5.png,0.931282,0.016843,0.018877,0.017813,0.015184,0,anodr
0851d6a69589.png,0.927402,0.015877,0.021325,0.018941,0.016455,0,anodr
08b6e3240858.png,0.916811,0.028146,0.026130,0.015457,0.013456,0,anodr
08bef347f40d.png,0.931876,0.017908,0.018275,0.017371,0.014570,0,anodr
08ee569d4721.png,0.927926,0.021124,0.018441,0.017795,0.014714,0,anodr
09237bf783a4.png,0.928518,0.017530,0.016261,0.019682,0.018010,0,anodr
096436d68d06.png,0.929207,0.018207,0.022223,0.015833,0.014530,0,anodr
099021fac3c9.png,0.929674,0.016684,0.020653,0.018555,0.014434,0,anodr
09c8323c612e.png,0.921140,0.016814,0.021860,0.021646,0.018539,0,anodr
0a38b552372d.png,0.927275,0.020966,0.019061,0.017915,0.014782,0,anodr
0a85a1e8f9e9.png,0.915850,0.011844,0.040526,0.018430,0.013351,0,anodr
0babc12807b2.png,0.011528,0.539664,0.394957,0.035612,0.018239,1,bmilddr
0cbcc7b23613.png,0.918047,0.021646,0.035095,0.014814,0.010399,0,anodr
0cd31078cd08.png,0.931087,0.018383,0.018326,0.017796,0.014408,0,anodr
