filename,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr,pred_index,pred_class
20051020_43808_0100_PP_967.png,0.925650,0.021361,0.020040,0.018696,0.014252,0,anodr
20051020_44261_0100_PP_1191.png,0.924109,0.023322,0.019969,0.017954,0.014646,0,anodr
20051020_44284_0100_PP_502.png,0.926527,0.019251,0.022831,0.018371,0.013019,0,anodr
20051020_44338_0100_PP_547.png,0.858436,0.068596,0.043284,0.018272,0.011413,0,anodr
20051020_44400_0100_PP_920.png,0.906024,0.047290,0.020514,0.015497,0.010675,0,anodr
20051020_44431_0100_PP_514.png,0.889576,0.053244,0.031460,0.015469,0.010251,0,anodr
20051020_44692_0100_PP_419.png,0.925127,0.023652,0.019395,0.017232,0.014594,0,anodr
20051020_44714_0100_PP_1199.png,0.923527,0.028036,0.018180,0.016802,0.013455,0,anodr
20051020_44982_0100_PP_486.png,0.845980,0.091568,0.034745,0.015604,0.012103,0,anodr
20051020_56791_0100_PP_1185.png,0.926363,0.025668,0.018983,0.016641,0.012345,0,anodr
20051020_57157_0100_PP_971.png,0.171373,0.692975,0.112161,0.008549,0.014942,1,bmilddr
20051020_57967_0100_PP_829.png,0.929415,0.021768,0.017505,0.017575,0.013738,0,anodr
20051020_58065_0100_PP_561.png,0.924867,0.022578,0.020265,0.017294,0.014995,0,anodr
20051020_61757_0100_PP_484.png,0.931559,0.017194,0.020980,0.017911,0.012355,0,anodr
20051020_62461_0100_PP_76.png,0.870346,0.030907,0.068845,0.015871,0.014032,0,anodr
20051020_62510_0100_PP_106.png,0.355363,0.040515,0.302927,0.065916,0.235279,0,anodr
20051020_62577_0100_PP_479.png,0.933145,0.016706,0.020641,0.017598,0.011910,0,anodr
20051020_62615_0100_PP_294.png,0.926807,0.025617,0.018982,0.016205,0.012389,0,anodr
20051020_63269_0100_PP_1183.png,0.926961,0.021641,0.018557,0.018158,0.014682,0,anodr
20051020_63337_0100_PP_471.png,0.920170,0.027920,0.019439,0.017178,0.015294,0,anodr
20051020_64249_0100_PP_1004.png,0.933897,0.017153,0.021410,0.017084,0.010456,0,anodr
20051020_64388_0100_PP_1194.png,0.931036,0.018408,0.019516,0.017930,0.013110,0,anodr
20051020_64653_0100_PP_124.png,0.923100,0.025003,0.019973,0.018355,0.013570,0,anodr
20051020_64775_0100_PP_480.png,0.925661,0.023959,0.022226,0.015414,0.012740,0,anodr
20051020_64836_0100_PP_1270.png,0.914547,0.024313,0.029994,0.017486,0.013659,0,anodr
20051021_36380_0100_PP_135.png,0.928294,0.021228,0.017547,0.018625,0.014305,0,anodr
20051021_36476_0100_PP_1243.png,0.924670,0.025577,0.018096,0.017709,0.013948,0,anodr
20051021_39845_0100_PP_315.png,0.923193,0.022874,0.019398,0.018491,0.016045,0,anodr
20051021_39914_0100_PP_1352.png,0.921266,0.025354,0.020545,0.018513,0.014323,0,anodr
20051021_51418_0100_PP_18.png,0.919963,0.025980,0.023135,0.017352,0.013570,0,anodr
20051021_51476_0100_PP_150.png,0.916805,0.032952,0.021825,0.015533,0.012885,0,anodr
