filename,score_anormal,score_cglaucoma,pred_index,pred_class
image_001_170.jpg,0.971693,0.028307,0,anormal
image_002_202.jpg,0.907069,0.092931,0,anormal
image_003_50.jpg,0.968323,0.031677,0,anormal
image_004_65.jpg,0.962209,0.037791,0,anormal
image_005_13.jpg,0.959240,0.040760,0,anormal
image_006_4.jpg,0.943945,0.056055,0,anormal
image_007_5.jpg,0.971730,0.028270,0,anormal
image_008_116.jpg,0.953316,0.046684,0,anormal
image_009_125.jpg,0.962185,0.037815,0,anormal
image_010_41.jpg,0.950323,0.049677,0,anormal
image_011_214.jpg,0.975394,0.024606,0,anormal
image_012_56.jpg,0.925431,0.074569,0,anormal
image_013_71.jpg,0.965754,0.034246,0,anormal
image_014_59.jpg,0.965126,0.034874,0,anormal
image_015_209.jpg,0.967813,0.032187,0,anormal
image_016_82.jpg,0.950781,0.049219,0,anormal
image_017_93.jpg,0.932734,0.067266,0,anormal
image_018_120.jpg,0.959729,0.040271,0,anormal
image_019_168.jpg,0.951197,0.048803,0,anormal
image_020_10.jpg,0.931263,0.068737,0,anormal
image_021_26.jpg,0.958460,0.041540,0,anormal
image_022_55.jpg,0.962164,0.037836,0,anormal
image_023_103.jpg,0.943338,0.056662,0,anormal
image_024_200.jpg,0.961383,0.038617,0,anormal
image_025_99.jpg,0.922274,0.077726,0,anormal
image_026_146.jpg,0.960783,0.039217,0,anormal
image_027_32.jpg,0.951903,0.048097,0,anormal
image_028_96.jpg,0.961963,0.038037,0,anormal
image_029_217.jpg,0.946763,0.053237,0,anormal
image_030_219.jpg,0.967175,0.032825,0,anormal
image_031_49.jpg,0.920243,0.079757,0,anormal
image_032_39.jpg,0.955545,0.044455,0,anormal
image_033_187.jpg,0.673689,0.326311,0,anormal
image_034_36.jpg,0.960547,0.039453,0,anormal
image_035_160.jpg,0.939251,0.060750,0,anormal
image_036_25.jpg,0.961423,0.038577,0,anormal
image_037_178.jpg,0.964241,0.035759,0,anormal
image_038_95.jpg,0.935536,0.064464,0,anormal
image_039_12.jpg,0.943854,0.056146,0,anormal
image_040_16.jpg,0.965920,0.034080,0,anormal
image_041_108.jpg,0.645753,0.354247,0,anormal
image_042_63.jpg,0.945173,0.054827,0,anormal
image_043_54.jpg,0.896946,0.103054,0,anormal
image_044_70.jpg,0.973304,0.026696,0,anormal
image_045_182.jpg,0.865768,0.134232,0,anormal
image_046_64.jpg,0.944299,0.055701,0,anormal
image_047_143.jpg,0.671188,0.328812,0,anormal
image_048_130.jpg,0.951482,0.048518,0,anormal
image_049_105.jpg,0.966099,0.033901,0,anormal
image_050_163.jpg,0.931126,0.068874,0,anormal
image_051_190.jpg,0.967158,0.032842,0,anormal
image_052_3.jpg,0.974610,0.025390,0,anormal
image_053_136.jpg,0.972288,0.027712,0,anormal
image_054_158.jpg,0.961230,0.038770,0,anormal
image_055_139.jpg,0.954147,0.045853,0,anormal
image_056_142.jpg,0.953122,0.046878,0,anormal
image_057_109.jpg,0.954662,0.045338,0,anormal
image_058_118.jpg,0.912884,0.087117,0,anormal
image_059_220.jpg,0.943636,0.056364,0,anormal
image_060_79.jpg,0.963733,0.036267,0,anormal
image_061_44.jpg,0.968540,0.031460,0,anormal
image_062_135.jpg,0.954716,0.045284,0,anormal
image_063_110.jpg,0.976987,0.023012,0,anormal
image_064_164.jpg,0.971450,0.028550,0,anormal
image_065_92.jpg,0.972744,0.027256,0,anormal
image_066_218.jpg,0.949946,0.050054,0,anormal
image_067_127.jpg,0.949714,0.050286,0,anormal
image_068_173.jpg,0.956567,0.043433,0,anormal
