filename,anormal,cglaucoma,prediction
RET027OD.jpg,0.964712,0.035288,anormal
RET035OD.jpg,0.959450,0.040550,anormal
RET035OS.jpg,0.967967,0.032033,anormal
RET096OD.jpg,0.879566,0.120434,anormal
RET098OD.jpg,0.957708,0.042292,anormal
RET107OD.jpg,0.968822,0.031178,anormal
RET129OS.jpg,0.953076,0.046924,anormal
RET131OD.jpg,0.967171,0.032829,anormal
RET132OD.jpg,0.955297,0.044703,anormal
RET133OD.jpg,0.959759,0.040241,anormal
RET137OD.jpg,0.960166,0.039834,anormal
RET141OS.jpg,0.957652,0.042348,anormal
RET146OS.jpg,0.954273,0.045727,anormal
RET150OS.jpg,0.968731,0.031269,anormal
RET153OS.jpg,0.965364,0.034636,anormal
RET163OS.jpg,0.944092,0.055908,anormal
RET168OS.jpg,0.975638,0.024362,anormal
RET175OD.jpg,0.973656,0.026344,anormal
RET177OD.jpg,0.962287,0.037713,anormal
RET177OS.jpg,0.968371,0.031629,anormal
RET178OD.jpg,0.946622,0.053378,anormal
RET181OS.jpg,0.964779,0.035221,anormal
RET182OD.jpg,0.959762,0.040238,anormal
RET184OD.jpg,0.964014,0.035986,anormal
RET184OS.jpg,0.895368,0.104632,anormal
RET190OS.jpg,0.918746,0.081254,anormal
RET191OS.jpg,0.951741,0.048259,anormal
RET192OS.jpg,0.970705,0.029295,anormal
RET197OD.jpg,0.879302,0.120698,anormal
RET198OD.jpg,0.943283,0.056717,anormal
RET198OS.jpg,0.930667,0.069333,anormal
RET199OD.jpg,0.965293,0.034706,anormal
RET200OD.jpg,0.963995,0.036005,anormal
RET200OS.jpg,0.968316,0.031684,anormal
RET201OD.jpg,0.964091,0.035909,anormal
RET202OD.jpg,0.970681,0.029319,anormal
RET203OD.jpg,0.961375,0.038625,anormal
RET203OS.jpg,0.961592,0.038408,anormal
RET210OD.jpg,0.967509,0.032491,anormal
RET211OS.jpg,0.959255,0.040745,anormal
RET212OD.jpg,0.964507,0.035493,anormal
RET213OS.jpg,0.960156,0.039844,anormal
RET216OD.jpg,0.837164,0.162836,anormal
RET216OS.jpg,0.960751,0.039249,anormal
RET220OD.jpg,0.966368,0.033632,anormal
RET220OS.jpg,0.961465,0.038535,anormal
RET224OD.jpg,0.962284,0.037716,anormal
RET228OS.jpg,0.962948,0.037052,anormal
RET231OD.jpg,0.962547,0.037453,anormal
RET237OD.jpg,0.954733,0.045267,anormal
RET245OS.jpg,0.964838,0.035162,anormal
RET252OS.jpg,0.963547,0.036453,anormal
RET253OD.jpg,0.959055,0.040945,anormal
RET253OS.jpg,0.972657,0.027343,anormal
RET256OD.jpg,0.950099,0.049901,anormal
RET258OD.jpg,0.649321,0.350679,anormal
RET259OD.jpg,0.844106,0.155894,anormal
RET261OS.jpg,0.964280,0.035720,anormal
RET267OD.jpg,0.953891,0.046109,anormal
RET271OS.jpg,0.972476,0.027524,anormal
RET272OD.jpg,0.968726,0.031274,anormal
RET277OS.jpg,0.965650,0.034350,anormal
RET282OD.jpg,0.958414,0.041586,anormal
RET282OS.jpg,0.955814,0.044186,anormal
RET283OS.jpg,0.868780,0.131220,anormal
RET285OS.jpg,0.965516,0.034484,anormal
RET291OD.jpg,0.960584,0.039416,anormal
RET002OD.jpg,0.046833,0.953167,cglaucoma
RET006OS.jpg,0.965301,0.034699,anormal
RET053OD.jpg,0.046794,0.953206,cglaucoma
RET066OS.jpg,0.914041,0.085959,anormal
RET089OD.jpg,0.966592,0.033408,anormal
RET091OD.jpg,0.821920,0.178080,anormal
RET102OD.jpg,0.143714,0.856286,cglaucoma
RET106OD.jpg,0.060748,0.939252,cglaucoma
RET114OS.jpg,0.957568,0.042432,anormal
RET120OD.jpg,0.957460,0.042540,anormal
RET120OS.jpg,0.969028,0.030972,anormal
RET122OD.jpg,0.959007,0.040993,anormal
RET122OS.jpg,0.955893,0.044107,anormal
RET276OS.jpg,0.951308,0.048692,anormal
