filename,anodr,bmilddr,cmoderatedr,dseveredr,eproliferativedr,prediction
002c21358ce6.png,0.944819,0.016331,0.012413,0.013081,0.013356,anodr
005b95c28852.png,0.941064,0.014585,0.014621,0.014342,0.015388,anodr
00cc2b75cddd.png,0.945878,0.013012,0.014086,0.013010,0.014014,anodr
0182152c50de.png,0.945917,0.012574,0.014282,0.014540,0.012688,anodr
02cd34a85b24.png,0.946823,0.014416,0.012602,0.013157,0.013001,anodr
03b373718013.png,0.945981,0.013209,0.013759,0.013553,0.013499,anodr
04aef84a2cc1.png,0.943314,0.015096,0.014708,0.012899,0.013983,anodr
05b1bb2bdb81.png,0.942112,0.014541,0.013482,0.015128,0.014737,anodr
07596907347b.png,0.947627,0.013718,0.012865,0.012536,0.013254,anodr
07751b94a88a.png,0.943637,0.013740,0.013625,0.013963,0.015034,anodr
0790515cf5af.png,0.946056,0.016374,0.012971,0.012547,0.012052,anodr
08037e4490e5.png,0.942657,0.015622,0.013854,0.013813,0.014055,anodr
0851d6a69589.png,0.947774,0.012208,0.013239,0.013117,0.013662,anodr
08b6e3240858.png,0.941599,0.017133,0.012769,0.015059,0.013440,anodr
08bef347f40d.png,0.942040,0.012538,0.015148,0.013700,0.016575,anodr
08ee569d4721.png,0.947772,0.014900,0.012473,0.012438,0.012417,anodr
09237bf783a4.png,0.945711,0.016253,0.011953,0.013135,0.012948,anodr
096436d68d06.png,0.943826,0.014694,0.013326,0.014092,0.014063,anodr
099021fac3c9.png,0.942370,0.014635,0.014741,0.013241,0.015012,anodr
09c8323c612e.png,0.947147,0.014673,0.012112,0.013296,0.012771,anodr
0a38b552372d.png,0.944274,0.015682,0.013926,0.012694,0.013425,anodr
0a85a1e8f9e9.png,0.940098,0.013436,0.017559,0.013996,0.014911,anodr
0babc12807b2.png,0.051162,0.890579,0.012706,0.020801,0.024752,bmilddr
0cbcc7b23613.png,0.937689,0.016406,0.015301,0.015907,0.014697,anodr
0cd31078cd08.png,0.946010,0.014729,0.013751,0.013599,0.011910,anodr
0ce062f26edc.png,0.944332,0.012397,0.016626,0.012313,0.014331,anodr
0cecc2864b7f.png,0.942484,0.014964,0.011882,0.016199,0.014471,anodr
0d9a9896f801.png,0.944559,0.015004,0.012904,0.012812,0.014721,anodr
0da321efbce6.png,0.941355,0.018089,0.012133,0.014457,0.013967,anodr
0db1d8dcf219.png,0.943334,0.014571,0.014121,0.013520,0.014454,anodr
0e3572b5884a.png,0.943138,0.017751,0.011656,0.014230,0.013225,anodr
0ef4c61dc056.png,0.946121,0.012784,0.014707,0.013193,0.013196,anodr
0fbbd665431f.png,0.944418,0.018578,0.010385,0.013879,0.012740,anodr
0fc6829da85b.png,0.944853,0.014758,0.014009,0.012502,0.013877,anodr
1002b5151b8e.png,0.942633,0.015770,0.013253,0.014741,0.013602,anodr
103f97a2ab15.png,0.911339,0.037296,0.019723,0.016507,0.015135,anodr
