filename,anodr_score,bmilddr_score,cmoderatedr_score,dseveredr_score,eproliferativedr_score,predicted_class
20051020_43808_0100_PP_967.png,0.91162896,0.03804309,0.017860932,0.015307133,0.017159926,anodr
20051020_44261_0100_PP_1191.png,0.9106604,0.039850768,0.0163727,0.016024694,0.017091548,anodr
20051020_44284_0100_PP_502.png,0.9158723,0.033458523,0.017631402,0.015423504,0.017614193,anodr
20051020_44338_0100_PP_547.png,0.8998701,0.04530788,0.020865358,0.015407702,0.018548973,anodr
20051020_44400_0100_PP_920.png,0.8946526,0.051881503,0.02121559,0.01437623,0.017874043,anodr
20051020_44431_0100_PP_514.png,0.9018072,0.04546087,0.018716412,0.015335677,0.018679893,anodr
20051020_44692_0100_PP_419.png,0.9025919,0.04358142,0.019402983,0.014560573,0.019863112,anodr
20051020_44714_0100_PP_1199.png,0.9117008,0.037879255,0.017127793,0.015534234,0.017757984,anodr
20051020_44982_0100_PP_486.png,0.8994567,0.047477815,0.020643013,0.015191502,0.017231047,anodr
20051020_56791_0100_PP_1185.png,0.909104,0.038951334,0.018575331,0.015919385,0.01744991,anodr
20051020_57157_0100_PP_971.png,0.82755077,0.10307559,0.038310215,0.013787244,0.0172762,anodr
20051020_57967_0100_PP_829.png,0.9174265,0.03360543,0.015389445,0.016191123,0.017387511,anodr
20051020_58065_0100_PP_561.png,0.9013593,0.048873298,0.018835435,0.0147264665,0.016205477,anodr
20051020_61757_0100_PP_484.png,0.9177027,0.031356093,0.016874097,0.01675914,0.017308025,anodr
20051020_62461_0100_PP_76.png,0.896493,0.047593657,0.021583475,0.015759997,0.018569814,anodr
20051020_62510_0100_PP_106.png,0.88104504,0.05533516,0.026605256,0.01653572,0.020478796,anodr
20051020_62577_0100_PP_479.png,0.90792423,0.0388723,0.019046878,0.016070435,0.018086128,anodr
20051020_62615_0100_PP_294.png,0.91274107,0.03560748,0.017830411,0.015920764,0.017900197,anodr
20051020_63269_0100_PP_1183.png,0.9114991,0.037384003,0.016874993,0.01585259,0.018389324,anodr
20051020_63337_0100_PP_471.png,0.9035032,0.045114756,0.01889868,0.014747083,0.017736338,anodr
20051020_64249_0100_PP_1004.png,0.9181205,0.03362264,0.017197939,0.015537044,0.015521877,anodr
20051020_64388_0100_PP_1194.png,0.9186731,0.03214147,0.015698958,0.016024234,0.01746222,anodr
20051020_64653_0100_PP_124.png,0.90507454,0.041249476,0.019323803,0.015895328,0.018456915,anodr
20051020_64775_0100_PP_480.png,0.91667765,0.034491975,0.016838796,0.015020677,0.016970865,anodr
20051020_64836_0100_PP_1270.png,0.9164799,0.033228282,0.016818732,0.016221872,0.017251236,anodr
20051021_36380_0100_PP_135.png,0.91359794,0.03601704,0.017046506,0.016107816,0.01723061,anodr
20051021_36476_0100_PP_1243.png,0.9122059,0.035786994,0.017819956,0.016384479,0.017802559,anodr
20051021_39845_0100_PP_315.png,0.9082452,0.041096926,0.01755301,0.015688384,0.017416408,anodr
20051021_39914_0100_PP_1352.png,0.8978178,0.045050304,0.02257542,0.015387583,0.019168869,anodr
20051021_51418_0100_PP_18.png,0.9061481,0.041298404,0.018678382,0.015575921,0.018299231,anodr
20051021_51476_0100_PP_150.png,0.9029313,0.0440364,0.019221647,0.016154667,0.017656008,anodr
20051021_51936_0100_PP_1379.png,0.8822388,0.06229169,0.024209851,0.013633649,0.017626032,anodr
20051021_51994_0100_PP_1283.png,0.8935042,0.051995486,0.021690825,0.014712621,0.018096833,anodr
20051021_57798_0100_PP_1322.png,0.8973013,0.053244293,0.019101795,0.01402987,0.016322685,anodr
20051021_57862_0100_PP_372.png,0.8880749,0.06040291,0.02134951,0.013537482,0.016635135,anodr
20051021_57975_0100_PP_517.png,0.8825525,0.032877196,0.031803492,0.023936307,0.028830435,anodr
20051021_58035_0100_PP_1138.png,0.91242605,0.031674486,0.019700773,0.016372439,0.019826222,anodr
20051021_58388_0100_PP_1300.png,0.91758794,0.03309833,0.015757166,0.016115092,0.017441593,anodr
20051021_58522_0100_PP_50.png,0.9164222,0.036976114,0.015675794,0.015462935,0.015462935,anodr
20051109_57843_0400_PP_1109.png,0.90338856,0.04338623,0.018548902,0.016289614,0.01838659,anodr
20051109_59969_0400_PP_1079.png,0.9054082,0.03982945,0.02084057,0.015548011,0.018373786,anodr
20051109_60031_0400_PP_528.png,0.8975275,0.046176948,0.023171093,0.015262898,0.017861571,anodr
20051109_60136_0400_PP_905.png,0.9043223,0.04004478,0.019940099,0.016290536,0.019402249,anodr
20051110_33960_0400_PP_35.png,0.906031,0.03826451,0.019822307,0.016594538,0.019287635,anodr
20051110_34013_0400_PP_151.png,0.86990076,0.06746139,0.028584136,0.013734922,0.020318732,anodr
20051110_35239_0400_PP_836.png,0.9055188,0.038514595,0.020005515,0.01679705,0.01916411,anodr
20051110_35279_0400_PP_1033.png,0.903626,0.04095285,0.02037734,0.015994355,0.019049495,anodr
20051110_35332_0400_PP_497.png,0.8727067,0.05821844,0.032131657,0.016156813,0.020786315,anodr
20051110_37992_0400_PP_1043.png,0.9079901,0.038648006,0.018625187,0.016166046,0.018570699,anodr
20051110_38111_0400_PP_429.png,0.86675185,0.06759981,0.03195919,0.015875114,0.017814044,anodr
20051110_38156_0400_PP_477.png,0.89136535,0.054072466,0.022162871,0.014239726,0.018159607,anodr
20051110_38280_0400_PP_83.png,0.9129769,0.036372397,0.017455928,0.016159868,0.017034918,anodr
20051110_38313_0400_PP_1041.png,0.9138583,0.03406004,0.017713308,0.01644625,0.017922107,anodr
20051110_38352_0400_PP_934.png,0.89776504,0.042859025,0.023773246,0.016915472,0.018687187,anodr
20051110_38472_0400_PP_1127.png,0.8270317,0.10568574,0.03482594,0.013420043,0.01903651,anodr
20051110_38507_0400_PP_1190.png,0.8423943,0.09036223,0.03371647,0.015204627,0.018322378,anodr
20051116_43388_0400_PP_344.png,0.86974746,0.07151533,0.026952656,0.014030728,0.01775383,anodr
20051116_43585_0400_PP_950.png,0.8604305,0.076928936,0.030037671,0.013611955,0.018990833,anodr
