filename,anormal_score,cglaucoma_score,predicted_class
RET027OD.jpg,0.840259,0.15974101,anormal
RET035OD.jpg,0.7309625,0.26903743,anormal
RET035OS.jpg,0.7395165,0.26048353,anormal
RET096OD.jpg,0.8233284,0.17667161,anormal
RET098OD.jpg,0.8057851,0.19421495,anormal
RET107OD.jpg,0.83284926,0.16715068,anormal
RET129OS.jpg,0.76383626,0.23616374,anormal
RET131OD.jpg,0.82761925,0.17238072,anormal
RET132OD.jpg,0.7759021,0.22409791,anormal
RET133OD.jpg,0.75068986,0.24931012,anormal
RET137OD.jpg,0.77932185,0.22067817,anormal
RET141OS.jpg,0.80069196,0.19930801,anormal
RET146OS.jpg,0.76851606,0.23148389,anormal
RET150OS.jpg,0.7773844,0.22261563,anormal
RET153OS.jpg,0.8250265,0.17497346,anormal
RET163OS.jpg,0.7411123,0.25888768,anormal
RET168OS.jpg,0.8092759,0.19072402,anormal
RET175OD.jpg,0.76681787,0.2331821,anormal
RET177OD.jpg,0.84137005,0.15863001,anormal
RET177OS.jpg,0.82375413,0.17624585,anormal
RET178OD.jpg,0.82949203,0.17050801,anormal
RET181OS.jpg,0.75953764,0.24046233,anormal
RET182OD.jpg,0.8241083,0.17589168,anormal
RET184OD.jpg,0.8369547,0.16304526,anormal
RET184OS.jpg,0.81938803,0.18061194,anormal
RET190OS.jpg,0.7779332,0.22206685,anormal
RET191OS.jpg,0.8321685,0.16783154,anormal
RET192OS.jpg,0.7505528,0.24944724,anormal
RET197OD.jpg,0.7204666,0.2795334,anormal
RET198OD.jpg,0.82650185,0.17349817,anormal
RET198OS.jpg,0.8092006,0.19079942,anormal
RET199OD.jpg,0.82297295,0.177027,anormal
RET200OD.jpg,0.8267118,0.1732882,anormal
RET200OS.jpg,0.83413684,0.16586316,anormal
RET201OD.jpg,0.82190335,0.17809659,anormal
RET202OD.jpg,0.8234704,0.17652959,anormal
RET203OD.jpg,0.8263618,0.17363822,anormal
RET203OS.jpg,0.8159669,0.18403316,anormal
RET210OD.jpg,0.825097,0.17490298,anormal
RET211OS.jpg,0.7516026,0.24839742,anormal
RET212OD.jpg,0.76968676,0.2303133,anormal
RET213OS.jpg,0.7447491,0.2552508,anormal
RET216OD.jpg,0.77283084,0.22716917,anormal
RET216OS.jpg,0.8388118,0.16118816,anormal
RET220OD.jpg,0.8271311,0.1728689,anormal
RET220OS.jpg,0.8393393,0.1606607,anormal
RET224OD.jpg,0.74498117,0.25501883,anormal
RET228OS.jpg,0.8305941,0.16940588,anormal
RET231OD.jpg,0.83155376,0.16844618,anormal
RET237OD.jpg,0.7212526,0.27874738,anormal
RET245OS.jpg,0.80325097,0.19674905,anormal
RET252OS.jpg,0.8126444,0.18735561,anormal
RET253OD.jpg,0.8468945,0.15310547,anormal
RET253OS.jpg,0.84479356,0.15520649,anormal
RET256OD.jpg,0.75658244,0.24341756,anormal
RET258OD.jpg,0.73597383,0.26402617,anormal
RET259OD.jpg,0.74562997,0.25437003,anormal
RET261OS.jpg,0.8204694,0.17953056,anormal
RET267OD.jpg,0.83250916,0.16749084,anormal
RET271OS.jpg,0.8431217,0.15687835,anormal
RET272OD.jpg,0.8337311,0.16626889,anormal
RET277OS.jpg,0.824956,0.17504396,anormal
RET282OD.jpg,0.81242126,0.18757874,anormal
RET282OS.jpg,0.8156,0.18440007,anormal
RET283OS.jpg,0.8333246,0.1666754,anormal
RET285OS.jpg,0.81449586,0.18550415,anormal
RET291OD.jpg,0.79454446,0.20545557,anormal
RET002OD.jpg,0.7277821,0.272218,anormal
RET006OS.jpg,0.8198212,0.18017879,anormal
RET053OD.jpg,0.8366881,0.16331196,anormal
RET066OS.jpg,0.84872156,0.15127839,anormal
RET089OD.jpg,0.8260112,0.17398883,anormal
RET091OD.jpg,0.83169055,0.16830944,anormal
RET102OD.jpg,0.71913713,0.28086287,anormal
RET106OD.jpg,0.7916601,0.20833994,anormal
RET114OS.jpg,0.80639565,0.19360436,anormal
RET120OD.jpg,0.74087805,0.25912198,anormal
RET120OS.jpg,0.81077874,0.18922128,anormal
RET122OD.jpg,0.72545415,0.27454585,anormal
RET122OS.jpg,0.75082695,0.2491731,anormal
RET276OS.jpg,0.72228223,0.27771777,anormal
