image,pred_label,true_label,conf_anodr,conf_bmilddr,conf_cmoderatedr,conf_dseveredr,conf_eproliferativedr
20051020_43808_0100_PP_967.png,anodr,anodr,0.998896598815918,0.0007098395144566894,0.00029837500187568367,3.556532828952186e-05,5.956447057542391e-05
20051020_44261_0100_PP_1191.png,anodr,anodr,0.99488765001297,0.0026522644329816103,0.0017589033814147115,0.00010329971701139584,0.0005978531553409994
20051020_44284_0100_PP_502.png,anodr,anodr,0.7281967997550964,0.03307719528675079,0.14346081018447876,0.029612284153699875,0.06565289199352264
20051020_44338_0100_PP_547.png,anodr,anodr,0.993410050868988,0.0036439313553273678,0.00184385827742517,8.365430403500795e-05,0.001018413109704852
20051020_44400_0100_PP_920.png,anodr,anodr,0.9927956461906433,0.003521187463775277,0.002891418756917119,0.00010475975432200357,0.0006869666976854205
20051020_44431_0100_PP_514.png,anodr,anodr,0.9856171011924744,0.005337166134268045,0.006089067552238703,0.0003295783535577357,0.002627031644806266
20051020_44692_0100_PP_419.png,anodr,anodr,0.9944215416908264,0.0023679824080318213,0.002423933707177639,0.00014451811148319393,0.0006420929566957057
20051020_44714_0100_PP_1199.png,anodr,anodr,0.984321117401123,0.005911753047257662,0.005442182533442974,0.0011305940570309758,0.0031944052316248417
20051020_44982_0100_PP_486.png,anodr,anodr,0.9980498552322388,0.0011629173532128334,0.0005784452077932656,5.418178625404835e-05,0.0001545903942314908
20051020_56791_0100_PP_1185.png,anodr,anodr,0.998576283454895,0.0009068269282579422,0.0004000547050964087,5.753941150032915e-05,5.932170824962668e-05
20051020_57157_0100_PP_971.png,anodr,anodr,0.9980944991111755,0.0008600624860264361,0.000767846533562988,0.000149938918184489,0.0001276265538763255
20051020_57967_0100_PP_829.png,anodr,anodr,0.9964020252227783,0.0024964711628854275,0.0007660738192498684,0.00010850223043235019,0.00022703567810822278
20051020_58065_0100_PP_561.png,anodr,anodr,0.9950740933418274,0.0016414306592196226,0.002032507909461856,0.00036774735781364143,0.0008842091192491353
20051020_61757_0100_PP_484.png,anodr,anodr,0.9960498213768005,0.0013352656969800591,0.0018010796047747135,0.000406966864829883,0.0004068603739142418
20051020_62461_0100_PP_76.png,anodr,anodr,0.9894629120826721,0.006012402940541506,0.00393250398337841,0.00018876601825468242,0.0004034579324070364
20051020_62510_0100_PP_106.png,anodr,anodr,0.8059656620025635,0.052637383341789246,0.11355282366275787,0.01078407559543848,0.017060086131095886
20051020_62577_0100_PP_479.png,anodr,anodr,0.9991661310195923,0.0004834054852835834,0.0002568681666161865,3.6672667192760855e-05,5.6960852816700935e-05
20051020_62615_0100_PP_294.png,anodr,anodr,0.9985139966011047,0.0007224124856293201,0.0005192087264731526,0.00010481513891136274,0.0001394761202391237
20051020_63269_0100_PP_1183.png,anodr,anodr,0.9981276392936707,0.000916080956812948,0.0007678276742808521,4.787680154549889e-05,0.00014067454321775585
20051020_63337_0100_PP_471.png,anodr,anodr,0.9928370118141174,0.0025178014766424894,0.0035200149286538363,0.0002603998873382807,0.00086480617756024
20051020_64249_0100_PP_1004.png,anodr,anodr,0.9885504841804504,0.004324482753872871,0.004747954662889242,0.0012472118251025677,0.0011299120960757136
20051020_64388_0100_PP_1194.png,anodr,anodr,0.9958290457725525,0.0011748025426641107,0.0017270020907744765,0.0005724335205741227,0.0006967415101826191
20051020_64653_0100_PP_124.png,anodr,anodr,0.989575207233429,0.00642287265509367,0.0029513712506741285,0.00037601805524900556,0.0006745063001289964
20051020_64775_0100_PP_480.png,anodr,anodr,0.8758423924446106,0.04320278763771057,0.05209464579820633,0.010740058496594429,0.01812013052403927
20051020_64836_0100_PP_1270.png,anodr,anodr,0.6809266805648804,0.06772536039352417,0.16242632269859314,0.036176808178424835,0.05274486914277077
20051021_36380_0100_PP_135.png,anodr,anodr,0.9985087513923645,0.0009234801400452852,0.00044249583152122796,4.677421384258196e-05,7.852272392483428e-05
20051021_36476_0100_PP_1243.png,anodr,anodr,0.9974741339683533,0.001248384010978043,0.0008748113759793341,0.00018960529996547848,0.0002130836364813149
20051021_39845_0100_PP_315.png,anodr,anodr,0.9983880519866943,0.0009343682322651148,0.0004283585003577173,4.016386083094403e-05,0.0002091406931867823
20051021_39914_0100_PP_1352.png,anodr,anodr,0.9262142777442932,0.018458912149071693,0.03138117492198944,0.007823617197573185,0.01612197607755661
