index,img_name,target,pred,p_anormal,p_cglaucoma
0,RET027OD.jpg,anormal,anormal,0.983978,0.016022
1,RET035OD.jpg,anormal,anormal,0.982631,0.017369
2,RET035OS.jpg,anormal,anormal,0.984154,0.015846
3,RET096OD.jpg,anormal,anormal,0.980835,0.019165
4,RET098OD.jpg,anormal,anormal,0.982991,0.017009
5,RET107OD.jpg,anormal,anormal,0.888660,0.111340
6,RET129OS.jpg,anormal,anormal,0.982923,0.017077
7,RET131OD.jpg,anormal,anormal,0.982043,0.017957
8,RET132OD.jpg,anormal,anormal,0.983055,0.016945
9,RET133OD.jpg,anormal,anormal,0.975193,0.024808
10,RET137OD.jpg,anormal,anormal,0.980657,0.019343
11,RET141OS.jpg,anormal,anormal,0.973726,0.026274
12,RET146OS.jpg,anormal,anormal,0.980510,0.019490
13,RET150OS.jpg,anormal,anormal,0.949067,0.050933
14,RET153OS.jpg,anormal,anormal,0.984112,0.015888
15,RET163OS.jpg,anormal,anormal,0.983794,0.016206
16,RET168OS.jpg,anormal,anormal,0.660830,0.339170
17,RET175OD.jpg,anormal,anormal,0.980537,0.019463
18,RET177OD.jpg,anormal,anormal,0.983225,0.016775
19,RET177OS.jpg,anormal,anormal,0.983869,0.016131
20,RET178OD.jpg,anormal,anormal,0.980430,0.019570
21,RET181OS.jpg,anormal,anormal,0.983886,0.016115
22,RET182OD.jpg,anormal,anormal,0.983651,0.016349
23,RET184OD.jpg,anormal,anormal,0.983720,0.016280
24,RET184OS.jpg,anormal,anormal,0.983298,0.016702
25,RET190OS.jpg,anormal,cglaucoma,0.078501,0.921499
26,RET191OS.jpg,anormal,anormal,0.983572,0.016428
27,RET192OS.jpg,anormal,anormal,0.944542,0.055459
28,RET197OD.jpg,anormal,anormal,0.972670,0.027330
29,RET198OD.jpg,anormal,anormal,0.983994,0.016006
30,RET198OS.jpg,anormal,anormal,0.976612,0.023388
31,RET199OD.jpg,anormal,anormal,0.982515,0.017485
32,RET200OD.jpg,anormal,anormal,0.982000,0.018000
33,RET200OS.jpg,anormal,anormal,0.983667,0.016333
34,RET201OD.jpg,anormal,anormal,0.980556,0.019444
35,RET202OD.jpg,anormal,anormal,0.983446,0.016554
36,RET203OD.jpg,anormal,anormal,0.983839,0.016161
37,RET203OS.jpg,anormal,anormal,0.983689,0.016311
38,RET210OD.jpg,anormal,anormal,0.983872,0.016128
39,RET211OS.jpg,anormal,anormal,0.984036,0.015964
40,RET212OD.jpg,anormal,anormal,0.982101,0.017899
41,RET213OS.jpg,anormal,anormal,0.951446,0.048554
42,RET216OD.jpg,anormal,anormal,0.978595,0.021405
43,RET216OS.jpg,anormal,anormal,0.977646,0.022354
44,RET220OD.jpg,anormal,anormal,0.979038,0.020962
45,RET220OS.jpg,anormal,anormal,0.983575,0.016425
46,RET224OD.jpg,anormal,anormal,0.978776,0.021224
47,RET228OS.jpg,anormal,anormal,0.983909,0.016091
48,RET231OD.jpg,anormal,anormal,0.981897,0.018103
49,RET237OD.jpg,anormal,anormal,0.983404,0.016596
50,RET245OS.jpg,anormal,anormal,0.984124,0.015876
51,RET252OS.jpg,anormal,anormal,0.983687,0.016313
52,RET253OD.jpg,anormal,anormal,0.984115,0.015885
53,RET253OS.jpg,anormal,anormal,0.984009,0.015991
54,RET256OD.jpg,anormal,anormal,0.974946,0.025054
55,RET258OD.jpg,anormal,anormal,0.983992,0.016008
56,RET259OD.jpg,anormal,anormal,0.979150,0.020850
57,RET261OS.jpg,anormal,anormal,0.983491,0.016509
58,RET267OD.jpg,anormal,anormal,0.977311,0.022689
59,RET271OS.jpg,anormal,anormal,0.976785,0.023215
60,RET272OD.jpg,anormal,anormal,0.983806,0.016194
61,RET277OS.jpg,anormal,anormal,0.982681,0.017319
62,RET282OD.jpg,anormal,anormal,0.983773,0.016227
63,RET282OS.jpg,anormal,anormal,0.983448,0.016552
64,RET283OS.jpg,anormal,anormal,0.983854,0.016146
65,RET285OS.jpg,anormal,anormal,0.983991,0.016009
66,RET291OD.jpg,anormal,anormal,0.983629,0.016371
67,RET002OD.jpg,cglaucoma,anormal,0.856937,0.143063
68,RET006OS.jpg,cglaucoma,anormal,0.983014,0.016986
69,RET053OD.jpg,cglaucoma,cglaucoma,0.040024,0.959976
70,RET066OS.jpg,cglaucoma,anormal,0.590343,0.409657
71,RET089OD.jpg,cglaucoma,anormal,0.946192,0.053808
72,RET091OD.jpg,cglaucoma,anormal,0.981774,0.018226
73,RET102OD.jpg,cglaucoma,anormal,0.980256,0.019744
74,RET106OD.jpg,cglaucoma,anormal,0.937471,0.062529
75,RET114OS.jpg,cglaucoma,anormal,0.975676,0.024324
76,RET120OD.jpg,cglaucoma,cglaucoma,0.206033,0.793967
77,RET120OS.jpg,cglaucoma,anormal,0.970816,0.029184
78,RET122OD.jpg,cglaucoma,anormal,0.931484,0.068516
79,RET122OS.jpg,cglaucoma,anormal,0.980919,0.019081
80,RET276OS.jpg,cglaucoma,anormal,0.977940,0.022060
