index,img_name,target,pred,p_anormal,p_cglaucoma
0,image_001_170.jpg,anormal,anormal,0.904089,0.095911
1,image_002_202.jpg,anormal,anormal,0.961750,0.038250
2,image_003_50.jpg,anormal,cglaucoma,0.088379,0.911621
3,image_004_65.jpg,anormal,anormal,0.970276,0.029724
4,image_005_13.jpg,anormal,anormal,0.957936,0.042064
5,image_006_4.jpg,anormal,anormal,0.972902,0.027098
6,image_007_5.jpg,anormal,anormal,0.974016,0.025984
7,image_008_116.jpg,anormal,cglaucoma,0.044305,0.955695
8,image_009_125.jpg,anormal,anormal,0.901723,0.098277
9,image_010_41.jpg,anormal,anormal,0.983311,0.016689
10,image_011_214.jpg,anormal,anormal,0.982792,0.017208
11,image_012_56.jpg,anormal,anormal,0.975144,0.024856
12,image_013_71.jpg,anormal,cglaucoma,0.103768,0.896232
13,image_014_59.jpg,anormal,anormal,0.933084,0.066916
14,image_015_209.jpg,anormal,anormal,0.812071,0.187929
15,image_016_82.jpg,anormal,anormal,0.803607,0.196393
16,image_017_93.jpg,anormal,anormal,0.981604,0.018396
17,image_018_120.jpg,anormal,anormal,0.845612,0.154388
18,image_019_168.jpg,anormal,anormal,0.950777,0.049223
19,image_020_10.jpg,anormal,cglaucoma,0.396071,0.603929
20,image_021_26.jpg,anormal,anormal,0.975115,0.024885
21,image_022_55.jpg,anormal,anormal,0.982125,0.017875
22,image_023_103.jpg,anormal,cglaucoma,0.213766,0.786234
23,image_024_200.jpg,anormal,anormal,0.955171,0.044829
24,image_025_99.jpg,anormal,cglaucoma,0.443731,0.556269
25,image_026_146.jpg,anormal,anormal,0.866369,0.133631
26,image_027_32.jpg,anormal,anormal,0.893275,0.106725
27,image_028_96.jpg,anormal,anormal,0.521583,0.478417
28,image_029_217.jpg,anormal,anormal,0.896768,0.103232
29,image_030_219.jpg,anormal,anormal,0.953778,0.046222
30,image_031_49.jpg,anormal,anormal,0.571674,0.428326
31,image_032_39.jpg,anormal,anormal,0.960849,0.039151
32,image_033_187.jpg,anormal,anormal,0.978154,0.021846
33,image_034_36.jpg,anormal,anormal,0.512188,0.487812
34,image_035_160.jpg,anormal,anormal,0.917858,0.082142
35,image_036_25.jpg,anormal,anormal,0.578649,0.421351
36,image_037_178.jpg,anormal,cglaucoma,0.259011,0.740989
37,image_038_95.jpg,anormal,anormal,0.802747,0.197253
38,image_039_12.jpg,anormal,anormal,0.960602,0.039398
39,image_040_16.jpg,anormal,anormal,0.815203,0.184797
40,image_041_108.jpg,anormal,anormal,0.966089,0.033911
41,image_042_63.jpg,anormal,cglaucoma,0.074170,0.925830
42,image_043_54.jpg,anormal,cglaucoma,0.105925,0.894075
43,image_044_70.jpg,anormal,anormal,0.981270,0.018730
44,image_045_182.jpg,anormal,cglaucoma,0.382521,0.617479
45,image_046_64.jpg,anormal,anormal,0.913375,0.086625
46,image_047_143.jpg,anormal,cglaucoma,0.128228,0.871772
47,image_048_130.jpg,anormal,anormal,0.963019,0.036981
48,image_049_105.jpg,anormal,anormal,0.909276,0.090724
49,image_050_163.jpg,anormal,anormal,0.964620,0.035380
50,image_051_190.jpg,anormal,anormal,0.983059,0.016941
51,image_052_3.jpg,anormal,anormal,0.984431,0.015569
52,image_053_136.jpg,anormal,anormal,0.935568,0.064432
53,image_054_158.jpg,anormal,cglaucoma,0.055894,0.944106
54,image_055_139.jpg,anormal,anormal,0.645316,0.354684
55,image_056_142.jpg,anormal,cglaucoma,0.220178,0.779822
56,image_057_109.jpg,anormal,cglaucoma,0.289458,0.710542
57,image_058_118.jpg,anormal,cglaucoma,0.477011,0.522989
58,image_059_220.jpg,anormal,anormal,0.973696,0.026304
59,image_060_79.jpg,anormal,anormal,0.983141,0.016859
60,image_061_44.jpg,anormal,anormal,0.978804,0.021196
61,image_062_135.jpg,anormal,anormal,0.851785,0.148215
62,image_063_110.jpg,anormal,anormal,0.983710,0.016290
63,image_064_164.jpg,anormal,cglaucoma,0.136103,0.863897
64,image_065_92.jpg,anormal,anormal,0.926926,0.073074
65,image_066_218.jpg,anormal,anormal,0.560464,0.439536
