filename,true_label,predicted_label,true_label_idx,predicted_label_idx,correct,score_a_noamd,score_b_amd,confidence
1018113_21015_1_0.png,a_noamd,a_noamd,0,0,True,0.94046855,0.059531406,0.94046855
1020777_21015_1_0.png,a_noamd,a_noamd,0,0,True,0.935554,0.06444595,0.935554
1023925_21015_0_0.png,b_amd,b_amd,1,1,True,0.037945997,0.962054,0.962054
1026486_21016_0_0.png,a_noamd,a_noamd,0,0,True,0.91708153,0.08291852,0.91708153
1036537_21016_0_0.png,a_noamd,a_noamd,0,0,True,0.9314376,0.06856243,0.9314376
1039702_21015_1_0.png,a_noamd,a_noamd,0,0,True,0.90179324,0.098206714,0.90179324
1046092_21015_0_0.png,a_noamd,a_noamd,0,0,True,0.95070446,0.049295563,0.95070446
1064334_21016_0_0.png,a_noamd,b_amd,0,1,False,0.4271204,0.57287955,0.57287955
1092742_21016_0_0.png,b_amd,b_amd,1,1,True,0.03320925,0.9667907,0.9667907
1103313_21016_0_0.png,a_noamd,b_amd,0,1,False,0.025429117,0.9745709,0.9745709
1107730_21015_0_0.png,a_noamd,a_noamd,0,0,True,0.9263821,0.07361789,0.9263821
1117805_21016_0_0.png,b_amd,a_noamd,1,0,False,0.8695627,0.13043733,0.8695627
1134266_21015_0_0.png,a_noamd,a_noamd,0,0,True,0.9326133,0.06738661,0.9326133
1166055_21015_0_0.png,b_amd,a_noamd,1,0,False,0.937961,0.062039055,0.937961
1167873_21016_0_0.png,a_noamd,a_noamd,0,0,True,0.8446385,0.15536144,0.8446385
1169358_21015_1_0.png,a_noamd,a_noamd,0,0,True,0.90493625,0.095063694,0.90493625
1170584_21016_0_0.png,a_noamd,a_noamd,0,0,True,0.91739655,0.08260344,0.91739655
1171162_21016_0_0.png,b_amd,a_noamd,1,0,False,0.9640384,0.035961594,0.9640384
1175155_21016_0_0.png,a_noamd,a_noamd,0,0,True,0.9204761,0.07952391,0.9204761
1178859_21016_0_0.png,a_noamd,a_noamd,0,0,True,0.93627226,0.063727774,0.93627226
1184375_21016_1_0.png,a_noamd,b_amd,0,1,False,0.39342427,0.6065758,0.6065758
1186967_21016_0_0.png,a_noamd,a_noamd,0,0,True,0.6397418,0.3602582,0.6397418
