filename,true_label,predicted_label,true_label_idx,predicted_label_idx,correct,score_anodr,score_bmilddr,score_cmoderatedr,score_dseveredr,score_eproliferativedr,confidence
002c21358ce6.png,anodr,anodr,0,0,True,0.9348122,0.016994353,0.015849382,0.01659484,0.01574919,0.9348122
005b95c28852.png,anodr,anodr,0,0,True,0.9349444,0.01556514,0.015465854,0.016772775,0.017251875,0.9349444
00b74780d31d.png,cmoderatedr,cmoderatedr,2,2,True,0.014118912,0.018429868,0.93965125,0.009512018,0.01828798,0.93965125
00cc2b75cddd.png,anodr,anodr,0,0,True,0.93432075,0.017632278,0.016356526,0.016013324,0.015677188,0.93432075
00e4ddff966a.png,cmoderatedr,cmoderatedr,2,2,True,0.010257941,0.0646362,0.90172184,0.013659527,0.009724471,0.90172184
0180bfa26c0b.png,cmoderatedr,cmoderatedr,2,2,True,0.012132541,0.011041602,0.9189523,0.03859491,0.019278754,0.9189523
0182152c50de.png,anodr,anodr,0,0,True,0.9358625,0.016818268,0.016105928,0.016133068,0.01508027,0.9358625
01eb826f6467.png,cmoderatedr,bmilddr,2,1,False,0.0147885885,0.690215,0.009047841,0.17304297,0.112905554,0.690215
02cd34a85b24.png,anodr,anodr,0,0,True,0.93471664,0.017265176,0.016150223,0.016180169,0.015687833,0.93471664
02dda30d3acf.png,eproliferativedr,eproliferativedr,4,4,True,0.018103635,0.013954811,0.017345978,0.0333344,0.9172611,0.9172611
0318598cfd16.png,eproliferativedr,cmoderatedr,4,2,False,0.008806996,0.005768154,0.9575581,0.010812437,0.017054314,0.9575581
033f2b43de6d.png,cmoderatedr,cmoderatedr,2,2,True,0.014060465,0.015553717,0.9389824,0.011055236,0.020348119,0.9389824
03676c71ed1b.png,cmoderatedr,cmoderatedr,2,2,True,0.00966513,0.009960562,0.9456931,0.016261233,0.018419923,0.9456931
0369f3efe69b.png,bmilddr,cmoderatedr,1,2,False,0.01496332,0.016707491,0.9212544,0.031610698,0.015464071,0.9212544
03b373718013.png,anodr,anodr,0,0,True,0.93709475,0.01620805,0.015571695,0.016055997,0.015069541,0.93709475
03e25101e8e8.png,bmilddr,bmilddr,1,1,True,0.018842522,0.9256922,0.023767928,0.015850354,0.01584693,0.9256922
03ff7d159f10.png,cmoderatedr,cmoderatedr,2,2,True,0.013163406,0.021386093,0.92839783,0.024021285,0.013031337,0.92839783
0415fc68b176.png,cmoderatedr,cmoderatedr,2,2,True,0.014333366,0.014186651,0.9428454,0.0133160725,0.015318456,0.9428454
04a6fc58dabc.png,cmoderatedr,cmoderatedr,2,2,True,0.03396184,0.38702518,0.50772333,0.019089833,0.052199773,0.50772333
04ac765f91a1.png,bmilddr,bmilddr,1,1,True,0.01978541,0.9231941,0.016408801,0.02428511,0.016326495,0.9231941
04aef84a2cc1.png,anodr,anodr,0,0,True,0.93195736,0.016972844,0.01662644,0.01794601,0.01649729,0.93195736
05b1bb2bdb81.png,anodr,anodr,0,0,True,0.935141,0.016433764,0.015284426,0.016585281,0.01655546,0.935141
06024377d573.png,cmoderatedr,cmoderatedr,2,2,True,0.0099564865,0.010016845,0.91753864,0.042491816,0.01999623,0.91753864
069f43616fab.png,dseveredr,eproliferativedr,3,4,False,0.022567688,0.031258777,0.03369859,0.02265695,0.889818,0.889818
070f67572d03.png,dseveredr,dseveredr,3,3,True,0.024535844,0.02428163,0.14537324,0.6663222,0.13948706,0.6663222
07596907347b.png,anodr,anodr,0,0,True,0.93462,0.016712183,0.016684799,0.016505897,0.015477159,0.93462
