filename,score_anormal,score_cglaucoma,prediction
RET027OD.jpg,0.872510,0.127490,anormal
RET035OD.jpg,0.831502,0.168498,anormal
RET035OS.jpg,0.835711,0.164289,anormal
RET096OD.jpg,0.823426,0.176574,anormal
RET098OD.jpg,0.801203,0.198797,anormal
RET107OD.jpg,0.834412,0.165588,anormal
RET129OS.jpg,0.841943,0.158057,anormal
RET131OD.jpg,0.814506,0.185494,anormal
RET132OD.jpg,0.856020,0.143980,anormal
RET133OD.jpg,0.799214,0.200786,anormal
RET137OD.jpg,0.770326,0.229674,anormal
RET141OS.jpg,0.776353,0.223647,anormal
RET146OS.jpg,0.781787,0.218214,anormal
RET150OS.jpg,0.780520,0.219480,anormal
RET153OS.jpg,0.832215,0.167785,anormal
RET163OS.jpg,0.830725,0.169275,anormal
RET168OS.jpg,0.793050,0.206950,anormal
RET175OD.jpg,0.785815,0.214185,anormal
RET177OD.jpg,0.835542,0.164458,anormal
RET177OS.jpg,0.840459,0.159541,anormal
RET178OD.jpg,0.856633,0.143367,anormal
RET181OS.jpg,0.826398,0.173602,anormal
RET182OD.jpg,0.835497,0.164503,anormal
RET184OD.jpg,0.850977,0.149023,anormal
RET184OS.jpg,0.831279,0.168721,anormal
RET190OS.jpg,0.852991,0.147009,anormal
RET191OS.jpg,0.848091,0.151909,anormal
RET192OS.jpg,0.813926,0.186074,anormal
RET197OD.jpg,0.819255,0.180745,anormal
RET198OD.jpg,0.837353,0.162647,anormal
RET198OS.jpg,0.833194,0.166806,anormal
RET199OD.jpg,0.839168,0.160832,anormal
RET200OD.jpg,0.829524,0.170476,anormal
RET200OS.jpg,0.856975,0.143025,anormal
RET201OD.jpg,0.846472,0.153528,anormal
RET202OD.jpg,0.808730,0.191270,anormal
RET203OD.jpg,0.857938,0.142062,anormal
RET203OS.jpg,0.858408,0.141592,anormal
RET210OD.jpg,0.852540,0.147460,anormal
RET211OS.jpg,0.834407,0.165593,anormal
RET212OD.jpg,0.789887,0.210113,anormal
RET213OS.jpg,0.792237,0.207763,anormal
RET216OD.jpg,0.865804,0.134196,anormal
RET216OS.jpg,0.857058,0.142942,anormal
RET220OD.jpg,0.815547,0.184453,anormal
RET220OS.jpg,0.863074,0.136926,anormal
RET224OD.jpg,0.815469,0.184531,anormal
RET228OS.jpg,0.851171,0.148829,anormal
RET231OD.jpg,0.876504,0.123496,anormal
RET237OD.jpg,0.845901,0.154099,anormal
RET245OS.jpg,0.834557,0.165444,anormal
RET252OS.jpg,0.821984,0.178016,anormal
RET253OD.jpg,0.852490,0.147510,anormal
RET253OS.jpg,0.849561,0.150439,anormal
RET256OD.jpg,0.786286,0.213714,anormal
RET258OD.jpg,0.825332,0.174668,anormal
RET259OD.jpg,0.793427,0.206573,anormal
RET261OS.jpg,0.840550,0.159450,anormal
RET267OD.jpg,0.814369,0.185631,anormal
RET271OS.jpg,0.786656,0.213344,anormal
RET272OD.jpg,0.828819,0.171181,anormal
RET277OS.jpg,0.830797,0.169203,anormal
RET282OD.jpg,0.849997,0.150003,anormal
RET282OS.jpg,0.865709,0.134291,anormal
RET283OS.jpg,0.827683,0.172317,anormal
RET285OS.jpg,0.839403,0.160597,anormal
RET291OD.jpg,0.824822,0.175178,anormal
RET002OD.jpg,0.821350,0.178650,anormal
RET006OS.jpg,0.802189,0.197811,anormal
RET053OD.jpg,0.813754,0.186246,anormal
RET066OS.jpg,0.797273,0.202727,anormal
RET089OD.jpg,0.830610,0.169390,anormal
RET091OD.jpg,0.831298,0.168702,anormal
RET102OD.jpg,0.807873,0.192127,anormal
RET106OD.jpg,0.816882,0.183118,anormal
RET114OS.jpg,0.832286,0.167714,anormal
RET120OD.jpg,0.822570,0.177430,anormal
RET120OS.jpg,0.830016,0.169984,anormal
RET122OD.jpg,0.820162,0.179838,anormal
RET122OS.jpg,0.815109,0.184891,anormal
RET276OS.jpg,0.818394,0.181606,anormal
