filename,true_label,predicted_label,confidence,correct,prob_anormal,prob_cglaucoma
../../../data/data_VEIRC/test/anormal/image_001_170.jpg,anormal,anormal,0.6182354,True,0.6182354,0.38176462
../../../data/data_VEIRC/test/anormal/image_002_202.jpg,anormal,cglaucoma,0.5383042,False,0.46169576,0.5383042
../../../data/data_VEIRC/test/anormal/image_003_50.jpg,anormal,anormal,0.6604746,True,0.6604746,0.33952537
../../../data/data_VEIRC/test/anormal/image_004_65.jpg,anormal,anormal,0.67397916,True,0.67397916,0.3260208
../../../data/data_VEIRC/test/anormal/image_005_13.jpg,anormal,anormal,0.7642555,True,0.7642555,0.23574452
../../../data/data_VEIRC/test/anormal/image_006_4.jpg,anormal,anormal,0.54498905,True,0.54498905,0.45501095
../../../data/data_VEIRC/test/anormal/image_007_5.jpg,anormal,anormal,0.5262432,True,0.5262432,0.4737568
../../../data/data_VEIRC/test/anormal/image_008_116.jpg,anormal,anormal,0.504347,True,0.504347,0.49565297
../../../data/data_VEIRC/test/anormal/image_009_125.jpg,anormal,cglaucoma,0.54353076,False,0.4564693,0.54353076
../../../data/data_VEIRC/test/anormal/image_010_41.jpg,anormal,anormal,0.5859931,True,0.5859931,0.41400686
../../../data/data_VEIRC/test/anormal/image_011_214.jpg,anormal,anormal,0.65936905,True,0.65936905,0.34063095
../../../data/data_VEIRC/test/anormal/image_012_56.jpg,anormal,anormal,0.6977368,True,0.6977368,0.30226323
../../../data/data_VEIRC/test/anormal/image_013_71.jpg,anormal,anormal,0.6559355,True,0.6559355,0.34406447
../../../data/data_VEIRC/test/anormal/image_014_59.jpg,anormal,anormal,0.5122671,True,0.5122671,0.4877329
../../../data/data_VEIRC/test/anormal/image_015_209.jpg,anormal,anormal,0.83686316,True,0.83686316,0.16313682
../../../data/data_VEIRC/test/anormal/image_016_82.jpg,anormal,anormal,0.5200023,True,0.5200023,0.47999772
../../../data/data_VEIRC/test/anormal/image_017_93.jpg,anormal,anormal,0.80763304,True,0.80763304,0.19236699
