filename,true_label,predicted_label,confidence,correct,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
../../../data/data_APTOS/test/anodr/002c21358ce6.png,anodr,anodr,0.9073285,True,0.9073285,0.031232547,0.047501087,0.012148937,0.0017889172
../../../data/data_APTOS/test/anodr/005b95c28852.png,anodr,anodr,0.901974,True,0.901974,0.023963625,0.045730475,0.02453193,0.0037999693
../../../data/data_APTOS/test/anodr/00cc2b75cddd.png,anodr,anodr,0.84203386,True,0.84203386,0.093460806,0.051345877,0.010364189,0.00279526
../../../data/data_APTOS/test/anodr/0182152c50de.png,anodr,anodr,0.89875185,True,0.89875185,0.047629092,0.04523643,0.0051299697,0.0032526818
../../../data/data_APTOS/test/anodr/02cd34a85b24.png,anodr,anodr,0.8436896,True,0.8436896,0.082530305,0.049078383,0.021600958,0.0031007421
../../../data/data_APTOS/test/anodr/03b373718013.png,anodr,anodr,0.94442415,True,0.94442415,0.03348745,0.020287931,0.0012862319,0.00051421544
../../../data/data_APTOS/test/anodr/04aef84a2cc1.png,anodr,anodr,0.8496874,True,0.8496874,0.054312892,0.08166302,0.012048329,0.0022883266
../../../data/data_APTOS/test/anodr/05b1bb2bdb81.png,anodr,anodr,0.81450236,True,0.81450236,0.06717499,0.10358033,0.011561355,0.0031810827
../../../data/data_APTOS/test/anodr/07596907347b.png,anodr,anodr,0.83496857,True,0.83496857,0.047287922,0.09747951,0.015130689,0.005133263
../../../data/data_APTOS/test/anodr/07751b94a88a.png,anodr,anodr,0.82157314,True,0.82157314,0.07509105,0.080800906,0.020262912,0.0022720092
../../../data/data_APTOS/test/anodr/0790515cf5af.png,anodr,anodr,0.80728376,True,0.80728376,0.066688925,0.096341416,0.021575077,0.00811071
../../../data/data_APTOS/test/anodr/08037e4490e5.png,anodr,anodr,0.90313464,True,0.90313464,0.045693856,0.047155876,0.0031638884,0.00085175096
../../../data/data_APTOS/test/anodr/0851d6a69589.png,anodr,anodr,0.7848638,True,0.7848638,0.08763515,0.095700316,0.028734785,0.003065951
../../../data/data_APTOS/test/anodr/08b6e3240858.png,anodr,anodr,0.80158675,True,0.80158675,0.075618416,0.10566113,0.012752762,0.0043809726
../../../data/data_APTOS/test/anodr/08bef347f40d.png,anodr,anodr,0.8205167,True,0.8205167,0.08295821,0.08013422,0.0133559555,0.003034957
../../../data/data_APTOS/test/anodr/08ee569d4721.png,anodr,anodr,0.7367431,True,0.7367431,0.092691615,0.12429919,0.031960275,0.014305805
../../../data/data_APTOS/test/anodr/09237bf783a4.png,anodr,anodr,0.92836684,True,0.92836684,0.030842628,0.03450131,0.00539695,0.00089219306
../../../data/data_APTOS/test/anodr/096436d68d06.png,anodr,anodr,0.90894544,True,0.90894544,0.041574776,0.03972609,0.008311656,0.0014419921
../../../data/data_APTOS/test/anodr/099021fac3c9.png,anodr,anodr,0.78392315,True,0.78392315,0.039618097,0.15505043,0.01988654,0.0015218266
../../../data/data_APTOS/test/anodr/09c8323c612e.png,anodr,anodr,0.91433465,True,0.91433465,0.034996815,0.038901497,0.009873605,0.0018934552
../../../data/data_APTOS/test/anodr/0a38b552372d.png,anodr,anodr,0.8550971,True,0.8550971,0.07374945,0.05423802,0.008882537,0.008032867
../../../data/data_APTOS/test/anodr/0a85a1e8f9e9.png,anodr,anodr,0.8975358,True,0.8975358,0.029445339,0.06581347,0.006446118,0.00075922546
../../../data/data_APTOS/test/anodr/0babc12807b2.png,anodr,bmilddr,0.53846693,False,0.017576281,0.53846693,0.37735307,0.047014713,0.019588992
../../../data/data_APTOS/test/anodr/0cbcc7b23613.png,anodr,anodr,0.61449325,True,0.61449325,0.06020565,0.27217418,0.04745324,0.0056737303
../../../data/data_APTOS/test/anodr/0cd31078cd08.png,anodr,anodr,0.90445435,True,0.90445435,0.05641073,0.029441986,0.007646194,0.0020467632
../../../data/data_APTOS/test/anodr/0ce062f26edc.png,anodr,anodr,0.8531003,True,0.8531003,0.03445012,0.073290855,0.034601387,0.0045573898
../../../data/data_APTOS/test/anodr/0cecc2864b7f.png,anodr,anodr,0.71072304,True,0.71072304,0.07612562,0.18701501,0.019235067,0.006901291
../../../data/data_APTOS/test/anodr/0d9a9896f801.png,anodr,anodr,0.7943022,True,0.7943022,0.095978916,0.07137428,0.028388824,0.009955778
../../../data/data_APTOS/test/anodr/0da321efbce6.png,anodr,anodr,0.75014526,True,0.75014526,0.057162274,0.14992335,0.026234606,0.016534608
../../../data/data_APTOS/test/anodr/0db1d8dcf219.png,anodr,anodr,0.8862341,True,0.8862341,0.037148554,0.056319486,0.015533179,0.004764651
../../../data/data_APTOS/test/anodr/0e3572b5884a.png,anodr,anodr,0.9162175,True,0.9162175,0.022258129,0.048066735,0.011774004,0.001683654
../../../data/data_APTOS/test/anodr/0ef4c61dc056.png,anodr,anodr,0.8988269,True,0.8988269,0.05802048,0.033481367,0.008276211,0.0013951135
../../../data/data_APTOS/test/anodr/0fbbd665431f.png,anodr,anodr,0.472709,True,0.472709,0.2611789,0.20351043,0.03966192,0.022939766
../../../data/data_APTOS/test/anodr/0fc6829da85b.png,anodr,anodr,0.84829676,True,0.84829676,0.052618258,0.083810344,0.012503763,0.0027708749
../../../data/data_APTOS/test/anodr/1002b5151b8e.png,anodr,anodr,0.8262679,True,0.8262679,0.14172253,0.024001947,0.004724459,0.003283259
../../../data/data_APTOS/test/anodr/103f97a2ab15.png,anodr,anodr,0.49515134,True,0.49515134,0.2083586,0.24419089,0.041498728,0.010800434
../../../data/data_APTOS/test/anodr/10a5026eb8e6.png,anodr,anodr,0.8972931,True,0.8972931,0.05663116,0.038385555,0.0061051985,0.0015849061
../../../data/data_APTOS/test/anodr/10de500cf0c5.png,anodr,anodr,0.8506591,True,0.8506591,0.09268572,0.050233763,0.004790104,0.0016313081
../../../data/data_APTOS/test/anodr/10f10fd30718.png,anodr,anodr,0.94889414,True,0.94889414,0.022837155,0.022492431,0.004817352,0.00095887965
../../../data/data_APTOS/test/anodr/12058bbb8299.png,anodr,anodr,0.966222,True,0.966222,0.017006963,0.014891307,0.0008851277,0.0009945501
../../../data/data_APTOS/test/anodr/12bc439d373a.png,anodr,anodr,0.8695946,True,0.8695946,0.055370443,0.061945487,0.011104003,0.001985549
../../../data/data_APTOS/test/anodr/12ef75375322.png,anodr,anodr,0.88084316,True,0.88084316,0.032698505,0.0752479,0.00716722,0.004043286
../../../data/data_APTOS/test/anodr/143db89c11c8.png,anodr,anodr,0.827697,True,0.827697,0.11076786,0.041872285,0.013862267,0.0058006397
../../../data/data_APTOS/test/anodr/15b21c80cc31.png,anodr,anodr,0.94098103,True,0.94098103,0.034803197,0.01978043,0.0037174565,0.0007178929
../../../data/data_APTOS/test/anodr/15e24b73d4a7.png,anodr,anodr,0.6973834,True,0.6973834,0.10849229,0.14109127,0.047285132,0.005747918
../../../data/data_APTOS/test/anodr/1633f8291a80.png,anodr,anodr,0.84634334,True,0.84634334,0.07165947,0.07649161,0.003936267,0.0015692863
../../../data/data_APTOS/test/anodr/165634a6167e.png,anodr,anodr,0.8462342,True,0.8462342,0.064809665,0.06967749,0.017351719,0.0019268863
../../../data/data_APTOS/test/anodr/178412895d5e.png,anodr,anodr,0.92157537,True,0.92157537,0.010354409,0.042224105,0.02246117,0.0033849112
../../../data/data_APTOS/test/anodr/186c1835eec5.png,anodr,anodr,0.86019576,True,0.86019576,0.04873111,0.071114965,0.014862843,0.0050953818
../../../data/data_APTOS/test/anodr/18b7e34eab8f.png,anodr,anodr,0.86941683,True,0.86941683,0.063850045,0.05769401,0.007625221,0.0014139635
../../../data/data_APTOS/test/anodr/18b99159a14f.png,anodr,anodr,0.8756695,True,0.8756695,0.046313196,0.044253495,0.030644652,0.0031191953
