filename,true_label,predicted_label,confidence,correct,prob_a_noamd,prob_b_amd
../../../data/data_ADAM/test/a_noamd/N0001.jpg,a_noamd,a_noamd,0.8835141,True,0.8835141,0.11648586
../../../data/data_ADAM/test/a_noamd/N0002.jpg,a_noamd,a_noamd,0.9141734,True,0.9141734,0.085826576
../../../data/data_ADAM/test/a_noamd/N0003.jpg,a_noamd,a_noamd,0.9491814,True,0.9491814,0.050818585
../../../data/data_ADAM/test/a_noamd/N0004.jpg,a_noamd,a_noamd,0.9185494,True,0.9185494,0.0814506
../../../data/data_ADAM/test/a_noamd/N0005.jpg,a_noamd,a_noamd,0.93362296,True,0.93362296,0.066377066
../../../data/data_ADAM/test/a_noamd/N0006.jpg,a_noamd,a_noamd,0.93564045,True,0.93564045,0.06435956
../../../data/data_ADAM/test/a_noamd/N0007.jpg,a_noamd,a_noamd,0.94455445,True,0.94455445,0.05544559
../../../data/data_ADAM/test/a_noamd/N0008.jpg,a_noamd,a_noamd,0.9256722,True,0.9256722,0.07432784
../../../data/data_ADAM/test/a_noamd/N0009.jpg,a_noamd,a_noamd,0.88495034,True,0.88495034,0.115049675
../../../data/data_ADAM/test/a_noamd/N0010.jpg,a_noamd,a_noamd,0.9140827,True,0.9140827,0.08591721
../../../data/data_ADAM/test/a_noamd/N0011.jpg,a_noamd,a_noamd,0.9487581,True,0.9487581,0.051241867
../../../data/data_ADAM/test/a_noamd/N0012.jpg,a_noamd,a_noamd,0.93153495,True,0.93153495,0.06846508
../../../data/data_ADAM/test/a_noamd/N0013.jpg,a_noamd,a_noamd,0.9294249,True,0.9294249,0.07057512
../../../data/data_ADAM/test/a_noamd/N0014.jpg,a_noamd,a_noamd,0.94075906,True,0.94075906,0.059240885
../../../data/data_ADAM/test/a_noamd/N0015.jpg,a_noamd,a_noamd,0.9428795,True,0.9428795,0.05712057
../../../data/data_ADAM/test/a_noamd/N0016.jpg,a_noamd,a_noamd,0.92265236,True,0.92265236,0.07734758
../../../data/data_ADAM/test/a_noamd/N0017.jpg,a_noamd,a_noamd,0.9575443,True,0.9575443,0.042455655
../../../data/data_ADAM/test/a_noamd/N0018.jpg,a_noamd,a_noamd,0.8940854,True,0.8940854,0.10591452
../../../data/data_ADAM/test/a_noamd/N0019.jpg,a_noamd,a_noamd,0.8975805,True,0.8975805,0.10241952
../../../data/data_ADAM/test/a_noamd/N0020.jpg,a_noamd,a_noamd,0.95674336,True,0.95674336,0.043256667
../../../data/data_ADAM/test/a_noamd/N0021.jpg,a_noamd,a_noamd,0.87612647,True,0.87612647,0.12387357
../../../data/data_ADAM/test/a_noamd/N0022.jpg,a_noamd,a_noamd,0.94573134,True,0.94573134,0.05426865
../../../data/data_ADAM/test/a_noamd/N0023.jpg,a_noamd,a_noamd,0.8961829,True,0.8961829,0.103817046
../../../data/data_ADAM/test/a_noamd/N0024.jpg,a_noamd,a_noamd,0.81579226,True,0.81579226,0.18420763
../../../data/data_ADAM/test/a_noamd/N0025.jpg,a_noamd,a_noamd,0.96634674,True,0.96634674,0.03365332
../../../data/data_ADAM/test/a_noamd/N0026.jpg,a_noamd,a_noamd,0.9596058,True,0.9596058,0.040394176
