image,true_label,predicted_label,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr
../../../data/data_MESSIDOR2/test/anodr/20051020_43808_0100_PP_967.png,anodr,anodr,0.5546875,0.08734130859375,0.2139892578125,0.0667724609375,0.0770263671875
../../../data/data_MESSIDOR2/test/anodr/20051020_44261_0100_PP_1191.png,anodr,anodr,0.395751953125,0.12396240234375,0.300048828125,0.07537841796875,0.1048583984375
../../../data/data_MESSIDOR2/test/anodr/20051020_44284_0100_PP_502.png,anodr,anodr,0.36181640625,0.1312255859375,0.317138671875,0.0780029296875,0.11175537109375
../../../data/data_MESSIDOR2/test/anodr/20051020_44338_0100_PP_547.png,anodr,cmoderatedr,0.24169921875,0.160888671875,0.375244140625,0.08416748046875,0.1380615234375
../../../data/data_MESSIDOR2/test/anodr/20051020_44400_0100_PP_920.png,anodr,cmoderatedr,0.3046875,0.1468505859375,0.34228515625,0.08135986328125,0.1246337890625
../../../data/data_MESSIDOR2/test/anodr/20051020_44431_0100_PP_514.png,anodr,cmoderatedr,0.258056640625,0.156494140625,0.36767578125,0.0836181640625,0.13427734375
../../../data/data_MESSIDOR2/test/anodr/20051020_44692_0100_PP_419.png,anodr,anodr,0.4345703125,0.11505126953125,0.27587890625,0.0751953125,0.099365234375
../../../data/data_MESSIDOR2/test/anodr/20051020_44714_0100_PP_1199.png,anodr,anodr,0.464599609375,0.10833740234375,0.2607421875,0.07281494140625,0.09344482421875
../../../data/data_MESSIDOR2/test/anodr/20051020_44982_0100_PP_486.png,anodr,anodr,0.60888671875,0.0738525390625,0.1849365234375,0.0643310546875,0.06787109375
../../../data/data_MESSIDOR2/test/anodr/20051020_56791_0100_PP_1185.png,anodr,anodr,0.71728515625,0.05072021484375,0.1318359375,0.05242919921875,0.047698974609375
../../../data/data_MESSIDOR2/test/anodr/20051020_57157_0100_PP_971.png,anodr,anodr,0.744140625,0.04583740234375,0.11871337890625,0.04833984375,0.04278564453125
../../../data/data_MESSIDOR2/test/anodr/20051020_57967_0100_PP_829.png,anodr,anodr,0.61865234375,0.07318115234375,0.1822509765625,0.060821533203125,0.06536865234375
../../../data/data_MESSIDOR2/test/anodr/20051020_58065_0100_PP_561.png,anodr,cmoderatedr,0.2900390625,0.1492919921875,0.352294921875,0.08160400390625,0.1268310546875
../../../data/data_MESSIDOR2/test/anodr/20051020_61757_0100_PP_484.png,anodr,anodr,0.75,0.04412841796875,0.11395263671875,0.049560546875,0.042205810546875
../../../data/data_MESSIDOR2/test/anodr/20051020_62461_0100_PP_76.png,anodr,anodr,0.64501953125,0.06585693359375,0.1693115234375,0.05963134765625,0.060333251953125
../../../data/data_MESSIDOR2/test/anodr/20051020_62510_0100_PP_106.png,anodr,anodr,0.6484375,0.06536865234375,0.167724609375,0.058929443359375,0.059600830078125
../../../data/data_MESSIDOR2/test/anodr/20051020_62577_0100_PP_479.png,anodr,anodr,0.7080078125,0.05169677734375,0.134033203125,0.056121826171875,0.050018310546875
../../../data/data_MESSIDOR2/test/anodr/20051020_62615_0100_PP_294.png,anodr,anodr,0.72998046875,0.0477294921875,0.12359619140625,0.0526123046875,0.045867919921875
../../../data/data_MESSIDOR2/test/anodr/20051020_63269_0100_PP_1183.png,anodr,anodr,0.505859375,0.09869384765625,0.2398681640625,0.06982421875,0.085693359375
../../../data/data_MESSIDOR2/test/anodr/20051020_63337_0100_PP_471.png,anodr,cmoderatedr,0.30615234375,0.1458740234375,0.341064453125,0.0821533203125,0.12481689453125
