image_path,true_label,predicted_label,correct,confidence,prob_anormal,prob_cglaucoma
../../../data/data_VEIRC/test/anormal/image_001_170.jpg,anormal,anormal,True,0.92012644,0.92012644,0.079873495
../../../data/data_VEIRC/test/anormal/image_002_202.jpg,anormal,anormal,True,0.8837326,0.8837326,0.11626745
../../../data/data_VEIRC/test/anormal/image_003_50.jpg,anormal,anormal,True,0.84908444,0.84908444,0.1509156
../../../data/data_VEIRC/test/anormal/image_004_65.jpg,anormal,anormal,True,0.9238319,0.9238319,0.076168105
../../../data/data_VEIRC/test/anormal/image_005_13.jpg,anormal,anormal,True,0.9136654,0.9136654,0.08633461
../../../data/data_VEIRC/test/anormal/image_006_4.jpg,anormal,anormal,True,0.81150204,0.81150204,0.18849792
../../../data/data_VEIRC/test/anormal/image_007_5.jpg,anormal,anormal,True,0.9174629,0.9174629,0.08253712
../../../data/data_VEIRC/test/anormal/image_008_116.jpg,anormal,anormal,True,0.9067449,0.9067449,0.09325509
../../../data/data_VEIRC/test/anormal/image_009_125.jpg,anormal,anormal,True,0.9070493,0.9070493,0.09295063
../../../data/data_VEIRC/test/anormal/image_010_41.jpg,anormal,anormal,True,0.7621597,0.7621597,0.23784031
../../../data/data_VEIRC/test/anormal/image_011_214.jpg,anormal,anormal,True,0.9398537,0.9398537,0.060146328
../../../data/data_VEIRC/test/anormal/image_012_56.jpg,anormal,anormal,True,0.92642665,0.92642665,0.073573336
../../../data/data_VEIRC/test/anormal/image_013_71.jpg,anormal,anormal,True,0.9074212,0.9074212,0.09257884
../../../data/data_VEIRC/test/anormal/image_014_59.jpg,anormal,anormal,True,0.85577255,0.85577255,0.1442274
../../../data/data_VEIRC/test/anormal/image_015_209.jpg,anormal,anormal,True,0.93012476,0.93012476,0.06987524
../../../data/data_VEIRC/test/anormal/image_016_82.jpg,anormal,anormal,True,0.8843717,0.8843717,0.115628295
../../../data/data_VEIRC/test/anormal/image_017_93.jpg,anormal,anormal,True,0.900588,0.900588,0.09941201
../../../data/data_VEIRC/test/anormal/image_018_120.jpg,anormal,anormal,True,0.8764975,0.8764975,0.12350252
../../../data/data_VEIRC/test/anormal/image_019_168.jpg,anormal,anormal,True,0.7445939,0.7445939,0.25540602
../../../data/data_VEIRC/test/anormal/image_020_10.jpg,anormal,anormal,True,0.8906676,0.8906676,0.1093324
../../../data/data_VEIRC/test/anormal/image_021_26.jpg,anormal,anormal,True,0.835338,0.835338,0.16466202
../../../data/data_VEIRC/test/anormal/image_022_55.jpg,anormal,anormal,True,0.88708967,0.88708967,0.11291037
../../../data/data_VEIRC/test/anormal/image_023_103.jpg,anormal,anormal,True,0.7222971,0.7222971,0.27770287
../../../data/data_VEIRC/test/anormal/image_024_200.jpg,anormal,anormal,True,0.83095807,0.83095807,0.16904193
../../../data/data_VEIRC/test/anormal/image_025_99.jpg,anormal,anormal,True,0.8693603,0.8693603,0.13063969
../../../data/data_VEIRC/test/anormal/image_026_146.jpg,anormal,anormal,True,0.84112716,0.84112716,0.15887281
../../../data/data_VEIRC/test/anormal/image_027_32.jpg,anormal,anormal,True,0.86217844,0.86217844,0.13782161
../../../data/data_VEIRC/test/anormal/image_028_96.jpg,anormal,anormal,True,0.9030583,0.9030583,0.09694169
../../../data/data_VEIRC/test/anormal/image_029_217.jpg,anormal,anormal,True,0.9340876,0.9340876,0.06591244
../../../data/data_VEIRC/test/anormal/image_030_219.jpg,anormal,anormal,True,0.839852,0.839852,0.16014798
../../../data/data_VEIRC/test/anormal/image_031_49.jpg,anormal,anormal,True,0.85372794,0.85372794,0.14627203
../../../data/data_VEIRC/test/anormal/image_032_39.jpg,anormal,anormal,True,0.9147293,0.9147293,0.085270755
../../../data/data_VEIRC/test/anormal/image_033_187.jpg,anormal,anormal,True,0.81934243,0.81934243,0.18065761
../../../data/data_VEIRC/test/anormal/image_034_36.jpg,anormal,anormal,True,0.87395024,0.87395024,0.12604973
../../../data/data_VEIRC/test/anormal/image_035_160.jpg,anormal,anormal,True,0.80596447,0.80596447,0.1940355
../../../data/data_VEIRC/test/anormal/image_036_25.jpg,anormal,anormal,True,0.9206996,0.9206996,0.07930047
../../../data/data_VEIRC/test/anormal/image_037_178.jpg,anormal,anormal,True,0.9369851,0.9369851,0.06301494
../../../data/data_VEIRC/test/anormal/image_038_95.jpg,anormal,anormal,True,0.8842904,0.8842904,0.1157096
../../../data/data_VEIRC/test/anormal/image_039_12.jpg,anormal,anormal,True,0.851048,0.851048,0.148952
../../../data/data_VEIRC/test/anormal/image_040_16.jpg,anormal,anormal,True,0.8673618,0.8673618,0.13263816
../../../data/data_VEIRC/test/anormal/image_041_108.jpg,anormal,anormal,True,0.76199037,0.76199037,0.2380096
../../../data/data_VEIRC/test/anormal/image_042_63.jpg,anormal,anormal,True,0.7815423,0.7815423,0.21845771
../../../data/data_VEIRC/test/anormal/image_043_54.jpg,anormal,anormal,True,0.88124144,0.88124144,0.11875851
../../../data/data_VEIRC/test/anormal/image_044_70.jpg,anormal,anormal,True,0.9233221,0.9233221,0.076677926
../../../data/data_VEIRC/test/anormal/image_045_182.jpg,anormal,anormal,True,0.7234367,0.7234367,0.2765633
../../../data/data_VEIRC/test/anormal/image_046_64.jpg,anormal,anormal,True,0.89119184,0.89119184,0.10880815
../../../data/data_VEIRC/test/anormal/image_047_143.jpg,anormal,anormal,True,0.9048416,0.9048416,0.09515842
../../../data/data_VEIRC/test/anormal/image_048_130.jpg,anormal,anormal,True,0.91169524,0.91169524,0.08830476
../../../data/data_VEIRC/test/anormal/image_049_105.jpg,anormal,anormal,True,0.93552434,0.93552434,0.064475656
../../../data/data_VEIRC/test/anormal/image_050_163.jpg,anormal,anormal,True,0.7850677,0.7850677,0.21493232
../../../data/data_VEIRC/test/anormal/image_051_190.jpg,anormal,anormal,True,0.94265294,0.94265294,0.057347104
