filename,prob_anormal,prob_cglaucoma,pred_class
anormal/RET027OD.jpg,0.856954,0.143046,anormal
anormal/RET035OD.jpg,0.789279,0.210721,anormal
anormal/RET035OS.jpg,0.721271,0.278729,anormal
anormal/RET096OD.jpg,0.773874,0.226126,anormal
anormal/RET098OD.jpg,0.737098,0.262902,anormal
anormal/RET107OD.jpg,0.824272,0.175728,anormal
anormal/RET129OS.jpg,0.797700,0.202300,anormal
anormal/RET131OD.jpg,0.840010,0.159990,anormal
anormal/RET132OD.jpg,0.722388,0.277612,anormal
anormal/RET133OD.jpg,0.783193,0.216807,anormal
anormal/RET137OD.jpg,0.753776,0.246224,anormal
anormal/RET141OS.jpg,0.799978,0.200021,anormal
anormal/RET146OS.jpg,0.745389,0.254611,anormal
anormal/RET150OS.jpg,0.812522,0.187478,anormal
anormal/RET153OS.jpg,0.798457,0.201543,anormal
anormal/RET163OS.jpg,0.771993,0.228007,anormal
anormal/RET168OS.jpg,0.754728,0.245272,anormal
anormal/RET175OD.jpg,0.709487,0.290513,anormal
anormal/RET177OD.jpg,0.755736,0.244264,anormal
anormal/RET177OS.jpg,0.765160,0.234840,anormal
anormal/RET178OD.jpg,0.885134,0.114866,anormal
anormal/RET181OS.jpg,0.699124,0.300876,anormal
anormal/RET182OD.jpg,0.709329,0.290671,anormal
anormal/RET184OD.jpg,0.739173,0.260827,anormal
anormal/RET184OS.jpg,0.757383,0.242617,anormal
anormal/RET190OS.jpg,0.834442,0.165558,anormal
anormal/RET191OS.jpg,0.774777,0.225223,anormal
anormal/RET192OS.jpg,0.766698,0.233302,anormal
anormal/RET197OD.jpg,0.781275,0.218725,anormal
anormal/RET198OD.jpg,0.761638,0.238362,anormal
anormal/RET198OS.jpg,0.755181,0.244819,anormal
anormal/RET199OD.jpg,0.703323,0.296677,anormal
anormal/RET200OD.jpg,0.768868,0.231132,anormal
anormal/RET200OS.jpg,0.799889,0.200111,anormal
anormal/RET201OD.jpg,0.800097,0.199903,anormal
anormal/RET202OD.jpg,0.751345,0.248655,anormal
anormal/RET203OD.jpg,0.770728,0.229272,anormal
anormal/RET203OS.jpg,0.780187,0.219813,anormal
anormal/RET210OD.jpg,0.781131,0.218869,anormal
anormal/RET211OS.jpg,0.751820,0.248180,anormal
anormal/RET212OD.jpg,0.727622,0.272378,anormal
anormal/RET213OS.jpg,0.713518,0.286482,anormal
anormal/RET216OD.jpg,0.700906,0.299094,anormal
anormal/RET216OS.jpg,0.719619,0.280381,anormal
anormal/RET220OD.jpg,0.759287,0.240713,anormal
anormal/RET220OS.jpg,0.788715,0.211285,anormal
anormal/RET224OD.jpg,0.739985,0.260015,anormal
anormal/RET228OS.jpg,0.763425,0.236575,anormal
anormal/RET231OD.jpg,0.783439,0.216561,anormal
anormal/RET237OD.jpg,0.765866,0.234134,anormal
anormal/RET245OS.jpg,0.784012,0.215988,anormal
anormal/RET252OS.jpg,0.808390,0.191610,anormal
anormal/RET253OD.jpg,0.749043,0.250957,anormal
anormal/RET253OS.jpg,0.829027,0.170973,anormal
anormal/RET256OD.jpg,0.820723,0.179277,anormal
anormal/RET258OD.jpg,0.695622,0.304378,anormal
anormal/RET259OD.jpg,0.709116,0.290884,anormal
anormal/RET261OS.jpg,0.741901,0.258099,anormal
anormal/RET267OD.jpg,0.747347,0.252653,anormal
anormal/RET271OS.jpg,0.758644,0.241356,anormal
anormal/RET272OD.jpg,0.817585,0.182415,anormal
anormal/RET277OS.jpg,0.795184,0.204816,anormal
anormal/RET282OD.jpg,0.787037,0.212963,anormal
anormal/RET282OS.jpg,0.868064,0.131936,anormal
anormal/RET283OS.jpg,0.722960,0.277040,anormal
anormal/RET285OS.jpg,0.722882,0.277118,anormal
anormal/RET291OD.jpg,0.829429,0.170571,anormal
cglaucoma/RET002OD.jpg,0.690971,0.309029,anormal
cglaucoma/RET006OS.jpg,0.799552,0.200448,anormal
cglaucoma/RET053OD.jpg,0.798354,0.201646,anormal
cglaucoma/RET066OS.jpg,0.712701,0.287299,anormal
cglaucoma/RET089OD.jpg,0.815010,0.184990,anormal
cglaucoma/RET091OD.jpg,0.746865,0.253135,anormal
cglaucoma/RET102OD.jpg,0.835057,0.164943,anormal
cglaucoma/RET106OD.jpg,0.870492,0.129508,anormal
cglaucoma/RET114OS.jpg,0.797301,0.202699,anormal
cglaucoma/RET120OD.jpg,0.715200,0.284800,anormal
cglaucoma/RET120OS.jpg,0.762601,0.237399,anormal
cglaucoma/RET122OD.jpg,0.778540,0.221460,anormal
cglaucoma/RET122OS.jpg,0.750056,0.249944,anormal
cglaucoma/RET276OS.jpg,0.838296,0.161704,anormal
