filename,prob_anormal,prob_cglaucoma,pred_class
anormal/image_001_170.jpg,0.811741,0.188259,anormal
anormal/image_002_202.jpg,0.738014,0.261986,anormal
anormal/image_003_50.jpg,0.683352,0.316648,anormal
anormal/image_004_65.jpg,0.734755,0.265245,anormal
anormal/image_005_13.jpg,0.715261,0.284739,anormal
anormal/image_006_4.jpg,0.834592,0.165408,anormal
anormal/image_007_5.jpg,0.737164,0.262836,anormal
anormal/image_008_116.jpg,0.752687,0.247313,anormal
anormal/image_009_125.jpg,0.806496,0.193504,anormal
anormal/image_010_41.jpg,0.711867,0.288133,anormal
anormal/image_011_214.jpg,0.870457,0.129543,anormal
anormal/image_012_56.jpg,0.749654,0.250346,anormal
anormal/image_013_71.jpg,0.744675,0.255325,anormal
anormal/image_014_59.jpg,0.853602,0.146398,anormal
anormal/image_015_209.jpg,0.855357,0.144643,anormal
anormal/image_016_82.jpg,0.804829,0.195171,anormal
anormal/image_017_93.jpg,0.879901,0.120099,anormal
anormal/image_018_120.jpg,0.811807,0.188193,anormal
anormal/image_019_168.jpg,0.746836,0.253164,anormal
anormal/image_020_10.jpg,0.730048,0.269952,anormal
anormal/image_021_26.jpg,0.867017,0.132983,anormal
anormal/image_022_55.jpg,0.862870,0.137130,anormal
anormal/image_023_103.jpg,0.799596,0.200404,anormal
anormal/image_024_200.jpg,0.768883,0.231117,anormal
anormal/image_025_99.jpg,0.858143,0.141857,anormal
anormal/image_026_146.jpg,0.769632,0.230368,anormal
anormal/image_027_32.jpg,0.822375,0.177625,anormal
anormal/image_028_96.jpg,0.779080,0.220920,anormal
anormal/image_029_217.jpg,0.772913,0.227087,anormal
anormal/image_030_219.jpg,0.788565,0.211435,anormal
anormal/image_031_49.jpg,0.835421,0.164580,anormal
anormal/image_032_39.jpg,0.835169,0.164832,anormal
anormal/image_033_187.jpg,0.814434,0.185566,anormal
anormal/image_034_36.jpg,0.870662,0.129338,anormal
anormal/image_035_160.jpg,0.727083,0.272917,anormal
anormal/image_036_25.jpg,0.897968,0.102032,anormal
anormal/image_037_178.jpg,0.800351,0.199649,anormal
anormal/image_038_95.jpg,0.822337,0.177663,anormal
anormal/image_039_12.jpg,0.729355,0.270645,anormal
anormal/image_040_16.jpg,0.841722,0.158278,anormal
anormal/image_041_108.jpg,0.775702,0.224298,anormal
