file_name,score_a_noamd,score_b_amd,pred_class
N0001.jpg,0.783541,0.216459,a_noamd
N0002.jpg,0.783557,0.216443,a_noamd
N0003.jpg,0.783795,0.216205,a_noamd
N0004.jpg,0.783738,0.216262,a_noamd
N0005.jpg,0.783531,0.216469,a_noamd
N0006.jpg,0.783509,0.216491,a_noamd
N0007.jpg,0.783485,0.216515,a_noamd
N0008.jpg,0.783523,0.216477,a_noamd
N0009.jpg,0.783385,0.216615,a_noamd
N0010.jpg,0.783473,0.216527,a_noamd
N0011.jpg,0.783458,0.216542,a_noamd
N0012.jpg,0.783504,0.216496,a_noamd
N0013.jpg,0.783255,0.216745,a_noamd
N0014.jpg,0.783413,0.216587,a_noamd
N0015.jpg,0.783182,0.216818,a_noamd
N0016.jpg,0.783179,0.216821,a_noamd
N0017.jpg,0.783403,0.216597,a_noamd
N0018.jpg,0.783331,0.216669,a_noamd
N0019.jpg,0.783378,0.216622,a_noamd
N0020.jpg,0.783306,0.216694,a_noamd
N0021.jpg,0.779575,0.220425,a_noamd
N0022.jpg,0.783325,0.216675,a_noamd
N0023.jpg,0.783335,0.216665,a_noamd
N0024.jpg,0.783393,0.216607,a_noamd
N0025.jpg,0.783506,0.216494,a_noamd
N0026.jpg,0.783483,0.216517,a_noamd
N0027.jpg,0.783581,0.216419,a_noamd
N0028.jpg,0.783313,0.216687,a_noamd
N0029.jpg,0.783452,0.216548,a_noamd
N0030.jpg,0.783454,0.216546,a_noamd
N0031.jpg,0.783533,0.216467,a_noamd
N0032.jpg,0.783289,0.216711,a_noamd
N0033.jpg,0.783549,0.216451,a_noamd
N0034.jpg,0.783538,0.216462,a_noamd
N0035.jpg,0.783498,0.216502,a_noamd
N0036.jpg,0.783498,0.216502,a_noamd
N0037.jpg,0.783453,0.216547,a_noamd
N0038.jpg,0.783451,0.216549,a_noamd
N0039.jpg,0.783496,0.216504,a_noamd
N0040.jpg,0.783594,0.216406,a_noamd
N0041.jpg,0.783648,0.216352,a_noamd
N0042.jpg,0.783492,0.216508,a_noamd
N0043.jpg,0.783523,0.216477,a_noamd
N0044.jpg,0.783275,0.216725,a_noamd
N0045.jpg,0.783374,0.216626,a_noamd
N0046.jpg,0.783451,0.216549,a_noamd
N0047.jpg,0.783444,0.216556,a_noamd
N0048.jpg,0.783367,0.216633,a_noamd
N0049.jpg,0.783535,0.216465,a_noamd
N0050.jpg,0.783014,0.216986,a_noamd
N0051.jpg,0.783328,0.216672,a_noamd
N0052.jpg,0.783504,0.216496,a_noamd
N0053.jpg,0.783538,0.216462,a_noamd
N0054.jpg,0.783551,0.216449,a_noamd
N0055.jpg,0.783330,0.216670,a_noamd
N0056.jpg,0.783477,0.216523,a_noamd
N0057.jpg,0.782686,0.217314,a_noamd
N0058.jpg,0.783450,0.216550,a_noamd
N0059.jpg,0.783154,0.216846,a_noamd
N0060.jpg,0.783516,0.216484,a_noamd
N0061.jpg,0.783074,0.216926,a_noamd
N0062.jpg,0.783585,0.216415,a_noamd
N0063.jpg,0.783074,0.216926,a_noamd
N0064.jpg,0.783343,0.216657,a_noamd
N0065.jpg,0.783369,0.216631,a_noamd
N0066.jpg,0.783326,0.216674,a_noamd
N0067.jpg,0.782656,0.217343,a_noamd
N0068.jpg,0.783453,0.216547,a_noamd
N0069.jpg,0.783417,0.216583,a_noamd
N0070.jpg,0.783370,0.216630,a_noamd
N0071.jpg,0.783480,0.216520,a_noamd
N0072.jpg,0.783522,0.216478,a_noamd
N0073.jpg,0.783344,0.216656,a_noamd
N0074.jpg,0.783482,0.216518,a_noamd
N0075.jpg,0.783426,0.216574,a_noamd
N0076.jpg,0.783275,0.216725,a_noamd
N0077.jpg,0.783425,0.216575,a_noamd
N0078.jpg,0.783169,0.216831,a_noamd
N0079.jpg,0.783147,0.216853,a_noamd
N0080.jpg,0.783425,0.216575,a_noamd
N0081.jpg,0.783485,0.216515,a_noamd
N0082.jpg,0.783454,0.216546,a_noamd
N0083.jpg,0.783251,0.216749,a_noamd
N0084.jpg,0.783223,0.216777,a_noamd
N0085.jpg,0.783126,0.216874,a_noamd
N0086.jpg,0.783324,0.216676,a_noamd
N0087.jpg,0.783305,0.216695,a_noamd
N0088.jpg,0.783127,0.216873,a_noamd
N0089.jpg,0.783377,0.216623,a_noamd
