image_path,true_label,predicted_label,score_a_noamd,score_b_amd
../../../data/data_UKBB/test/a_noamd/1018113_21015_1_0.png,a_noamd,a_noamd,0.880924,0.119076
../../../data/data_UKBB/test/a_noamd/1020777_21015_1_0.png,a_noamd,a_noamd,0.931654,0.068346
../../../data/data_UKBB/test/a_noamd/1026486_21016_0_0.png,a_noamd,a_noamd,0.956712,0.043288
../../../data/data_UKBB/test/a_noamd/1036537_21016_0_0.png,a_noamd,a_noamd,0.962771,0.037229
../../../data/data_UKBB/test/a_noamd/1039702_21015_1_0.png,a_noamd,a_noamd,0.936965,0.063035
../../../data/data_UKBB/test/a_noamd/1046092_21015_0_0.png,a_noamd,a_noamd,0.928047,0.071953
../../../data/data_UKBB/test/a_noamd/1064334_21016_0_0.png,a_noamd,b_amd,0.299936,0.700064
../../../data/data_UKBB/test/a_noamd/1103313_21016_0_0.png,a_noamd,b_amd,0.147058,0.852942
../../../data/data_UKBB/test/a_noamd/1107730_21015_0_0.png,a_noamd,a_noamd,0.923677,0.076323
../../../data/data_UKBB/test/a_noamd/1134266_21015_0_0.png,a_noamd,a_noamd,0.887250,0.112750
../../../data/data_UKBB/test/a_noamd/1167873_21016_0_0.png,a_noamd,a_noamd,0.848040,0.151960
../../../data/data_UKBB/test/a_noamd/1169358_21015_1_0.png,a_noamd,a_noamd,0.955819,0.044181
../../../data/data_UKBB/test/a_noamd/1170584_21016_0_0.png,a_noamd,a_noamd,0.953033,0.046967
../../../data/data_UKBB/test/a_noamd/1175155_21016_0_0.png,a_noamd,a_noamd,0.958713,0.041287
../../../data/data_UKBB/test/a_noamd/1178859_21016_0_0.png,a_noamd,a_noamd,0.856717,0.143283
../../../data/data_UKBB/test/a_noamd/1184375_21016_1_0.png,a_noamd,b_amd,0.341736,0.658264
../../../data/data_UKBB/test/a_noamd/1186967_21016_0_0.png,a_noamd,a_noamd,0.872428,0.127572
../../../data/data_UKBB/test/a_noamd/1197089_21016_0_0.png,a_noamd,a_noamd,0.955620,0.044380
../../../data/data_UKBB/test/a_noamd/1197343_21015_0_0.png,a_noamd,a_noamd,0.912847,0.087153
../../../data/data_UKBB/test/a_noamd/1220742_21016_0_0.png,a_noamd,a_noamd,0.960681,0.039319
../../../data/data_UKBB/test/a_noamd/1223318_21016_0_0.png,a_noamd,a_noamd,0.977466,0.022534
../../../data/data_UKBB/test/a_noamd/1230171_21016_0_0.png,a_noamd,a_noamd,0.831971,0.168029
../../../data/data_UKBB/test/a_noamd/1250082_21016_0_0.png,a_noamd,a_noamd,0.959848,0.040152
../../../data/data_UKBB/test/a_noamd/1260458_21016_0_0.png,a_noamd,a_noamd,0.949441,0.050559
../../../data/data_UKBB/test/a_noamd/1261685_21016_0_0.png,a_noamd,a_noamd,0.954516,0.045484
../../../data/data_UKBB/test/a_noamd/1267094_21016_0_0.png,a_noamd,a_noamd,0.917933,0.082067
../../../data/data_UKBB/test/a_noamd/1275770_21015_0_0.png,a_noamd,a_noamd,0.945285,0.054715
../../../data/data_UKBB/test/a_noamd/1322575_21016_0_0.png,a_noamd,a_noamd,0.957108,0.042892
../../../data/data_UKBB/test/a_noamd/1330933_21015_0_0.png,a_noamd,b_amd,0.285941,0.714059
../../../data/data_UKBB/test/a_noamd/1334474_21015_0_0.png,a_noamd,a_noamd,0.903163,0.096837
../../../data/data_UKBB/test/a_noamd/1346072_21016_0_0.png,a_noamd,b_amd,0.243806,0.756194
../../../data/data_UKBB/test/a_noamd/1350271_21016_0_0.png,a_noamd,a_noamd,0.923605,0.076395
../../../data/data_UKBB/test/a_noamd/1359631_21015_1_0.png,a_noamd,a_noamd,0.985773,0.014227
../../../data/data_UKBB/test/a_noamd/1372500_21016_0_0.png,a_noamd,b_amd,0.221538,0.778462
../../../data/data_UKBB/test/a_noamd/1407787_21015_1_0.png,a_noamd,a_noamd,0.974945,0.025055
../../../data/data_UKBB/test/a_noamd/1412963_21015_0_0.png,a_noamd,a_noamd,0.946524,0.053476
../../../data/data_UKBB/test/a_noamd/1429525_21016_0_0.png,a_noamd,a_noamd,0.932312,0.067688
../../../data/data_UKBB/test/a_noamd/1434744_21016_0_0.png,a_noamd,a_noamd,0.887843,0.112157
../../../data/data_UKBB/test/a_noamd/1438121_21015_0_0.png,a_noamd,a_noamd,0.946562,0.053438
../../../data/data_UKBB/test/a_noamd/1438217_21016_0_0.png,a_noamd,a_noamd,0.718948,0.281052
