image_path,true_label,predicted_label,score_a_noamd,score_b_amd
../../../data/data_ADAM/test/a_noamd/N0001.jpg,a_noamd,a_noamd,0.828588,0.171412
../../../data/data_ADAM/test/a_noamd/N0002.jpg,a_noamd,a_noamd,0.900926,0.099074
../../../data/data_ADAM/test/a_noamd/N0003.jpg,a_noamd,a_noamd,0.768966,0.231034
../../../data/data_ADAM/test/a_noamd/N0004.jpg,a_noamd,a_noamd,0.785510,0.214490
../../../data/data_ADAM/test/a_noamd/N0005.jpg,a_noamd,a_noamd,0.693691,0.306309
../../../data/data_ADAM/test/a_noamd/N0006.jpg,a_noamd,a_noamd,0.856235,0.143765
../../../data/data_ADAM/test/a_noamd/N0007.jpg,a_noamd,a_noamd,0.948769,0.051231
../../../data/data_ADAM/test/a_noamd/N0008.jpg,a_noamd,a_noamd,0.939496,0.060504
../../../data/data_ADAM/test/a_noamd/N0009.jpg,a_noamd,a_noamd,0.814383,0.185617
../../../data/data_ADAM/test/a_noamd/N0010.jpg,a_noamd,a_noamd,0.694253,0.305747
../../../data/data_ADAM/test/a_noamd/N0011.jpg,a_noamd,a_noamd,0.701656,0.298344
../../../data/data_ADAM/test/a_noamd/N0012.jpg,a_noamd,a_noamd,0.946197,0.053803
../../../data/data_ADAM/test/a_noamd/N0013.jpg,a_noamd,a_noamd,0.929905,0.070095
../../../data/data_ADAM/test/a_noamd/N0014.jpg,a_noamd,a_noamd,0.909228,0.090772
../../../data/data_ADAM/test/a_noamd/N0015.jpg,a_noamd,a_noamd,0.839458,0.160542
../../../data/data_ADAM/test/a_noamd/N0016.jpg,a_noamd,a_noamd,0.779189,0.220811
../../../data/data_ADAM/test/a_noamd/N0017.jpg,a_noamd,a_noamd,0.923789,0.076211
../../../data/data_ADAM/test/a_noamd/N0018.jpg,a_noamd,a_noamd,0.909940,0.090060
../../../data/data_ADAM/test/a_noamd/N0019.jpg,a_noamd,a_noamd,0.892142,0.107857
../../../data/data_ADAM/test/a_noamd/N0020.jpg,a_noamd,a_noamd,0.837247,0.162753
../../../data/data_ADAM/test/a_noamd/N0021.jpg,a_noamd,a_noamd,0.844259,0.155741
../../../data/data_ADAM/test/a_noamd/N0022.jpg,a_noamd,a_noamd,0.769001,0.230999
../../../data/data_ADAM/test/a_noamd/N0023.jpg,a_noamd,b_amd,0.288222,0.711778
