image_path,true_label,predicted_label,score_anormal,score_cglaucoma
../../../data/data_VEIRC/test/anormal/image_001_170.jpg,anormal,anormal,0.952289,0.047711
../../../data/data_VEIRC/test/anormal/image_002_202.jpg,anormal,anormal,0.906690,0.093310
../../../data/data_VEIRC/test/anormal/image_003_50.jpg,anormal,anormal,0.778186,0.221814
../../../data/data_VEIRC/test/anormal/image_004_65.jpg,anormal,anormal,0.947275,0.052725
../../../data/data_VEIRC/test/anormal/image_005_13.jpg,anormal,anormal,0.902791,0.097209
../../../data/data_VEIRC/test/anormal/image_006_4.jpg,anormal,anormal,0.715831,0.284169
../../../data/data_VEIRC/test/anormal/image_007_5.jpg,anormal,anormal,0.933750,0.066250
../../../data/data_VEIRC/test/anormal/image_008_116.jpg,anormal,anormal,0.830416,0.169584
../../../data/data_VEIRC/test/anormal/image_009_125.jpg,anormal,anormal,0.928692,0.071308
../../../data/data_VEIRC/test/anormal/image_010_41.jpg,anormal,anormal,0.699392,0.300608
../../../data/data_VEIRC/test/anormal/image_011_214.jpg,anormal,anormal,0.938644,0.061356
../../../data/data_VEIRC/test/anormal/image_012_56.jpg,anormal,anormal,0.878620,0.121380
../../../data/data_VEIRC/test/anormal/image_013_71.jpg,anormal,anormal,0.932217,0.067783
../../../data/data_VEIRC/test/anormal/image_014_59.jpg,anormal,anormal,0.910158,0.089842
../../../data/data_VEIRC/test/anormal/image_015_209.jpg,anormal,anormal,0.862949,0.137051
../../../data/data_VEIRC/test/anormal/image_016_82.jpg,anormal,anormal,0.815237,0.184763
../../../data/data_VEIRC/test/anormal/image_017_93.jpg,anormal,anormal,0.979725,0.020275
../../../data/data_VEIRC/test/anormal/image_018_120.jpg,anormal,anormal,0.679247,0.320753
../../../data/data_VEIRC/test/anormal/image_019_168.jpg,anormal,anormal,0.829867,0.170133
../../../data/data_VEIRC/test/anormal/image_020_10.jpg,anormal,anormal,0.859559,0.140441
../../../data/data_VEIRC/test/anormal/image_021_26.jpg,anormal,anormal,0.905243,0.094757
../../../data/data_VEIRC/test/anormal/image_022_55.jpg,anormal,anormal,0.892566,0.107434
../../../data/data_VEIRC/test/anormal/image_023_103.jpg,anormal,anormal,0.719178,0.280822
../../../data/data_VEIRC/test/anormal/image_024_200.jpg,anormal,anormal,0.830028,0.169972
../../../data/data_VEIRC/test/anormal/image_025_99.jpg,anormal,anormal,0.796237,0.203763
../../../data/data_VEIRC/test/anormal/image_026_146.jpg,anormal,anormal,0.910291,0.089709
../../../data/data_VEIRC/test/anormal/image_027_32.jpg,anormal,anormal,0.855466,0.144534
../../../data/data_VEIRC/test/anormal/image_028_96.jpg,anormal,anormal,0.960042,0.039958
../../../data/data_VEIRC/test/anormal/image_029_217.jpg,anormal,anormal,0.926954,0.073046
../../../data/data_VEIRC/test/anormal/image_030_219.jpg,anormal,anormal,0.653170,0.346830
../../../data/data_VEIRC/test/anormal/image_031_49.jpg,anormal,anormal,0.840960,0.159040
../../../data/data_VEIRC/test/anormal/image_032_39.jpg,anormal,anormal,0.902625,0.097375
../../../data/data_VEIRC/test/anormal/image_033_187.jpg,anormal,cglaucoma,0.400342,0.599658
../../../data/data_VEIRC/test/anormal/image_034_36.jpg,anormal,anormal,0.781264,0.218736
../../../data/data_VEIRC/test/anormal/image_035_160.jpg,anormal,anormal,0.832919,0.167081
../../../data/data_VEIRC/test/anormal/image_036_25.jpg,anormal,anormal,0.767991,0.232009
../../../data/data_VEIRC/test/anormal/image_037_178.jpg,anormal,anormal,0.934823,0.065177
../../../data/data_VEIRC/test/anormal/image_038_95.jpg,anormal,anormal,0.913219,0.086781
../../../data/data_VEIRC/test/anormal/image_039_12.jpg,anormal,anormal,0.739079,0.260921
../../../data/data_VEIRC/test/anormal/image_040_16.jpg,anormal,anormal,0.855905,0.144095
../../../data/data_VEIRC/test/anormal/image_041_108.jpg,anormal,cglaucoma,0.474309,0.525691
../../../data/data_VEIRC/test/anormal/image_042_63.jpg,anormal,anormal,0.879751,0.120249
../../../data/data_VEIRC/test/anormal/image_043_54.jpg,anormal,anormal,0.859786,0.140214
../../../data/data_VEIRC/test/anormal/image_044_70.jpg,anormal,anormal,0.970791,0.029209
../../../data/data_VEIRC/test/anormal/image_045_182.jpg,anormal,anormal,0.846245,0.153755
../../../data/data_VEIRC/test/anormal/image_046_64.jpg,anormal,anormal,0.954817,0.045183
../../../data/data_VEIRC/test/anormal/image_047_143.jpg,anormal,anormal,0.910547,0.089453
../../../data/data_VEIRC/test/anormal/image_048_130.jpg,anormal,anormal,0.938724,0.061276
../../../data/data_VEIRC/test/anormal/image_049_105.jpg,anormal,anormal,0.962444,0.037556
../../../data/data_VEIRC/test/anormal/image_050_163.jpg,anormal,anormal,0.841039,0.158961
../../../data/data_VEIRC/test/anormal/image_051_190.jpg,anormal,anormal,0.946424,0.053576
../../../data/data_VEIRC/test/anormal/image_052_3.jpg,anormal,anormal,0.976463,0.023537
../../../data/data_VEIRC/test/anormal/image_053_136.jpg,anormal,anormal,0.973159,0.026841
../../../data/data_VEIRC/test/anormal/image_054_158.jpg,anormal,anormal,0.913147,0.086853
../../../data/data_VEIRC/test/anormal/image_055_139.jpg,anormal,anormal,0.900749,0.099251
../../../data/data_VEIRC/test/anormal/image_056_142.jpg,anormal,anormal,0.851558,0.148442
../../../data/data_VEIRC/test/anormal/image_057_109.jpg,anormal,anormal,0.898216,0.101784
../../../data/data_VEIRC/test/anormal/image_058_118.jpg,anormal,anormal,0.840339,0.159661
../../../data/data_VEIRC/test/anormal/image_059_220.jpg,anormal,anormal,0.878486,0.121514
../../../data/data_VEIRC/test/anormal/image_060_79.jpg,anormal,anormal,0.952779,0.047221
../../../data/data_VEIRC/test/anormal/image_061_44.jpg,anormal,anormal,0.845772,0.154228
../../../data/data_VEIRC/test/anormal/image_062_135.jpg,anormal,anormal,0.916789,0.083211
../../../data/data_VEIRC/test/anormal/image_063_110.jpg,anormal,anormal,0.955296,0.044704
../../../data/data_VEIRC/test/anormal/image_064_164.jpg,anormal,anormal,0.966921,0.033079
../../../data/data_VEIRC/test/anormal/image_065_92.jpg,anormal,anormal,0.953716,0.046284
../../../data/data_VEIRC/test/anormal/image_066_218.jpg,anormal,anormal,0.904255,0.095745
../../../data/data_VEIRC/test/anormal/image_067_127.jpg,anormal,anormal,0.953467,0.046533
../../../data/data_VEIRC/test/anormal/image_068_173.jpg,anormal,anormal,0.827578,0.172422
../../../data/data_VEIRC/test/anormal/image_069_184.jpg,anormal,anormal,0.907422,0.092578
../../../data/data_VEIRC/test/anormal/image_070_212.jpg,anormal,anormal,0.955763,0.044237
../../../data/data_VEIRC/test/anormal/image_071_154.jpg,anormal,anormal,0.794301,0.205699
../../../data/data_VEIRC/test/anormal/image_072_102.jpg,anormal,anormal,0.841039,0.158961
../../../data/data_VEIRC/test/anormal/image_073_179.jpg,anormal,anormal,0.942410,0.057590
../../../data/data_VEIRC/test/anormal/image_074_37.jpg,anormal,anormal,0.930850,0.069150
../../../data/data_VEIRC/test/anormal/image_075_195.jpg,anormal,anormal,0.973216,0.026784
../../../data/data_VEIRC/test/anormal/image_076_33.jpg,anormal,anormal,0.907997,0.092003
../../../data/data_VEIRC/test/anormal/image_077_201.jpg,anormal,anormal,0.930031,0.069969
