file,prob_anormal,prob_cglaucoma,pred,true
../../../data/data_VEIRC/test/anormal/image_001_170.jpg,0.974819,0.025181,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_002_202.jpg,0.938551,0.061449,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_003_50.jpg,0.939417,0.060583,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_004_65.jpg,0.947484,0.052516,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_005_13.jpg,0.973060,0.026940,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_006_4.jpg,0.935222,0.064778,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_007_5.jpg,0.968763,0.031237,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_008_116.jpg,0.957340,0.042660,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_009_125.jpg,0.966165,0.033835,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_010_41.jpg,0.931831,0.068169,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_011_214.jpg,0.963191,0.036809,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_012_56.jpg,0.840400,0.159600,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_013_71.jpg,0.959168,0.040832,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_014_59.jpg,0.960992,0.039008,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_015_209.jpg,0.944280,0.055720,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_016_82.jpg,0.908411,0.091589,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_017_93.jpg,0.980019,0.019981,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_018_120.jpg,0.934495,0.065505,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_019_168.jpg,0.946510,0.053490,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_020_10.jpg,0.960928,0.039073,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_021_26.jpg,0.956365,0.043635,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_022_55.jpg,0.933614,0.066386,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_023_103.jpg,0.896612,0.103388,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_024_200.jpg,0.945672,0.054328,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_025_99.jpg,0.853677,0.146323,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_026_146.jpg,0.949359,0.050641,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_027_32.jpg,0.943019,0.056981,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_028_96.jpg,0.974234,0.025766,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_029_217.jpg,0.970729,0.029271,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_030_219.jpg,0.339291,0.660709,cglaucoma,anormal
../../../data/data_VEIRC/test/anormal/image_031_49.jpg,0.938780,0.061220,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_032_39.jpg,0.944440,0.055560,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_033_187.jpg,0.916360,0.083639,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_034_36.jpg,0.928045,0.071955,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_035_160.jpg,0.951744,0.048256,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_036_25.jpg,0.820338,0.179662,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_037_178.jpg,0.971138,0.028862,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_038_95.jpg,0.960778,0.039222,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_039_12.jpg,0.903351,0.096649,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_040_16.jpg,0.962421,0.037579,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_041_108.jpg,0.855646,0.144354,anormal,anormal
../../../data/data_VEIRC/test/anormal/image_042_63.jpg,0.956334,0.043666,anormal,anormal
