file,prob_anormal,prob_cglaucoma,pred,true
../../../data/data_PAPILA/test/anormal/RET027OD.jpg,0.975840,0.024160,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET035OD.jpg,0.970049,0.029951,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET035OS.jpg,0.974250,0.025750,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET096OD.jpg,0.874404,0.125596,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET098OD.jpg,0.958793,0.041207,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET107OD.jpg,0.968931,0.031069,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET129OS.jpg,0.628300,0.371700,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET131OD.jpg,0.964102,0.035898,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET132OD.jpg,0.962681,0.037319,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET133OD.jpg,0.944995,0.055005,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET137OD.jpg,0.960149,0.039851,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET141OS.jpg,0.966144,0.033856,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET146OS.jpg,0.889961,0.110039,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET150OS.jpg,0.969410,0.030590,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET153OS.jpg,0.973819,0.026181,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET163OS.jpg,0.550554,0.449446,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET168OS.jpg,0.984050,0.015950,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET175OD.jpg,0.974452,0.025548,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET177OD.jpg,0.973862,0.026138,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET177OS.jpg,0.976621,0.023379,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET178OD.jpg,0.932463,0.067537,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET181OS.jpg,0.969170,0.030830,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET182OD.jpg,0.972319,0.027681,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET184OD.jpg,0.980702,0.019298,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET184OS.jpg,0.954680,0.045320,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET190OS.jpg,0.945240,0.054760,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET191OS.jpg,0.973853,0.026147,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET192OS.jpg,0.945177,0.054823,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET197OD.jpg,0.962833,0.037168,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET198OD.jpg,0.959132,0.040868,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET198OS.jpg,0.963107,0.036893,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET199OD.jpg,0.971628,0.028372,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET200OD.jpg,0.978870,0.021130,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET200OS.jpg,0.968350,0.031650,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET201OD.jpg,0.974379,0.025621,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET202OD.jpg,0.983659,0.016341,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET203OD.jpg,0.980789,0.019211,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET203OS.jpg,0.979204,0.020796,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET210OD.jpg,0.980749,0.019251,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET211OS.jpg,0.953179,0.046821,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET212OD.jpg,0.971497,0.028503,anormal,anormal
../../../data/data_PAPILA/test/anormal/RET213OS.jpg,0.974373,0.025627,anormal,anormal
