filename,prob_anormal,prob_cglaucoma,predicted_label
image_001_170.jpg,0.265357,0.734643,cglaucoma
image_002_202.jpg,0.716516,0.283484,anormal
image_003_50.jpg,0.616561,0.383439,anormal
image_004_65.jpg,0.040012,0.959988,cglaucoma
image_005_13.jpg,0.174410,0.825590,cglaucoma
image_006_4.jpg,0.790045,0.209955,anormal
image_007_5.jpg,0.300694,0.699306,cglaucoma
image_008_116.jpg,0.037222,0.962778,cglaucoma
image_009_125.jpg,0.901053,0.098947,anormal
image_010_41.jpg,0.881258,0.118742,anormal
image_011_214.jpg,0.135518,0.864482,cglaucoma
image_012_56.jpg,0.619068,0.380932,anormal
image_013_71.jpg,0.024680,0.975320,cglaucoma
image_014_59.jpg,0.920290,0.079710,anormal
image_015_209.jpg,0.950273,0.049727,anormal
image_016_82.jpg,0.612339,0.387661,anormal
image_017_93.jpg,0.950869,0.049131,anormal
image_018_120.jpg,0.639849,0.360151,anormal
image_019_168.jpg,0.459767,0.540233,cglaucoma
image_020_10.jpg,0.686055,0.313945,anormal
image_021_26.jpg,0.645455,0.354545,anormal
image_022_55.jpg,0.773045,0.226955,anormal
image_023_103.jpg,0.473475,0.526525,cglaucoma
image_024_200.jpg,0.789153,0.210848,anormal
image_025_99.jpg,0.157266,0.842734,cglaucoma
image_026_146.jpg,0.658912,0.341089,anormal
image_027_32.jpg,0.852014,0.147986,anormal
image_028_96.jpg,0.534673,0.465327,anormal
image_029_217.jpg,0.051415,0.948585,cglaucoma
image_030_219.jpg,0.901314,0.098686,anormal
image_031_49.jpg,0.592225,0.407776,anormal
image_032_39.jpg,0.617830,0.382170,anormal
image_033_187.jpg,0.310799,0.689201,cglaucoma
image_034_36.jpg,0.790934,0.209066,anormal
image_035_160.jpg,0.436735,0.563265,cglaucoma
image_036_25.jpg,0.393152,0.606848,cglaucoma
image_037_178.jpg,0.151781,0.848219,cglaucoma
image_038_95.jpg,0.111193,0.888807,cglaucoma
image_039_12.jpg,0.895614,0.104386,anormal
image_040_16.jpg,0.397675,0.602325,cglaucoma
image_041_108.jpg,0.724481,0.275519,anormal
image_042_63.jpg,0.668502,0.331498,anormal
image_043_54.jpg,0.431944,0.568056,cglaucoma
image_044_70.jpg,0.797951,0.202049,anormal
image_045_182.jpg,0.109230,0.890770,cglaucoma
image_046_64.jpg,0.110088,0.889912,cglaucoma
image_047_143.jpg,0.007666,0.992334,cglaucoma
image_048_130.jpg,0.578106,0.421894,anormal
image_049_105.jpg,0.303319,0.696681,cglaucoma
image_050_163.jpg,0.852690,0.147310,anormal
image_051_190.jpg,0.784071,0.215929,anormal
image_052_3.jpg,0.825097,0.174903,anormal
image_053_136.jpg,0.194062,0.805938,cglaucoma
image_054_158.jpg,0.043244,0.956756,cglaucoma
image_055_139.jpg,0.382660,0.617340,cglaucoma
image_056_142.jpg,0.179171,0.820829,cglaucoma
image_057_109.jpg,0.240462,0.759538,cglaucoma
image_058_118.jpg,0.847337,0.152663,anormal
image_059_220.jpg,0.860721,0.139279,anormal
image_060_79.jpg,0.797083,0.202917,anormal
image_061_44.jpg,0.777722,0.222278,anormal
image_062_135.jpg,0.050471,0.949529,cglaucoma
image_063_110.jpg,0.863103,0.136897,anormal
image_064_164.jpg,0.073430,0.926570,cglaucoma
image_065_92.jpg,0.377713,0.622287,cglaucoma
image_066_218.jpg,0.135403,0.864597,cglaucoma
image_067_127.jpg,0.158369,0.841631,cglaucoma
image_068_173.jpg,0.774924,0.225076,anormal
image_069_184.jpg,0.337449,0.662551,cglaucoma
image_070_212.jpg,0.144149,0.855851,cglaucoma
image_071_154.jpg,0.740644,0.259356,anormal
image_072_102.jpg,0.852690,0.147310,anormal
image_073_179.jpg,0.813461,0.186539,anormal
