filename,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr,predicted_label
20051020_43808_0100_PP_967.png,0.908862,0.026718,0.024662,0.018570,0.021187,anodr
20051020_44261_0100_PP_1191.png,0.880581,0.051519,0.025849,0.021077,0.020974,anodr
20051020_44284_0100_PP_502.png,0.893163,0.039166,0.023410,0.020459,0.023802,anodr
20051020_44338_0100_PP_547.png,0.914074,0.028299,0.020413,0.018244,0.018971,anodr
20051020_44400_0100_PP_920.png,0.906019,0.037359,0.023254,0.016643,0.016724,anodr
20051020_44431_0100_PP_514.png,0.898870,0.042954,0.024189,0.018384,0.015602,anodr
20051020_44692_0100_PP_419.png,0.913549,0.026336,0.022737,0.016716,0.020662,anodr
20051020_44714_0100_PP_1199.png,0.910207,0.031713,0.016818,0.022444,0.018817,anodr
20051020_44982_0100_PP_486.png,0.902442,0.033931,0.023287,0.020997,0.019343,anodr
20051020_56791_0100_PP_1185.png,0.911065,0.030098,0.018688,0.020525,0.019623,anodr
20051020_57157_0100_PP_971.png,0.908983,0.029405,0.017619,0.022056,0.021938,anodr
20051020_57967_0100_PP_829.png,0.910710,0.032626,0.017294,0.022076,0.017294,anodr
20051020_58065_0100_PP_561.png,0.629978,0.264028,0.055479,0.021620,0.028895,anodr
20051020_61757_0100_PP_484.png,0.902189,0.025832,0.023280,0.021135,0.027565,anodr
20051020_62461_0100_PP_76.png,0.895635,0.039505,0.026252,0.020001,0.018606,anodr
20051020_62510_0100_PP_106.png,0.808779,0.095458,0.053567,0.020728,0.021469,anodr
20051020_62577_0100_PP_479.png,0.909221,0.028564,0.020644,0.020765,0.020806,anodr
20051020_62615_0100_PP_294.png,0.910732,0.025823,0.019502,0.020259,0.023685,anodr
20051020_63269_0100_PP_1183.png,0.911870,0.029556,0.020344,0.017384,0.020846,anodr
20051020_63337_0100_PP_471.png,0.903362,0.035805,0.020531,0.019118,0.021183,anodr
20051020_64249_0100_PP_1004.png,0.900144,0.025874,0.025849,0.025041,0.023092,anodr
20051020_64388_0100_PP_1194.png,0.910703,0.024954,0.020962,0.020120,0.023260,anodr
20051020_64653_0100_PP_124.png,0.921993,0.021843,0.016870,0.018492,0.020802,anodr
20051020_64775_0100_PP_480.png,0.910598,0.026162,0.019159,0.020858,0.023223,anodr
20051020_64836_0100_PP_1270.png,0.849016,0.053761,0.045996,0.022626,0.028601,anodr
20051021_36380_0100_PP_135.png,0.912027,0.023707,0.021744,0.020607,0.021915,anodr
20051021_36476_0100_PP_1243.png,0.911897,0.028901,0.018889,0.019056,0.021258,anodr
20051021_39845_0100_PP_315.png,0.898019,0.034347,0.025750,0.020390,0.021494,anodr
20051021_39914_0100_PP_1352.png,0.903199,0.029620,0.023523,0.019587,0.024069,anodr
20051021_51418_0100_PP_18.png,0.913975,0.025352,0.019938,0.017221,0.023515,anodr
20051021_51476_0100_PP_150.png,0.896960,0.035000,0.026023,0.017150,0.024867,anodr
20051021_51936_0100_PP_1379.png,0.891232,0.042954,0.028481,0.019140,0.018192,anodr
20051021_51994_0100_PP_1283.png,0.896105,0.040345,0.026087,0.017471,0.019992,anodr
20051021_57798_0100_PP_1322.png,0.737208,0.134781,0.084210,0.019135,0.024666,anodr
20051021_57862_0100_PP_372.png,0.506721,0.239475,0.214036,0.016954,0.022814,anodr
20051021_57975_0100_PP_517.png,0.915271,0.026502,0.018322,0.019465,0.020439,anodr
20051021_58035_0100_PP_1138.png,0.918003,0.022926,0.021716,0.018997,0.018358,anodr
20051021_58388_0100_PP_1300.png,0.884740,0.035463,0.036966,0.020746,0.022084,anodr
20051021_58522_0100_PP_50.png,0.883808,0.035513,0.037017,0.019111,0.024551,anodr
20051109_57843_0400_PP_1109.png,0.836444,0.066231,0.058327,0.020355,0.018643,anodr
20051109_59969_0400_PP_1079.png,0.892067,0.045467,0.021836,0.019403,0.021227,anodr
20051109_60031_0400_PP_528.png,0.893300,0.043967,0.022038,0.018998,0.021696,anodr
20051109_60136_0400_PP_905.png,0.898770,0.037810,0.022500,0.018984,0.021936,anodr
20051110_33960_0400_PP_35.png,0.910323,0.031733,0.018010,0.018546,0.021388,anodr
20051110_34013_0400_PP_151.png,0.879946,0.053966,0.030435,0.017156,0.018496,anodr
20051110_35239_0400_PP_836.png,0.894602,0.042231,0.022243,0.020392,0.020532,anodr
20051110_35279_0400_PP_1033.png,0.897489,0.039839,0.020199,0.020418,0.022055,anodr
20051110_35332_0400_PP_497.png,0.879652,0.057857,0.024905,0.020149,0.017438,anodr
20051110_37992_0400_PP_1043.png,0.874161,0.052587,0.030413,0.021294,0.021545,anodr
20051110_38111_0400_PP_429.png,0.847027,0.074999,0.034638,0.019213,0.024122,anodr
20051110_38156_0400_PP_477.png,0.878390,0.055513,0.027207,0.019616,0.019274,anodr
20051110_38280_0400_PP_83.png,0.615699,0.241937,0.101611,0.022015,0.018738,anodr
20051110_38313_0400_PP_1041.png,0.867671,0.035258,0.042013,0.024783,0.030276,anodr
20051110_38352_0400_PP_934.png,0.862806,0.038487,0.042044,0.023630,0.033033,anodr
20051110_38472_0400_PP_1127.png,0.884211,0.060317,0.018640,0.019045,0.017787,anodr
20051110_38507_0400_PP_1190.png,0.547774,0.329978,0.087393,0.022172,0.012683,anodr
20051116_43388_0400_PP_344.png,0.899397,0.043827,0.020481,0.019677,0.016618,anodr
20051116_43585_0400_PP_950.png,0.915808,0.030596,0.018066,0.016872,0.018658,anodr
20051116_43710_0400_PP_95.png,0.859861,0.057677,0.036564,0.021695,0.024203,anodr
20051116_43721_0400_PP_363.png,0.810170,0.069924,0.069000,0.023345,0.027561,anodr
20051116_43785_0400_PP_445.png,0.908078,0.030906,0.020659,0.018939,0.021419,anodr
20051116_43801_0400_PP_325.png,0.908345,0.035100,0.014797,0.019337,0.022420,anodr
20051116_44648_0400_PP_1036.png,0.894737,0.044568,0.021520,0.019272,0.019903,anodr
20051117_37042_0400_PP_1119.png,0.892824,0.049456,0.022615,0.017595,0.017510,anodr
20051117_37051_0400_PP_1136.png,0.891507,0.041291,0.028518,0.019909,0.018776,anodr
20051117_37078_0400_PP_559.png,0.834848,0.061805,0.053566,0.028345,0.021437,anodr
20051117_37100_0400_PP_1083.png,0.698321,0.081909,0.160723,0.027236,0.031811,anodr
20051117_37130_0400_PP_938.png,0.891701,0.042074,0.023670,0.021849,0.020706,anodr
20051117_37155_0400_PP_84.png,0.798508,0.109902,0.041098,0.030541,0.019951,anodr
20051117_37185_0400_PP_404.png,0.826623,0.095013,0.036337,0.023404,0.018623,anodr
20051117_37321_0400_PP_947.png,0.896940,0.037512,0.021977,0.021721,0.021849,anodr
20051130_53586_0400_PP_1121.png,0.835479,0.073235,0.051565,0.021370,0.018350,anodr
20051130_53623_0400_PP_894.png,0.870423,0.055542,0.026908,0.020192,0.026934,anodr
20051130_53663_0400_PP_510.png,0.851384,0.060733,0.040984,0.022272,0.024628,anodr
20051130_53991_0400_PP_277.png,0.885227,0.050591,0.022687,0.020758,0.020737,anodr
20051130_54030_0400_PP_946.png,0.902862,0.031937,0.021171,0.020640,0.023389,anodr
20051130_54077_0400_PP_1117.png,0.898463,0.046073,0.020320,0.017229,0.017915,anodr
20051130_54121_0400_PP_1281.png,0.900128,0.042815,0.019867,0.018178,0.019013,anodr
20051130_54257_0400_PP_506.png,0.802251,0.075630,0.059682,0.034114,0.028323,anodr
20051130_54301_0400_PP_93.png,0.883223,0.046558,0.027761,0.021768,0.020690,anodr
20051130_54323_0400_PP_978.png,0.898313,0.040484,0.021925,0.018337,0.020941,anodr
20051130_54476_0400_PP_394.png,0.801374,0.109947,0.050190,0.022337,0.016152,anodr
20051130_54498_0400_PP_1217.png,0.772435,0.134952,0.051272,0.021467,0.019874,anodr
20051130_54595_0400_PP_940.png,0.250875,0.185164,0.496252,0.012706,0.055002,cmoderatedr
20051130_54802_0400_PP_550.png,0.583554,0.182462,0.186470,0.026196,0.021318,anodr
20051130_54846_0400_PP_289.png,0.823655,0.080955,0.046331,0.022165,0.026893,anodr
20051130_54943_0400_PP_1044.png,0.905394,0.029852,0.019731,0.019501,0.025522,anodr
20051130_54956_0400_PP_875.png,0.896652,0.032280,0.025140,0.020862,0.025066,anodr
20051130_55004_0400_PP_1259.png,0.891827,0.043799,0.023080,0.019228,0.022066,anodr
20051130_55012_0400_PP_865.png,0.894913,0.042515,0.020379,0.018737,0.023456,anodr
20051130_55037_0400_PP_443.png,0.668365,0.169237,0.117313,0.018942,0.026144,anodr
20051130_55048_0400_PP_921.png,0.837363,0.073872,0.039936,0.021460,0.027368,anodr
20051130_55074_0400_PP_986.png,0.892592,0.039065,0.025001,0.021364,0.021978,anodr
20051130_55086_0400_PP_1152.png,0.863903,0.071136,0.024412,0.018517,0.022032,anodr
20051130_55107_0400_PP_316.png,0.899671,0.042501,0.020170,0.016705,0.020953,anodr
20051130_55160_0400_PP_1182.png,0.836037,0.099001,0.027660,0.021176,0.016126,anodr
20051130_55269_0400_PP_820.png,0.893999,0.050615,0.018663,0.017010,0.019712,anodr
20051130_55311_0400_PP_896.png,0.883206,0.058948,0.019455,0.019589,0.018802,anodr
20051130_55323_0400_PP_883.png,0.821417,0.105895,0.031648,0.018077,0.022963,anodr
