filename,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr,predicted_label
002c21358ce6.png,0.916485,0.025784,0.016737,0.019058,0.021936,anodr
005b95c28852.png,0.897750,0.025780,0.024999,0.028328,0.023143,anodr
00cc2b75cddd.png,0.879566,0.058662,0.023303,0.017065,0.021405,anodr
0182152c50de.png,0.921048,0.023227,0.023171,0.014960,0.017593,anodr
02cd34a85b24.png,0.888442,0.049057,0.020772,0.020691,0.021037,anodr
03b373718013.png,0.918440,0.026842,0.020560,0.017187,0.016970,anodr
04aef84a2cc1.png,0.913466,0.023571,0.021129,0.018977,0.022857,anodr
05b1bb2bdb81.png,0.913630,0.021247,0.026950,0.018378,0.019794,anodr
07596907347b.png,0.903457,0.030569,0.020877,0.020473,0.024623,anodr
07751b94a88a.png,0.890549,0.051282,0.018755,0.018429,0.020985,anodr
0790515cf5af.png,0.884428,0.051770,0.029189,0.015563,0.019050,anodr
08037e4490e5.png,0.918668,0.021125,0.020197,0.018771,0.021239,anodr
0851d6a69589.png,0.886331,0.048146,0.024227,0.019429,0.021866,anodr
08b6e3240858.png,0.915997,0.013841,0.028275,0.021281,0.020606,anodr
08bef347f40d.png,0.909773,0.028414,0.025247,0.017142,0.019424,anodr
08ee569d4721.png,0.880327,0.053029,0.021824,0.019601,0.025218,anodr
09237bf783a4.png,0.916390,0.024101,0.016637,0.019075,0.023797,anodr
096436d68d06.png,0.917676,0.018861,0.018916,0.022040,0.022507,anodr
099021fac3c9.png,0.912656,0.027560,0.018831,0.019448,0.021506,anodr
09c8323c612e.png,0.909783,0.030783,0.017412,0.017395,0.024627,anodr
0a38b552372d.png,0.914913,0.030957,0.014774,0.018914,0.020441,anodr
0a85a1e8f9e9.png,0.914235,0.020012,0.022401,0.020951,0.022401,anodr
0babc12807b2.png,0.022320,0.335108,0.592745,0.015460,0.034367,cmoderatedr
0cbcc7b23613.png,0.696180,0.037313,0.200631,0.022444,0.043432,anodr
0cd31078cd08.png,0.915860,0.023369,0.020613,0.021825,0.018334,anodr
0ce062f26edc.png,0.918396,0.024836,0.017440,0.020231,0.019098,anodr
0cecc2864b7f.png,0.889399,0.049350,0.019383,0.020076,0.021792,anodr
0d9a9896f801.png,0.783509,0.126260,0.040031,0.023180,0.027020,anodr
0da321efbce6.png,0.903466,0.033591,0.016291,0.023030,0.023622,anodr
0db1d8dcf219.png,0.910675,0.032119,0.018123,0.021188,0.017895,anodr
0e3572b5884a.png,0.915988,0.024494,0.016991,0.019029,0.023498,anodr
