filename,prob_anormal,prob_cglaucoma,predicted_label
RET027OD.jpg,0.958382,0.041618,anormal
RET035OD.jpg,0.902266,0.097734,anormal
RET035OS.jpg,0.938745,0.061255,anormal
RET096OD.jpg,0.956957,0.043043,anormal
RET098OD.jpg,0.908049,0.091951,anormal
RET107OD.jpg,0.782663,0.217338,anormal
RET129OS.jpg,0.774071,0.225929,anormal
RET131OD.jpg,0.965152,0.034848,anormal
RET132OD.jpg,0.934095,0.065905,anormal
RET133OD.jpg,0.932883,0.067117,anormal
RET137OD.jpg,0.966851,0.033149,anormal
RET141OS.jpg,0.956513,0.043488,anormal
RET146OS.jpg,0.870267,0.129733,anormal
RET150OS.jpg,0.925970,0.074030,anormal
RET153OS.jpg,0.965932,0.034068,anormal
RET163OS.jpg,0.884489,0.115511,anormal
RET168OS.jpg,0.759582,0.240418,anormal
RET175OD.jpg,0.959459,0.040541,anormal
RET177OD.jpg,0.954095,0.045905,anormal
RET177OS.jpg,0.950824,0.049176,anormal
RET178OD.jpg,0.936576,0.063424,anormal
RET181OS.jpg,0.964789,0.035211,anormal
RET182OD.jpg,0.934634,0.065366,anormal
RET184OD.jpg,0.924620,0.075380,anormal
RET184OS.jpg,0.865452,0.134548,anormal
RET190OS.jpg,0.176104,0.823896,cglaucoma
RET191OS.jpg,0.956796,0.043204,anormal
RET192OS.jpg,0.619932,0.380068,anormal
RET197OD.jpg,0.082475,0.917525,cglaucoma
RET198OD.jpg,0.933370,0.066630,anormal
RET198OS.jpg,0.203945,0.796055,cglaucoma
RET199OD.jpg,0.949435,0.050565,anormal
RET200OD.jpg,0.888372,0.111628,anormal
RET200OS.jpg,0.947137,0.052863,anormal
RET201OD.jpg,0.779909,0.220091,anormal
RET202OD.jpg,0.959762,0.040238,anormal
RET203OD.jpg,0.946498,0.053502,anormal
RET203OS.jpg,0.955899,0.044101,anormal
RET210OD.jpg,0.921287,0.078713,anormal
RET211OS.jpg,0.924688,0.075312,anormal
RET212OD.jpg,0.967990,0.032010,anormal
RET213OS.jpg,0.946646,0.053354,anormal
RET216OD.jpg,0.944382,0.055618,anormal
RET216OS.jpg,0.842928,0.157072,anormal
RET220OD.jpg,0.953665,0.046335,anormal
RET220OS.jpg,0.962108,0.037892,anormal
RET224OD.jpg,0.962391,0.037609,anormal
RET228OS.jpg,0.959649,0.040351,anormal
RET231OD.jpg,0.878887,0.121113,anormal
RET237OD.jpg,0.617354,0.382646,anormal
RET245OS.jpg,0.927100,0.072900,anormal
RET252OS.jpg,0.968738,0.031262,anormal
RET253OD.jpg,0.928214,0.071786,anormal
RET253OS.jpg,0.950549,0.049451,anormal
RET256OD.jpg,0.934515,0.065485,anormal
RET258OD.jpg,0.955277,0.044723,anormal
RET259OD.jpg,0.949995,0.050005,anormal
RET261OS.jpg,0.964187,0.035813,anormal
RET267OD.jpg,0.906488,0.093512,anormal
RET271OS.jpg,0.909345,0.090655,anormal
RET272OD.jpg,0.961786,0.038214,anormal
RET277OS.jpg,0.937726,0.062274,anormal
RET282OD.jpg,0.954223,0.045777,anormal
RET282OS.jpg,0.882022,0.117978,anormal
RET283OS.jpg,0.728603,0.271397,anormal
RET285OS.jpg,0.964689,0.035311,anormal
RET291OD.jpg,0.973088,0.026912,anormal
RET002OD.jpg,0.774583,0.225417,anormal
RET006OS.jpg,0.874077,0.125923,anormal
RET053OD.jpg,0.033337,0.966663,cglaucoma
RET066OS.jpg,0.840586,0.159414,anormal
RET089OD.jpg,0.673675,0.326325,anormal
RET091OD.jpg,0.952794,0.047206,anormal
RET102OD.jpg,0.392104,0.607896,cglaucoma
RET106OD.jpg,0.439356,0.560644,cglaucoma
RET114OS.jpg,0.938011,0.061989,anormal
RET120OD.jpg,0.851150,0.148850,anormal
RET120OS.jpg,0.369799,0.630201,cglaucoma
RET122OD.jpg,0.961929,0.038071,anormal
RET122OS.jpg,0.925027,0.074973,anormal
RET276OS.jpg,0.843959,0.156041,anormal
