filename,prob_a_noamd,prob_b_amd,predicted_label
1018113_21015_1_0.png,0.760028,0.239972,a_noamd
1020777_21015_1_0.png,0.755907,0.244093,a_noamd
1026486_21016_0_0.png,0.755096,0.244904,a_noamd
1036537_21016_0_0.png,0.754010,0.245990,a_noamd
1039702_21015_1_0.png,0.806472,0.193528,a_noamd
1046092_21015_0_0.png,0.785391,0.214609,a_noamd
1064334_21016_0_0.png,0.763396,0.236604,a_noamd
1103313_21016_0_0.png,0.772445,0.227555,a_noamd
1107730_21015_0_0.png,0.803251,0.196749,a_noamd
1134266_21015_0_0.png,0.766381,0.233619,a_noamd
1167873_21016_0_0.png,0.780579,0.219421,a_noamd
1169358_21015_1_0.png,0.765681,0.234319,a_noamd
1170584_21016_0_0.png,0.755817,0.244183,a_noamd
1175155_21016_0_0.png,0.754373,0.245627,a_noamd
1178859_21016_0_0.png,0.756178,0.243822,a_noamd
1184375_21016_1_0.png,0.762601,0.237399,a_noamd
1186967_21016_0_0.png,0.759850,0.240150,a_noamd
1197089_21016_0_0.png,0.808446,0.191554,a_noamd
1197343_21015_0_0.png,0.756268,0.243732,a_noamd
1220742_21016_0_0.png,0.763572,0.236428,a_noamd
1223318_21016_0_0.png,0.816333,0.183667,a_noamd
1230171_21016_0_0.png,0.795340,0.204660,a_noamd
1250082_21016_0_0.png,0.771843,0.228156,a_noamd
1260458_21016_0_0.png,0.778481,0.221519,a_noamd
1261685_21016_0_0.png,0.780328,0.219672,a_noamd
1267094_21016_0_0.png,0.756088,0.243912,a_noamd
1275770_21015_0_0.png,0.825730,0.174270,a_noamd
1322575_21016_0_0.png,0.752286,0.247714,a_noamd
1330933_21015_0_0.png,0.762247,0.237753,a_noamd
1334474_21015_0_0.png,0.757794,0.242206,a_noamd
1346072_21016_0_0.png,0.778986,0.221014,a_noamd
1350271_21016_0_0.png,0.753376,0.246624,a_noamd
1359631_21015_1_0.png,0.828592,0.171408,a_noamd
1372500_21016_0_0.png,0.753285,0.246715,a_noamd
1407787_21015_1_0.png,0.823683,0.176317,a_noamd
1412963_21015_0_0.png,0.753965,0.246035,a_noamd
1429525_21016_0_0.png,0.759404,0.240596,a_noamd
1434744_21016_0_0.png,0.762689,0.237311,a_noamd
1438121_21015_0_0.png,0.782164,0.217836,a_noamd
1438217_21016_0_0.png,0.755366,0.244634,a_noamd
1465849_21015_0_0.png,0.753194,0.246806,a_noamd
1486263_21015_0_0.png,0.761095,0.238905,a_noamd
1494464_21015_0_0.png,0.803328,0.196672,a_noamd
1495365_21015_1_0.png,0.797557,0.202443,a_noamd
1495979_21015_1_0.png,0.760473,0.239527,a_noamd
1499051_21015_0_0.png,0.767341,0.232659,a_noamd
1499671_21016_0_1.png,0.837952,0.162048,a_noamd
1506781_21016_0_0.png,0.783326,0.216674,a_noamd
1514959_21015_0_0.png,0.752831,0.247169,a_noamd
1515498_21016_0_0.png,0.839734,0.160266,a_noamd
1535030_21016_0_0.png,0.773388,0.226612,a_noamd
1537998_21015_1_1.png,0.807309,0.192691,a_noamd
1552660_21016_0_0.png,0.755276,0.244724,a_noamd
1553749_21016_0_0.png,0.760562,0.239438,a_noamd
1553751_21015_0_0.png,0.761450,0.238550,a_noamd
1557480_21016_1_0.png,0.768299,0.231701,a_noamd
1560389_21015_0_0.png,0.770551,0.229449,a_noamd
1574898_21016_0_0.png,0.756987,0.243013,a_noamd
1601635_21016_0_0.png,0.759493,0.240507,a_noamd
1632106_21016_1_0.png,0.758868,0.241132,a_noamd
1652487_21016_1_0.png,0.762689,0.237311,a_noamd
1663149_21016_0_0.png,0.807764,0.192236,a_noamd
1681117_21016_0_0.png,0.799286,0.200714,a_noamd
1697220_21015_0_0.png,0.815673,0.184327,a_noamd
1704670_21015_0_0.png,0.762513,0.237487,a_noamd
1708747_21016_0_0.png,0.758242,0.241758,a_noamd
1730885_21016_0_0.png,0.760562,0.239438,a_noamd
1736297_21016_0_0.png,0.809201,0.190799,a_noamd
1737240_21015_1_0.png,0.810554,0.189446,a_noamd
1782210_21016_0_0.png,0.752649,0.247351,a_noamd
1826552_21016_0_0.png,0.838944,0.161056,a_noamd
1840708_21015_1_0.png,0.789153,0.210848,a_noamd
1844778_21016_1_0.png,0.756987,0.243013,a_noamd
1855075_21015_0_0.png,0.807005,0.192995,a_noamd
1862962_21015_0_0.png,0.768560,0.231440,a_noamd
1897613_21016_0_0.png,0.763219,0.236781,a_noamd
1897754_21016_0_0.png,0.762778,0.237222,a_noamd
1902295_21016_0_0.png,0.766992,0.233008,a_noamd
1912841_21016_0_0.png,0.761272,0.238728,a_noamd
