filename,prob_anodr,prob_bmilddr,prob_cmoderatedr,prob_dseveredr,prob_eproliferativedr,pred_class
20051020_43808_0100_PP_967.png,0.947282,0.014228,0.023078,0.006827,0.008586,anodr
20051020_44261_0100_PP_1191.png,0.958921,0.014053,0.016046,0.004448,0.006532,anodr
20051020_44284_0100_PP_502.png,0.963791,0.011184,0.013878,0.004760,0.006388,anodr
20051020_44338_0100_PP_547.png,0.840886,0.038273,0.091843,0.012017,0.016981,anodr
20051020_44400_0100_PP_920.png,0.958191,0.014726,0.016389,0.004237,0.006457,anodr
20051020_44431_0100_PP_514.png,0.957221,0.014743,0.016646,0.004445,0.006946,anodr
20051020_44692_0100_PP_419.png,0.953638,0.016844,0.017571,0.004516,0.007430,anodr
20051020_44714_0100_PP_1199.png,0.957903,0.015644,0.015679,0.004272,0.006501,anodr
20051020_44982_0100_PP_486.png,0.959881,0.013987,0.015560,0.004296,0.006276,anodr
20051020_56791_0100_PP_1185.png,0.961793,0.012979,0.014855,0.004357,0.006015,anodr
20051020_57157_0100_PP_971.png,0.757639,0.110313,0.110532,0.007544,0.013971,anodr
20051020_57967_0100_PP_829.png,0.963882,0.011609,0.013557,0.004647,0.006306,anodr
20051020_58065_0100_PP_561.png,0.960337,0.014553,0.014385,0.004303,0.006421,anodr
20051020_61757_0100_PP_484.png,0.967543,0.009761,0.012121,0.004723,0.005852,anodr
20051020_62461_0100_PP_76.png,0.726114,0.046226,0.170769,0.023690,0.033201,anodr
20051020_62510_0100_PP_106.png,0.313357,0.066948,0.501990,0.050144,0.067561,cmoderatedr
20051020_62577_0100_PP_479.png,0.962080,0.012326,0.014709,0.004611,0.006275,anodr
20051020_62615_0100_PP_294.png,0.962220,0.012220,0.014584,0.004619,0.006357,anodr
20051020_63269_0100_PP_1183.png,0.959293,0.013899,0.016034,0.004342,0.006432,anodr
20051020_63337_0100_PP_471.png,0.949651,0.016829,0.020404,0.005174,0.007942,anodr
20051020_64249_0100_PP_1004.png,0.963151,0.011514,0.014258,0.004769,0.006307,anodr
